Date,Open,High,Low,Close,Volume
6/1/2016 16:00:00,24.76,24.89,24.58,24.62,29173285
6/2/2016 16:00:00,24.4,24.46,24.16,24.43,40191600
6/3/2016 16:00:00,24.45,24.57,24.36,24.48,28504888
6/6/2016 16:00:00,24.5,25.47,24.39,24.66,23292504
6/7/2016 16:00:00,24.81,24.97,24.74,24.76,22409450
6/8/2016 16:00:00,24.76,24.89,24.67,24.74,20848131
6/9/2016 16:00:00,24.63,25,24.62,24.91,26601354
6/10/2016 16:00:00,24.63,24.84,24.62,24.71,31712936
6/13/2016 16:00:00,24.67,24.78,24.28,24.34,38020494
6/14/2016 16:00:00,24.33,24.62,24.19,24.37,31931944
6/15/2016 16:00:00,24.46,24.6,24.26,24.29,29445227
6/16/2016 16:00:00,24.11,24.44,24.02,24.39,31326815
6/17/2016 16:00:00,24.16,24.16,23.83,23.83,61008219
6/20/2016 16:00:00,24,24.14,23.76,23.78,34411901
6/21/2016 16:00:00,23.74,24.09,23.67,23.98,35546358
6/22/2016 16:00:00,24.06,24.22,23.84,23.89,29219122
6/23/2016 16:00:00,23.99,24.07,23.81,24.03,32240187
6/24/2016 16:00:00,23.23,23.66,23.16,23.35,75311356
6/27/2016 16:00:00,23.25,23.26,22.88,23.01,46622188
6/28/2016 16:00:00,23.23,23.42,23.04,23.4,40444914
6/29/2016 16:00:00,23.49,23.64,23.41,23.6,36531006
6/30/2016 16:00:00,23.61,23.94,23.58,23.9,35836356
7/1/2016 16:00:00,23.87,24.12,23.83,23.97,26026540
7/5/2016 16:00:00,23.85,23.85,23.62,23.75,27705210
7/6/2016 16:00:00,23.65,23.92,23.59,23.88,30949090
7/7/2016 16:00:00,23.93,24.13,23.91,23.99,25139558
7/8/2016 16:00:00,24.12,24.22,24.01,24.17,28912103
7/11/2016 16:00:00,24.19,24.41,24.18,24.25,23794945
7/12/2016 16:00:00,24.29,24.43,24.28,24.36,24167463
7/13/2016 16:00:00,24.35,24.42,24.21,24.22,25892171
7/14/2016 16:00:00,24.35,24.75,24.33,24.7,38918997
7/15/2016 16:00:00,24.73,24.83,24.63,24.7,30136990
7/18/2016 16:00:00,24.68,25.03,24.65,24.96,36493867
7/19/2016 16:00:00,24.89,25,24.84,24.97,23779924
7/20/2016 16:00:00,25,25.12,24.93,24.99,26275968
7/21/2016 16:00:00,24.96,25.25,24.78,24.86,32702028
7/22/2016 16:00:00,24.82,24.83,24.58,24.67,28313669
7/25/2016 16:00:00,24.56,24.71,24.23,24.34,40382921
7/26/2016 16:00:00,24.21,24.49,24.11,24.17,56239822
7/27/2016 16:00:00,26.07,26.09,25.69,25.74,92344820
7/28/2016 16:00:00,25.71,26.11,25.71,26.09,39869839
7/29/2016 16:00:00,26.05,26.14,25.92,26.05,27733688
8/1/2016 16:00:00,26.1,26.54,26.1,26.51,38167871
8/2/2016 16:00:00,26.51,26.52,26,26.12,33816556
8/3/2016 16:00:00,26.2,26.46,26.19,26.45,30202641
8/4/2016 16:00:00,26.4,26.5,26.32,26.47,27408650
8/5/2016 16:00:00,26.57,26.91,26.55,26.87,40553402
8/8/2016 16:00:00,26.88,27.09,26.79,27.09,28037220
8/9/2016 16:00:00,27.06,27.24,27,27.2,26315204
8/10/2016 16:00:00,27.18,27.23,26.94,27,24008505
8/11/2016 16:00:00,27.13,27.23,26.96,26.98,27484506
8/12/2016 16:00:00,26.95,27.11,26.95,27.05,18660434
8/15/2016 16:00:00,27.04,27.39,27.02,27.37,25868209
8/16/2016 16:00:00,27.41,27.56,27.3,27.35,33794448
8/17/2016 16:00:00,27.28,27.34,27.09,27.31,25355976
8/18/2016 16:00:00,27.31,27.4,27.26,27.27,21984703
8/19/2016 16:00:00,27.19,27.42,27.09,27.34,25368072
8/22/2016 16:00:00,27.22,27.28,26.96,27.13,25820230
8/23/2016 16:00:00,27.15,27.33,27.13,27.21,21257669
8/24/2016 16:00:00,27.14,27.19,26.92,27.01,23675081
8/25/2016 16:00:00,26.85,26.97,26.67,26.89,25086248
8/26/2016 16:00:00,26.85,26.99,26.58,26.74,27766291
8/29/2016 16:00:00,26.66,26.86,26.57,26.71,24970300
8/30/2016 16:00:00,26.45,26.63,26.38,26.5,24863945
8/31/2016 16:00:00,26.42,26.64,26.41,26.53,29662406
9/1/2016 16:00:00,26.54,26.7,26.41,26.68,26701523
9/2/2016 16:00:00,26.93,27,26.71,26.93,26802450
9/6/2016 16:00:00,26.98,27.08,26.88,26.93,26880391
9/7/2016 16:00:00,26.96,27.19,26.77,27.09,42364328
