Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,14.48,15.06,14.22,14.3,8321194
6/8/2020 16:00:00,14.5,15.08,14.45,14.97,5488532
6/9/2020 16:00:00,14.51,14.59,13.72,13.84,6287675
6/10/2020 16:00:00,13.78,13.79,13.16,13.17,7941327
6/11/2020 16:00:00,12.5,12.6,12,12.2,8830992
6/12/2020 16:00:00,12.73,12.96,12.25,12.67,6952813
6/15/2020 16:00:00,12.23,12.98,12.03,12.88,5976498
6/16/2020 16:00:00,13.58,13.9,13.36,13.66,7945502
6/17/2020 16:00:00,13.77,13.88,13.29,13.41,6822664
6/18/2020 16:00:00,13.2,13.51,13.12,13.44,4560859
6/19/2020 16:00:00,13.71,13.91,13.32,13.34,11285740
6/22/2020 16:00:00,13.36,14.14,13.18,13.98,9029898
6/23/2020 16:00:00,14.13,14.38,13.77,13.84,7689825
6/24/2020 16:00:00,13.68,14.01,13.48,13.84,8331520
6/25/2020 16:00:00,13.74,13.96,13.57,13.88,9719485
6/26/2020 16:00:00,13.82,13.98,13.53,13.75,13077506
6/29/2020 16:00:00,13.96,14.44,13.72,14.34,9840408
6/30/2020 16:00:00,14.26,14.55,14.09,14.49,9237205
7/1/2020 16:00:00,14.6,14.69,14.28,14.41,5702446
7/2/2020 16:00:00,14.61,14.81,14.44,14.48,4701784
7/6/2020 16:00:00,14.79,15.05,14.34,14.47,5526910
7/7/2020 16:00:00,14.24,14.25,14.03,14.14,4165215
7/8/2020 16:00:00,14.08,14.47,13.96,14.44,6383747
7/9/2020 16:00:00,14.29,14.38,13.77,13.92,5579314
7/10/2020 16:00:00,13.92,14.43,13.89,14.36,5158077
7/13/2020 16:00:00,14.44,14.88,14.4,14.64,6735875
7/14/2020 16:00:00,14.6,14.99,14.55,14.76,6563530
7/15/2020 16:00:00,14.95,15.2,14.87,15.07,4961947
7/16/2020 16:00:00,15.06,15.17,14.82,14.88,3706010
7/17/2020 16:00:00,14.87,15.72,14.77,15.63,8239447
7/20/2020 16:00:00,15.52,15.53,15.15,15.26,5592022
7/21/2020 16:00:00,15.4,15.81,15.31,15.42,5172817
7/22/2020 16:00:00,15.24,15.72,14.89,15.6,6716521
7/23/2020 16:00:00,15.65,15.9,15.58,15.68,4130378
7/24/2020 16:00:00,15.72,15.84,15.31,15.4,4226584
7/27/2020 16:00:00,15.39,15.41,15.02,15.25,5329337
7/28/2020 16:00:00,15.13,15.38,15.13,15.2,3343963
7/29/2020 16:00:00,15.27,15.63,15.23,15.56,4142603
7/30/2020 16:00:00,15.38,15.48,15.14,15.42,3175353
7/31/2020 16:00:00,15.23,15.26,14.83,15.23,4069208
8/3/2020 16:00:00,15.22,15.22,14.95,15.12,3456977
8/4/2020 16:00:00,15.11,15.53,14.98,15.47,5566648
8/5/2020 16:00:00,15.6,15.67,15.21,15.4,6051907
8/6/2020 16:00:00,15.35,16.81,15.25,16.55,9526863
8/7/2020 16:00:00,16.43,17.3,16.37,17.16,8627785
8/10/2020 16:00:00,17.33,17.72,16.92,17.59,5848720
8/11/2020 16:00:00,17.73,17.86,16.96,16.98,5873685
8/12/2020 16:00:00,16.99,17.63,16.77,17.26,5144376
8/13/2020 16:00:00,17.29,17.99,17.16,17.79,7945746
8/14/2020 16:00:00,17.71,17.71,17.44,17.57,4269273
8/17/2020 16:00:00,17.6,17.8,17.49,17.67,4249584
8/18/2020 16:00:00,17.59,17.89,17.49,17.74,4635073
8/19/2020 16:00:00,17.74,17.97,17.58,17.62,2614785
8/20/2020 16:00:00,17.4,18.07,17.26,17.95,5172258
8/21/2020 16:00:00,18,18.16,17.82,18.02,5183430
8/24/2020 16:00:00,18.12,18.18,17.91,18.07,3912251
8/25/2020 16:00:00,18.17,18.17,17.65,17.89,2839361
8/26/2020 16:00:00,17.89,17.91,17.58,17.73,3181346
8/27/2020 16:00:00,17.78,18.01,17.7,17.91,3515416
8/28/2020 16:00:00,17.89,17.96,17.57,17.9,4775013
8/31/2020 16:00:00,17.93,17.99,17.67,17.75,4074718
9/1/2020 16:00:00,17.65,17.95,17.56,17.91,3914341
9/2/2020 16:00:00,17.92,18.25,17.73,18.18,4967338
9/3/2020 16:00:00,18.25,18.34,17.53,17.69,4419101
9/4/2020 16:00:00,17.75,17.8,17.13,17.57,4318221
9/8/2020 16:00:00,17.5,17.53,17.21,17.41,4264801
9/9/2020 16:00:00,17.55,17.74,17.33,17.54,2988929
9/10/2020 16:00:00,17.54,17.65,17.31,17.36,2736965
9/11/2020 16:00:00,17.4,17.85,17.26,17.8,7266184
9/14/2020 16:00:00,17.89,18.08,17.72,17.95,4414186
9/15/2020 16:00:00,18.09,18.14,17.62,17.79,3703311
9/16/2020 16:00:00,17.81,18.13,17.73,18.06,4346285
9/17/2020 16:00:00,17.88,18.59,17.61,18.43,6893627
9/18/2020 16:00:00,18.47,19.12,18.45,18.79,11655510
9/21/2020 16:00:00,18.42,18.53,17.98,18.36,4674856
9/22/2020 16:00:00,18.36,18.46,18,18.24,4816309
9/23/2020 16:00:00,18.37,18.45,17.76,17.76,5635964
9/24/2020 16:00:00,17.85,18.13,17.42,17.96,7458016
9/25/2020 16:00:00,18.01,18.07,17.72,17.99,3652737
9/28/2020 16:00:00,18.28,18.45,17.85,17.87,5012716
9/29/2020 16:00:00,18.06,18.23,17.82,18,4226866
9/30/2020 16:00:00,18.04,18.27,17.96,18.11,6615591
10/1/2020 16:00:00,18.24,18.31,17.68,17.92,4895918
10/2/2020 16:00:00,17.53,18.55,17.46,18.54,6500237
10/5/2020 16:00:00,18.65,18.78,18.55,18.58,3445046
10/6/2020 16:00:00,18.59,18.84,18.42,18.66,3555525
10/7/2020 16:00:00,18.76,18.93,18.59,18.75,3546920
10/8/2020 16:00:00,18.87,19.48,18.78,19.44,8813767
10/9/2020 16:00:00,19.5,19.57,18.98,19.32,7942812
10/12/2020 16:00:00,19.32,19.61,19.21,19.52,5156630
10/13/2020 16:00:00,19.31,19.61,19.27,19.55,5105677
10/14/2020 16:00:00,19.55,19.74,19.47,19.63,3657849
10/15/2020 16:00:00,19.34,19.95,19.28,19.86,3941689
10/16/2020 16:00:00,19.93,20.03,19.65,19.9,3838879
10/19/2020 16:00:00,19.9,20.1,19.68,19.9,8025448
10/20/2020 16:00:00,20.17,20.39,19.95,20,4668234
10/21/2020 16:00:00,19.97,20.27,19.93,20.21,5450742
10/22/2020 16:00:00,20.2,20.45,20.04,20.41,4140940
10/23/2020 16:00:00,20.55,20.76,20.32,20.65,3881517
10/26/2020 16:00:00,20.39,20.65,20.05,20.58,5676074
10/27/2020 16:00:00,20.57,20.67,20.27,20.34,3718973
10/28/2020 16:00:00,20,20.17,19.36,19.5,6373732
10/29/2020 16:00:00,19.32,19.73,18.98,19.53,4772925
10/30/2020 16:00:00,19.5,19.81,19.31,19.5,5949754
11/2/2020 16:00:00,19.79,20.14,19.67,20,5621572
11/3/2020 16:00:00,20.35,20.69,20.17,20.27,4908187
11/4/2020 16:00:00,20.26,20.42,19.89,19.94,6436238
11/5/2020 16:00:00,20.22,21.28,20.1,20.97,5604271
11/6/2020 16:00:00,20.91,21.33,20.36,20.41,4317790
