Date,Open,High,Low,Close,Volume
6/1/2016 16:00:00,28.6,28.98,28.14,28.93,243640
6/2/2016 16:00:00,28.69,28.99,28.51,28.99,231181
6/3/2016 16:00:00,28.98,28.98,28.35,28.58,138542
6/6/2016 16:00:00,28.69,28.7,28.13,28.19,158840
6/7/2016 16:00:00,28.07,28.1,27.89,27.91,181990
6/8/2016 16:00:00,28.05,28.1,27.78,27.9,152437
6/9/2016 16:00:00,27.74,27.85,27.49,27.82,101325
6/10/2016 16:00:00,27.44,27.5,26.82,26.94,200733
6/13/2016 16:00:00,27.16,27.26,26.33,26.53,182100
6/14/2016 16:00:00,26.51,27.02,26.43,26.58,222845
6/15/2016 16:00:00,26.62,27,26.44,26.86,125017
6/16/2016 16:00:00,27.46,27.47,26.66,27.23,186812
6/17/2016 16:00:00,27.31,27.78,26.97,27.05,215769
6/20/2016 16:00:00,27.48,27.72,27.4,27.4,109835
6/21/2016 16:00:00,27.37,27.6,26.68,27.1,84688
6/22/2016 16:00:00,27.04,27.49,26.88,26.93,87509
6/23/2016 16:00:00,27.26,27.57,27.14,27.24,93818
6/24/2016 16:00:00,26.35,26.97,26.25,26.94,306154
6/27/2016 16:00:00,26.59,26.59,25.75,26.02,247804
6/28/2016 16:00:00,26.39,26.68,26.23,26.51,283505
6/29/2016 16:00:00,26.7,27.53,26.7,27.42,152206
6/30/2016 16:00:00,27.43,27.84,27.21,27.61,196820
7/1/2016 16:00:00,27.68,28.26,27.35,28.19,212053
7/5/2016 16:00:00,28,28,27.1,27.41,108090
7/6/2016 16:00:00,27.14,27.43,26.97,27.11,74978
7/7/2016 16:00:00,27.21,27.67,27.21,27.59,76114
7/8/2016 16:00:00,27.81,28,27.5,27.59,143263
7/11/2016 16:00:00,27.57,27.83,27.53,27.77,213968
7/12/2016 16:00:00,28.48,30.27,28,29.8,399322
7/13/2016 16:00:00,29.89,30.91,29.68,30.63,386655
7/14/2016 16:00:00,30.85,31.42,30.28,30.6,325337
7/15/2016 16:00:00,30.75,30.84,30,30.63,198332
7/18/2016 16:00:00,30.6,30.66,30.08,30.56,215195
7/19/2016 16:00:00,30.36,30.65,30.1,30.49,240158
7/20/2016 16:00:00,30.43,30.52,30.04,30.06,159624
7/21/2016 16:00:00,29.89,30.42,29.82,30.08,176791
7/22/2016 16:00:00,30.08,30.68,29.89,30.6,273870
7/25/2016 16:00:00,30.51,30.51,29.49,29.92,923261
