Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,28.95,29.01,27.88,28.11,118767892
6/8/2020 16:00:00,28.59,28.9,28.14,28.54,79598450
6/9/2020 16:00:00,27.72,28.54,27.55,28.22,77773379
6/10/2020 16:00:00,27.97,28.1,26.51,26.6,90415306
6/11/2020 16:00:00,24.98,25.69,23.68,23.93,149875451
6/12/2020 16:00:00,25.03,25.05,24.04,24.78,73729708
6/15/2020 16:00:00,23.76,25.17,23.69,25.15,76538947
6/16/2020 16:00:00,26.18,26.24,24.86,25.8,96796548
6/17/2020 16:00:00,25.9,25.9,24.92,25,58349482
6/18/2020 16:00:00,24.7,25.49,24.58,25.04,53419011
6/19/2020 16:00:00,25.44,25.49,24.49,25.25,127563637
6/22/2020 16:00:00,24.89,25.03,24.61,24.62,55484307
6/23/2020 16:00:00,25.01,25.41,24.76,24.79,46108277
6/24/2020 16:00:00,24.54,24.54,23.68,23.81,75437098
6/25/2020 16:00:00,23.7,24.77,23.55,24.72,65031930
6/26/2020 16:00:00,24.09,24.11,23.02,23.15,118139178
6/29/2020 16:00:00,23.41,23.84,23.1,23.39,66269230
6/30/2020 16:00:00,23.2,23.91,23.1,23.75,61716159
7/1/2020 16:00:00,24.03,24.07,23.23,23.26,57379923
7/2/2020 16:00:00,23.84,23.99,23.22,23.29,56000150
7/6/2020 16:00:00,23.82,24.08,23.46,23.66,59589043
7/7/2020 16:00:00,23.38,23.39,22.9,23.01,60645827
7/8/2020 16:00:00,23.03,23.19,22.7,23.1,52922608
7/9/2020 16:00:00,22.94,23.16,22.39,22.77,79385860
7/10/2020 16:00:00,22.71,24.05,22.68,24.02,81142925
7/13/2020 16:00:00,24.37,24.51,23.86,24.19,73598107
7/14/2020 16:00:00,23.89,24.15,23.45,24.14,67423073
7/15/2020 16:00:00,24.76,24.87,24.28,24.6,57384440
7/16/2020 16:00:00,23.75,24.22,23.54,23.93,78067079
7/17/2020 16:00:00,23.88,23.98,23.2,23.22,66920234
7/20/2020 16:00:00,23.19,23.7,23.11,23.58,61113962
7/21/2020 16:00:00,23.71,24.48,23.69,24.42,75546081
7/22/2020 16:00:00,24.24,24.33,23.97,24.31,52193708
7/23/2020 16:00:00,24.52,24.64,24.11,24.54,61047616
7/24/2020 16:00:00,24.56,24.83,24.27,24.35,50217643
7/27/2020 16:00:00,24.22,24.27,23.88,24.14,54721348
7/28/2020 16:00:00,24.13,24.56,24.08,24.36,48406513
7/29/2020 16:00:00,24.36,25.29,24.19,25.27,71393500
7/30/2020 16:00:00,24.72,24.95,24.35,24.84,61755886
7/31/2020 16:00:00,24.93,24.95,24.46,24.88,62039245
8/3/2020 16:00:00,25.03,25.31,24.69,24.99,58284026
8/4/2020 16:00:00,24.96,25.06,24.86,25.01,37985273
8/5/2020 16:00:00,25.32,25.59,25.25,25.39,51695566
8/6/2020 16:00:00,25.45,25.67,25.28,25.47,51999733
8/7/2020 16:00:00,25.34,26.19,25.26,26.11,63354498
8/10/2020 16:00:00,26.31,26.81,26.21,26.56,64051124
8/11/2020 16:00:00,27.28,27.75,26.78,26.92,81440973
8/12/2020 16:00:00,27.48,27.57,26.41,26.73,62023958
8/13/2020 16:00:00,26.49,26.67,26.14,26.35,55955478
8/14/2020 16:00:00,26.06,26.66,25.92,26.47,50931874
8/17/2020 16:00:00,26.31,26.41,25.84,25.9,57518714
8/18/2020 16:00:00,25.87,25.99,25.46,25.53,45850127
8/19/2020 16:00:00,25.66,26.08,25.39,25.5,59855953
8/20/2020 16:00:00,25.16,25.33,25.02,25.1,49403690
8/21/2020 16:00:00,24.98,25.43,24.9,24.98,55010685
8/24/2020 16:00:00,25.22,25.7,25.04,25.69,54579461
8/25/2020 16:00:00,26.04,26.19,25.73,26,57304734
8/26/2020 16:00:00,25.94,25.94,25.54,25.56,39477979
8/27/2020 16:00:00,25.49,26.22,25.44,26.05,52934791
8/28/2020 16:00:00,26.4,26.47,25.99,26.3,46466386
8/31/2020 16:00:00,26.09,26.14,25.69,25.74,49416216
9/1/2020 16:00:00,25.58,25.9,25.4,25.71,46152100
9/2/2020 16:00:00,25.53,26.16,25.49,26.02,57300855
9/3/2020 16:00:00,26.2,26.62,25.46,25.66,86192495
9/4/2020 16:00:00,26.26,26.76,25.8,26.54,99621412
9/8/2020 16:00:00,26.14,26.32,25.39,25.48,74978641
9/9/2020 16:00:00,25.64,25.72,25.23,25.51,53822654
9/10/2020 16:00:00,25.7,25.89,25.08,25.14,56609617
9/11/2020 16:00:00,25.22,25.58,25.09,25.5,47708344
9/14/2020 16:00:00,25.67,25.99,25.54,25.75,47802394
9/15/2020 16:00:00,25.77,25.83,25.19,25.28,63820151
9/16/2020 16:00:00,25.28,25.91,25.05,25.6,64623411
9/17/2020 16:00:00,25.13,25.48,25.1,25.35,48862044
9/18/2020 16:00:00,25.15,25.58,25.1,25.21,94055811
