Date,Open,High,Low,Close,Volume
6/8/2020 16:00:00,5.67,5.84,5.55,5.79,6199272
6/9/2020 16:00:00,5.72,5.73,5.49,5.61,3714656
6/10/2020 16:00:00,5.63,5.68,5.5,5.57,2857473
6/11/2020 16:00:00,5.26,5.33,5.02,5.03,5896497
6/12/2020 16:00:00,5.24,5.35,5.15,5.25,4118203
6/15/2020 16:00:00,5.07,5.08,4.91,4.99,6506659
6/16/2020 16:00:00,5.2,5.29,5.11,5.22,5589399
6/17/2020 16:00:00,5.3,5.36,5.09,5.1,3608088
6/18/2020 16:00:00,5.08,5.14,5.01,5.08,3764923
6/19/2020 16:00:00,5.14,5.16,4.95,5.06,8341747
6/22/2020 16:00:00,5.13,5.24,5.08,5.12,5146822
6/23/2020 16:00:00,5.18,5.24,5.08,5.1,4459683
6/24/2020 16:00:00,5.08,5.08,4.85,4.92,7844386
6/25/2020 16:00:00,4.63,4.89,4.61,4.85,7956484
6/26/2020 16:00:00,4.86,4.92,4.72,4.72,4769237
6/29/2020 16:00:00,4.76,4.84,4.64,4.8,4448689
6/30/2020 16:00:00,4.78,4.9,4.74,4.89,4433244
7/1/2020 16:00:00,4.85,4.85,4.73,4.78,3522810
7/2/2020 16:00:00,4.79,4.95,4.77,4.85,6370645
7/6/2020 16:00:00,4.93,5.08,4.92,5.02,4578880
7/7/2020 16:00:00,4.99,5,4.79,4.8,2831925
7/8/2020 16:00:00,4.8,4.87,4.74,4.84,2486568
7/9/2020 16:00:00,4.85,4.87,4.69,4.81,2714799
7/10/2020 16:00:00,4.77,4.81,4.7,4.73,2852055
7/13/2020 16:00:00,4.75,4.79,4.56,4.58,3526853
7/14/2020 16:00:00,4.55,4.61,4.45,4.58,3662843
7/15/2020 16:00:00,4.65,4.73,4.61,4.71,3575771
7/16/2020 16:00:00,4.65,4.68,4.57,4.65,2076326
7/17/2020 16:00:00,4.63,4.85,4.63,4.8,2793988
7/20/2020 16:00:00,4.82,5.03,4.82,4.99,3248585
7/21/2020 16:00:00,5.05,5.06,4.84,4.85,3337432
7/22/2020 16:00:00,4.8,4.9,4.77,4.79,2395528
7/23/2020 16:00:00,4.77,4.85,4.71,4.74,3280518
7/24/2020 16:00:00,4.68,4.7,4.6,4.65,3103727
7/27/2020 16:00:00,4.65,4.7,4.56,4.69,2975576
7/28/2020 16:00:00,4.7,4.74,4.62,4.66,2635228
7/29/2020 16:00:00,4.73,4.91,4.68,4.87,3937168
7/30/2020 16:00:00,4.77,4.83,4.68,4.74,3197502
7/31/2020 16:00:00,4.75,4.78,4.65,4.74,2165912
8/3/2020 16:00:00,4.73,4.75,4.67,4.74,1906333
8/4/2020 16:00:00,4.7,4.76,4.66,4.75,3146674
8/5/2020 16:00:00,4.78,4.86,4.75,4.84,2314572
8/6/2020 16:00:00,4.83,5.07,4.76,4.96,5436453
8/7/2020 16:00:00,4.97,5.16,4.81,4.84,5364623
8/10/2020 16:00:00,4.87,4.93,4.77,4.84,2386810
8/11/2020 16:00:00,4.86,4.9,4.76,4.79,3280094
8/12/2020 16:00:00,4.79,4.89,4.79,4.82,1893976
8/13/2020 16:00:00,4.81,4.95,4.81,4.89,2495559
8/14/2020 16:00:00,4.88,4.9,4.75,4.8,2574812
8/17/2020 16:00:00,4.79,4.85,4.77,4.81,1842279
8/18/2020 16:00:00,4.81,4.86,4.74,4.79,2432902
8/19/2020 16:00:00,4.84,4.87,4.75,4.78,2641862
8/20/2020 16:00:00,4.74,4.85,4.72,4.83,2103313
8/21/2020 16:00:00,4.8,4.84,4.73,4.75,2038166
8/24/2020 16:00:00,4.8,4.84,4.74,4.79,2528378
8/25/2020 16:00:00,4.8,4.88,4.77,4.78,2470462
8/26/2020 16:00:00,4.83,5.21,4.8,5.08,7740960
8/27/2020 16:00:00,5.12,5.17,4.97,5.03,3544302
8/28/2020 16:00:00,5.13,5.3,5.1,5.23,3993943
8/31/2020 16:00:00,5.27,5.32,5.15,5.22,4302973
9/1/2020 16:00:00,5.25,5.59,5.21,5.58,6662922
9/2/2020 16:00:00,5.65,5.66,5.41,5.52,5100117
9/3/2020 16:00:00,5.43,5.44,5.13,5.18,5338775
9/4/2020 16:00:00,5.07,5.2,4.87,5.11,5839583
9/8/2020 16:00:00,4.94,5.1,4.91,4.93,3747374
9/9/2020 16:00:00,5.03,5.06,4.91,4.92,3597561
9/10/2020 16:00:00,4.96,4.98,4.79,4.8,3546285
9/11/2020 16:00:00,4.86,4.87,4.68,4.75,3690640
9/14/2020 16:00:00,4.8,4.91,4.78,4.82,3552366
