Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,57.06,58.49,57,57.27,1856720
6/8/2020 16:00:00,57.06,59.46,56.9,59.31,2562208
6/9/2020 16:00:00,58.68,58.91,57.08,57.65,1458612
6/10/2020 16:00:00,57.92,58.03,55.38,55.47,2206911
6/11/2020 16:00:00,54.1,54.48,52.12,52.49,1888406
6/12/2020 16:00:00,54,54.4,51.5,52.89,1747737
6/15/2020 16:00:00,51.83,53.93,51.25,53.46,1946511
6/16/2020 16:00:00,54.8,55.04,53.61,54.5,2564726
6/17/2020 16:00:00,54.51,54.63,53.5,53.66,2102312
6/18/2020 16:00:00,53.5,53.65,52.66,53.11,2023729
6/19/2020 16:00:00,54.14,54.78,53.32,53.81,4669016
6/22/2020 16:00:00,53.69,53.95,52.94,53.82,1285014
6/23/2020 16:00:00,54.29,54.54,53.41,53.48,1589515
6/24/2020 16:00:00,53,53.58,51.58,52.01,2300061
6/25/2020 16:00:00,51.66,52.31,51.17,51.87,2494005
6/26/2020 16:00:00,51.76,52.33,50.43,50.55,8788356
6/29/2020 16:00:00,50.96,51.97,50.93,51.97,1604466
6/30/2020 16:00:00,51.28,52.57,50.83,52.19,2559771
7/1/2020 16:00:00,52.32,52.58,51.46,51.68,1633726
7/2/2020 16:00:00,52.32,52.75,51.54,51.8,2371492
7/6/2020 16:00:00,52.22,52.46,51.3,51.74,2284126
7/7/2020 16:00:00,51.01,51.32,50.17,50.22,1619335
7/8/2020 16:00:00,50.32,50.53,49.4,50.29,1975243
7/9/2020 16:00:00,50.19,50.27,48.39,48.88,1575881
7/10/2020 16:00:00,48.76,49.54,48.25,49.36,1841213
7/13/2020 16:00:00,49.61,50.66,49.26,49.87,2143738
7/14/2020 16:00:00,49.63,51,49.51,50.93,1669909
7/15/2020 16:00:00,51.49,52.28,51.19,52.09,1642786
7/16/2020 16:00:00,51.92,52.72,51.58,52.42,1387534
7/17/2020 16:00:00,52.6,53.35,52.38,53.13,1139935
7/20/2020 16:00:00,53.26,53.42,52.52,53.15,2959628
7/21/2020 16:00:00,53.54,56.05,53.54,55.99,2661499
7/22/2020 16:00:00,56,56.33,55.52,56.16,1531696
7/23/2020 16:00:00,56.27,57.05,56.04,56.55,1685157
7/24/2020 16:00:00,56.75,57.63,56.14,56.5,1504378
7/27/2020 16:00:00,56.27,57.52,55.74,57.48,1704556
7/28/2020 16:00:00,57.34,57.59,56.49,56.58,1524468
7/29/2020 16:00:00,56.88,57.99,56.53,57.7,1894068
7/30/2020 16:00:00,56.81,57,55.6,56.48,2437405
7/31/2020 16:00:00,56.43,56.5,53.91,54.62,4728200
8/3/2020 16:00:00,55.55,58.31,55.54,58.04,2856062
8/4/2020 16:00:00,57.76,58.34,57.03,57.83,1888482
8/5/2020 16:00:00,58.64,58.97,57.09,57.6,2764599
8/6/2020 16:00:00,52.5,55.45,52.11,53.11,5229135
8/7/2020 16:00:00,52.62,52.74,51.61,52.58,2844789
