Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,55.5,58.34,55.24,56.96,6009709
6/8/2020 16:00:00,58.27,59.7,56.03,57.09,4609044
6/9/2020 16:00:00,55.81,55.89,53.33,53.42,3062502
6/10/2020 16:00:00,54.04,54.04,50.61,52.48,3367203
6/11/2020 16:00:00,48.11,49.17,47,47.74,5178879
6/12/2020 16:00:00,50,51.09,48,49.12,2713675
6/15/2020 16:00:00,47.01,49.74,46.48,49.4,2245621
6/16/2020 16:00:00,50.86,51.44,48.11,49.2,2945914
6/17/2020 16:00:00,50,50,47.94,48,2163653
6/18/2020 16:00:00,48,48.57,47.55,48.32,2671148
6/19/2020 16:00:00,49.28,49.82,45.87,46.51,4052604
6/22/2020 16:00:00,46.55,46.61,44.66,45.78,4073218
6/23/2020 16:00:00,46.5,47.59,45.7,46.88,2642550
6/24/2020 16:00:00,45.88,46.25,42.82,44.18,5340977
6/25/2020 16:00:00,43.42,44.58,43.16,44.17,2770507
6/26/2020 16:00:00,44,44.34,42.37,42.62,3732012
6/29/2020 16:00:00,42.78,44.99,42.21,44.29,3925545
6/30/2020 16:00:00,44.31,44.69,43.27,44.33,2085015
7/1/2020 16:00:00,44.86,47.95,44.8,46.02,3014300
7/2/2020 16:00:00,46.9,47.36,45.12,45.36,1748819
7/6/2020 16:00:00,46.79,46.79,44.59,45.46,2922761
7/7/2020 16:00:00,45.13,45.39,44.29,45.04,2373391
7/8/2020 16:00:00,44.92,46.41,44.7,46.06,3223237
7/9/2020 16:00:00,46.15,46.24,43.46,45.05,3082149
7/10/2020 16:00:00,44.9,46.84,44.68,46.44,3386439
7/13/2020 16:00:00,46.86,47.23,45.27,45.66,3059306
7/14/2020 16:00:00,45.65,47.2,44.92,46.41,2541758
7/15/2020 16:00:00,48.73,52.09,48.43,51.84,5627613
7/16/2020 16:00:00,50.7,51.78,49.86,50.85,3358781
7/17/2020 16:00:00,50.85,51.26,49.96,51.04,2275818
7/20/2020 16:00:00,50.61,51.77,48.6,49.21,2488004
7/21/2020 16:00:00,49.52,50.46,48.98,49.18,1764566
7/22/2020 16:00:00,48.79,49.79,48.51,48.99,1614284
7/23/2020 16:00:00,48.56,48.98,47.32,48,2054387
7/24/2020 16:00:00,47.94,48.6,47.16,47.92,1142533
7/27/2020 16:00:00,47.85,47.88,46.5,47.34,1896906
7/28/2020 16:00:00,47.08,47.87,46.74,47.29,1786727
7/29/2020 16:00:00,47.19,47.67,46.28,46.94,1447877
7/30/2020 16:00:00,46.31,46.63,45.82,46.47,1540109
7/31/2020 16:00:00,46.66,47.29,45.42,46.81,1606512
8/3/2020 16:00:00,46.68,47.04,44.95,46.67,1662058
8/4/2020 16:00:00,46.62,48.99,46.44,47.76,1965234
8/5/2020 16:00:00,48.5,48.6,47.04,47.64,2102484
8/6/2020 16:00:00,47.11,47.5,45.57,47.47,4398214
8/7/2020 16:00:00,47.11,47.98,46.44,47.65,2237274
8/10/2020 16:00:00,48.01,52.09,48.01,50.8,3381048
8/11/2020 16:00:00,52.14,53.05,51.3,51.69,3263264
8/12/2020 16:00:00,52.41,52.5,50.75,51.35,1181105
8/13/2020 16:00:00,50.98,52.02,50.88,51.3,1302015
8/14/2020 16:00:00,50.62,51.94,50.6,51.48,1121079
8/17/2020 16:00:00,51.66,51.66,49.65,50.89,2395884
8/18/2020 16:00:00,50.8,51.02,49.8,50.32,1195319
8/19/2020 16:00:00,50.62,52,50.44,51.56,1774601
8/20/2020 16:00:00,50.75,51.76,50.5,51.55,1501049
8/21/2020 16:00:00,51.48,52.64,51.02,51.12,1524896
8/24/2020 16:00:00,51.39,54.12,51.11,54.09,2363693
8/25/2020 16:00:00,54.16,54.72,52.97,53.68,2291298
8/26/2020 16:00:00,53.46,53.74,52.18,52.64,1889903
8/27/2020 16:00:00,53.37,58.5,53.02,57.26,6403065
8/28/2020 16:00:00,57.41,59.03,57.02,58.71,3098115
8/31/2020 16:00:00,58.73,58.73,56.66,56.8,2264040
9/1/2020 16:00:00,56.11,58,55.85,57.2,1846048
9/2/2020 16:00:00,56.66,57.94,56.45,57.9,1779002
9/3/2020 16:00:00,58,59.48,55.38,56.1,2563206
9/4/2020 16:00:00,56.99,58.3,56.03,57.58,3629891
9/8/2020 16:00:00,56.03,58.53,55.67,57.81,2403605
9/9/2020 16:00:00,58,58.13,56.05,57.24,2774282
9/10/2020 16:00:00,57.53,59.31,56.74,56.93,2619726
9/11/2020 16:00:00,56.99,57.43,56.37,57.14,1303988
9/14/2020 16:00:00,57.7,58.87,57,58.66,1498736
9/15/2020 16:00:00,58.66,59.06,57.83,58.85,2074937
9/16/2020 16:00:00,58.92,60.67,58.69,59.97,2756931
9/17/2020 16:00:00,59.39,60.24,57.91,58.56,1534767
9/18/2020 16:00:00,58.42,58.76,56.51,56.99,2911424
9/21/2020 16:00:00,55.5,55.76,52.51,53.16,4599245
9/22/2020 16:00:00,53.54,54.08,52.28,53.11,2077328
9/23/2020 16:00:00,53.63,54.14,51.3,51.34,2379837
9/24/2020 16:00:00,50.78,52.18,50.12,50.91,2202035
9/25/2020 16:00:00,50.79,53.58,50.78,53.24,1743854
