Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,57.75,58.12,57.08,57.74,17105619,6/5/2020 16:00:00,55.5,58.34,55.24,56.96,6009709,6/5/2020 16:00:00,101.3,102.97,100.5,101.13,3958309
6/8/2020 16:00:00,57.65,58.2,57.27,58.09,14962960,6/8/2020 16:00:00,58.27,59.7,56.03,57.09,4609044,6/8/2020 16:00:00,100.74,105.11,100.44,104.46,5043865
6/9/2020 16:00:00,57.75,58.13,57.37,57.86,14530771,6/9/2020 16:00:00,55.81,55.89,53.33,53.42,3062502,6/9/2020 16:00:00,102.18,103.54,101.77,103.19,5036986
6/10/2020 16:00:00,57.9,58.23,57.7,58.05,13649065,6/10/2020 16:00:00,54.04,54.04,50.61,52.48,3367203,6/10/2020 16:00:00,102.81,106.72,102.81,105.79,6273536
6/11/2020 16:00:00,57.48,57.94,56.4,56.45,23412480,6/11/2020 16:00:00,48.11,49.17,47,47.74,5178879,6/11/2020 16:00:00,104.51,105.31,100.74,100.89,7689251
6/12/2020 16:00:00,56.63,56.81,55.79,56.53,17129160,6/12/2020 16:00:00,50,51.09,48,49.12,2713675,6/12/2020 16:00:00,104.25,105.05,100.26,102.31,5289275
6/15/2020 16:00:00,55.73,56.54,55.28,56.15,14828780,6/15/2020 16:00:00,47.01,49.74,46.48,49.4,2245621,6/15/2020 16:00:00,101.32,105.19,100.73,104.68,3845924
6/16/2020 16:00:00,56.83,57.32,56.24,56.92,15025954,6/16/2020 16:00:00,50.86,51.44,48.11,49.2,2945914,6/16/2020 16:00:00,104,104,100.11,102.89,5767414
6/17/2020 16:00:00,57.14,57.17,56.51,56.65,10652053,6/17/2020 16:00:00,50,50,47.94,48,2163653,6/17/2020 16:00:00,103,104.8,102.34,102.63,3757402
6/18/2020 16:00:00,56.5,56.96,56.37,56.89,9019542,6/18/2020 16:00:00,48,48.57,47.55,48.32,2671148,6/18/2020 16:00:00,103.82,106.84,103.25,106.39,4698883
6/19/2020 16:00:00,57.35,57.47,56,56.16,28843754,6/19/2020 16:00:00,49.28,49.82,45.87,46.51,4052604,6/19/2020 16:00:00,107.34,109,106.39,106.9,9268315
6/22/2020 16:00:00,55.91,56.26,55.61,55.66,12333875,6/22/2020 16:00:00,46.55,46.61,44.66,45.78,4073218,6/22/2020 16:00:00,106.86,108.7,106.03,106.6,5090503
6/23/2020 16:00:00,55.75,55.85,54.91,54.94,20716400,6/23/2020 16:00:00,46.5,47.59,45.7,46.88,2642550,6/23/2020 16:00:00,103.7,110.46,103.5,107.16,22929080
6/24/2020 16:00:00,54.54,54.56,53.46,53.93,24794574,6/24/2020 16:00:00,45.88,46.25,42.82,44.18,5340977,6/24/2020 16:00:00,105.46,109.14,104.57,108.43,66903149
6/25/2020 16:00:00,53.91,54.39,53.34,54.28,17122520,6/25/2020 16:00:00,43.42,44.58,43.16,44.17,2770507,6/25/2020 16:00:00,109.78,111.58,108.51,110.19,55407307
6/26/2020 16:00:00,54.04,54.06,52.85,53.16,30211862,6/26/2020 16:00:00,44,44.34,42.37,42.62,3732012,6/26/2020 16:00:00,109.15,109.85,104.73,105.2,25367781
6/29/2020 16:00:00,53.31,54.71,53.31,54.69,15930280,6/29/2020 16:00:00,42.78,44.99,42.21,44.29,3925545,6/29/2020 16:00:00,105.79,106.26,103.95,105.96,9097070
6/30/2020 16:00:00,54.92,55.29,54.36,55.13,17414755,6/30/2020 16:00:00,44.31,44.69,43.27,44.33,2085015,6/30/2020 16:00:00,105.9,106.2,104,104.15,10833813
7/1/2020 16:00:00,55.09,55.33,54.58,54.67,12831579,7/1/2020 16:00:00,44.86,47.95,44.8,46.02,3014300,7/1/2020 16:00:00,105.68,106.25,103.85,106.13,9599885
7/2/2020 16:00:00,55.05,55.41,54.74,54.79,15814541,7/2/2020 16:00:00,46.9,47.36,45.12,45.36,1748819,7/2/2020 16:00:00,106.95,107.34,105.35,106.01,6411905
7/6/2020 16:00:00,55.35,55.43,54.91,55.24,11231082,7/6/2020 16:00:00,46.79,46.79,44.59,45.46,2922761,7/6/2020 16:00:00,106.6,107.68,106.2,106.78,5256628
