Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,101.3,102.97,100.5,101.13,3958309
6/8/2020 16:00:00,100.74,105.11,100.44,104.46,5043865
6/9/2020 16:00:00,102.18,103.54,101.77,103.19,5036986
6/10/2020 16:00:00,102.81,106.72,102.81,105.79,6273536
6/11/2020 16:00:00,104.51,105.31,100.74,100.89,7689251
6/12/2020 16:00:00,104.25,105.05,100.26,102.31,5289275
6/15/2020 16:00:00,101.32,105.19,100.73,104.68,3845924
6/16/2020 16:00:00,104,104,100.11,102.89,5767414
6/17/2020 16:00:00,103,104.8,102.34,102.63,3757402
6/18/2020 16:00:00,103.82,106.84,103.25,106.39,4698883
6/19/2020 16:00:00,107.34,109,106.39,106.9,9268315
6/22/2020 16:00:00,106.86,108.7,106.03,106.6,5090503
6/23/2020 16:00:00,103.7,110.46,103.5,107.16,22929080
6/24/2020 16:00:00,105.46,109.14,104.57,108.43,66903149
6/25/2020 16:00:00,109.78,111.58,108.51,110.19,55407307
6/26/2020 16:00:00,109.15,109.85,104.73,105.2,25367781
6/29/2020 16:00:00,105.79,106.26,103.95,105.96,9097070
6/30/2020 16:00:00,105.9,106.2,104,104.15,10833813
7/1/2020 16:00:00,105.68,106.25,103.85,106.13,9599885
7/2/2020 16:00:00,106.95,107.34,105.35,106.01,6411905
7/6/2020 16:00:00,106.6,107.68,106.2,106.78,5256628
7/7/2020 16:00:00,106.44,107.59,105.55,105.8,5572497
7/8/2020 16:00:00,106.25,106.63,105.37,106.61,4300360
7/9/2020 16:00:00,106.66,106.72,105.05,106.17,3956566
7/10/2020 16:00:00,105.82,107.19,105.29,107.05,4557925
7/13/2020 16:00:00,106.89,107.55,104.23,104.52,5752750
7/14/2020 16:00:00,103.57,106.54,103.57,105.39,7882234
7/15/2020 16:00:00,105.51,106.08,104.53,104.92,4476262
7/16/2020 16:00:00,104.5,104.86,103.43,104.49,5751199
7/17/2020 16:00:00,104.87,105.73,104.09,105.35,4009251
7/20/2020 16:00:00,105.4,106.28,105.03,106.14,3632370
7/21/2020 16:00:00,106.35,106.48,105.25,105.58,3602530
7/22/2020 16:00:00,105.66,106.34,104.74,104.93,4655264
7/23/2020 16:00:00,105.21,105.28,104.36,104.51,6640827
7/24/2020 16:00:00,104.52,105.23,104.23,104.93,4989983
7/27/2020 16:00:00,104.53,106.27,104.35,105.62,7958877
7/28/2020 16:00:00,105,105.5,104,104.52,3670038
7/29/2020 16:00:00,105.22,106.37,104.54,105.78,3606340
7/30/2020 16:00:00,104.72,105.95,104.59,105.48,2689603
7/31/2020 16:00:00,105.63,107.42,105.05,107.38,4119560
8/3/2020 16:00:00,107.98,108.74,106.82,106.88,4548307
8/4/2020 16:00:00,106.63,108.42,106.38,108.39,2991189
8/5/2020 16:00:00,108.74,109.16,107.26,107.9,3114618
8/6/2020 16:00:00,107.32,108.3,107.18,108.1,4016593
8/7/2020 16:00:00,113.24,118,113.09,115.09,13771167
8/10/2020 16:00:00,115.06,116.65,113.6,116.07,4812695
8/11/2020 16:00:00,116.08,116.2,113.28,113.59,4763144
8/12/2020 16:00:00,114.27,116.24,114.07,115.25,3512765
8/13/2020 16:00:00,115.15,117.15,114.89,115.37,3030470
8/14/2020 16:00:00,115.7,116.09,114.33,115.49,2027736
8/17/2020 16:00:00,115.98,117.32,115.82,116.87,3308932
8/18/2020 16:00:00,117.68,117.73,115.86,116.02,2363260
8/19/2020 16:00:00,116.69,116.93,114.92,115.14,2700447
8/20/2020 16:00:00,114.56,115.86,114.51,115.4,2268754
8/21/2020 16:00:00,114.34,115.25,113.38,115.01,2841035
8/24/2020 16:00:00,115.03,116.09,114.76,115.26,2713778
8/25/2020 16:00:00,115.56,115.56,114.6,115.41,2322267
8/26/2020 16:00:00,115.11,116.24,114.74,116.19,2953430
8/27/2020 16:00:00,116.62,116.62,115,115.24,2464847
8/28/2020 16:00:00,115.25,116.35,114.88,116.26,2798033
8/31/2020 16:00:00,115.49,117.11,115.41,116.68,3926105
9/1/2020 16:00:00,116.63,117.33,115.95,116.9,2938637
9/2/2020 16:00:00,117.83,119.2,117.14,118.88,3600379
9/3/2020 16:00:00,118.7,119.15,113.93,114.84,4411922
9/4/2020 16:00:00,115.49,116,112.21,114.29,4690951
9/8/2020 16:00:00,112.63,113.85,111.08,111.57,5686502
9/9/2020 16:00:00,111.64,114.56,111.64,113.2,4024445
9/10/2020 16:00:00,113.11,114.95,111.26,111.72,3862016
9/11/2020 16:00:00,112.28,113.42,110.45,111.58,3098311
9/14/2020 16:00:00,112.95,113.49,111.64,112.27,3939425
9/15/2020 16:00:00,113.12,116.15,112.48,115.93,4821923
9/16/2020 16:00:00,116.41,117.42,113.49,113.76,5759104
9/17/2020 16:00:00,110.94,112.79,110.11,111.91,5859348
9/18/2020 16:00:00,112.21,112.65,107.79,110.72,8822916
9/21/2020 16:00:00,109.92,110.67,108.9,110.57,4562640
9/22/2020 16:00:00,111.64,112.61,110.64,112.39,4332243
9/23/2020 16:00:00,112.8,112.83,108.66,109,3542047
9/24/2020 16:00:00,108.21,112.15,108.15,110.55,4184905
9/25/2020 16:00:00,110.25,112.56,109.71,112.02,5135097
9/28/2020 16:00:00,112.87,114.48,112.49,114.24,5850920
9/29/2020 16:00:00,114.35,114.84,113.29,113.52,3221574
9/30/2020 16:00:00,113.36,115.09,112.01,114.36,5174394
10/1/2020 16:00:00,115,116.43,113.89,115.73,4306879
10/2/2020 16:00:00,114.41,115.7,113,113.41,4014904
10/5/2020 16:00:00,113.46,114.99,113.42,114.8,2657343
10/6/2020 16:00:00,113.61,114.47,111.8,112.45,3335475
10/7/2020 16:00:00,113.02,114.52,112.62,114.22,3367494
10/8/2020 16:00:00,114.89,115.6,114.28,115.49,2254766
10/9/2020 16:00:00,115.58,117.52,115.52,117.23,3340123
10/12/2020 16:00:00,118.06,121.36,117.4,120.07,6498662
10/13/2020 16:00:00,120.8,123.42,120.07,121.57,5326459
10/14/2020 16:00:00,122.05,122.24,116.45,116.67,6639798
10/15/2020 16:00:00,115.81,116.95,114.07,115.3,3287558
10/16/2020 16:00:00,115.81,116.78,114.85,114.96,3762899
10/19/2020 16:00:00,115.47,115.55,112.01,112.75,3037461
10/20/2020 16:00:00,113.9,114.21,112.7,113.07,2744994
10/21/2020 16:00:00,112.67,113.79,112.21,112.42,3029688
10/22/2020 16:00:00,112.77,113.76,110.88,111.64,3604483
10/23/2020 16:00:00,112.5,112.62,110.9,112.38,2269311
10/26/2020 16:00:00,111.18,112.04,110.02,111.78,2764670
10/27/2020 16:00:00,111.78,113.56,111.13,112.82,2628909
10/28/2020 16:00:00,111.3,111.93,109.66,109.8,3661845
10/29/2020 16:00:00,109.28,111.04,108.9,109.51,2895872
10/30/2020 16:00:00,108.86,109.76,107.56,109.57,4041188
11/2/2020 16:00:00,111.14,111.14,108.75,110.39,3145029
11/3/2020 16:00:00,111.25,112.39,110.71,111.12,3341389
11/4/2020 16:00:00,113.91,116.88,112.81,116.02,5025909
11/5/2020 16:00:00,117.57,119.31,116.28,117.26,7669706
11/6/2020 16:00:00,127,127.03,122.71,123.56,8931300
11/9/2020 16:00:00,125.48,126.96,122.57,122.78,6190557
11/10/2020 16:00:00,119.03,123.24,118.6,121.72,4454849
11/11/2020 16:00:00,122.63,126.03,122.04,125.15,3931577
11/12/2020 16:00:00,125.41,127.8,124.73,126.81,3558580
11/13/2020 16:00:00,127.33,128.52,126.31,128.23,3399950
11/16/2020 16:00:00,129.82,130.11,127.56,128.65,3444455
11/17/2020 16:00:00,130.6,132.33,128.72,129,3648464
11/18/2020 16:00:00,129.63,130.51,127.84,127.85,3222918
11/19/2020 16:00:00,127.3,130.23,127.11,129.19,2427023
11/20/2020 16:00:00,129.66,130.34,128.36,129.68,4388200
11/23/2020 16:00:00,129.87,130.15,126.91,127.88,4177210
11/24/2020 16:00:00,127.47,129.02,125.76,128.06,4694679
11/25/2020 16:00:00,128.79,129.63,127.76,128.74,3562674
11/27/2020 13:00:00,129.12,132.47,128.87,131.9,2278372
11/30/2020 16:00:00,131.9,133.05,130.13,132.94,5746041
12/1/2020 16:00:00,132.92,133.94,132.24,133.73,3968513
12/2/2020 16:00:00,133.64,134.24,132.41,133.14,2926991
12/3/2020 16:00:00,131.65,132.97,131.09,131.19,3587959
12/4/2020 16:00:00,131.63,131.98,130.68,131.8,2029174
12/7/2020 16:00:00,132.08,133.08,131.92,132.96,2637360
12/8/2020 16:00:00,132.83,133.43,131.82,133.15,2442876
12/9/2020 16:00:00,133.88,133.88,130.57,131.12,3660502
12/10/2020 16:00:00,130.73,131.88,130.04,130.56,4164484
12/11/2020 16:00:00,130.57,131.63,129.69,131.23,2405262
12/14/2020 16:00:00,131.02,132.97,129.23,129.36,5296987
12/15/2020 16:00:00,129.7,130.71,128.78,130,2906341
12/16/2020 16:00:00,130.65,130.65,129.11,129.81,3262167
12/17/2020 16:00:00,130.32,130.76,129.65,130.01,4132224
12/18/2020 16:00:00,130.3,132.14,129.51,131.92,8782907
12/21/2020 16:00:00,130,131.23,127.63,130.22,3259744
12/22/2020 16:00:00,131.93,132.42,130.26,132.25,3061482
12/23/2020 16:00:00,132.25,132.87,130.95,132.23,2152440
12/24/2020 13:00:00,132.78,133.83,132.59,132.92,901102
12/28/2020 16:00:00,134.23,134.76,131.4,133,2569114
12/29/2020 16:00:00,133.52,133.97,131.65,133.14,1672539
12/30/2020 16:00:00,133.52,133.83,132.51,133.28,1673134
12/31/2020 16:00:00,133.15,135,133.1,134.85,2080626
1/4/2021 16:00:00,134.3,134.98,130.46,132.43,3433164
1/5/2021 16:00:00,131.95,132.24,130.46,131.85,2544524
1/6/2021 16:00:00,130.72,131.98,129.61,131.53,4485950
1/7/2021 16:00:00,133.81,135.45,133.16,133.19,4928104
1/8/2021 16:00:00,133.26,135.2,132.23,135.06,2951158
1/11/2021 16:00:00,134,135.54,132.75,132.93,3084163
1/12/2021 16:00:00,132.88,133.47,127.67,128.69,5374573
1/13/2021 16:00:00,129.14,129.9,128.45,128.5,2917272
1/14/2021 16:00:00,129.03,130.42,123.9,124.69,6359743
1/15/2021 16:00:00,124.75,127.9,124.75,127.28,4741035
1/19/2021 16:00:00,128.69,130.43,127.12,129.85,4033823
1/20/2021 16:00:00,130.12,132.42,129.5,132.3,4230427
1/21/2021 16:00:00,132.71,132.71,129.85,130.4,2688341
1/22/2021 16:00:00,130.44,131.32,129.12,130.36,2501591
1/25/2021 16:00:00,130.75,132.4,129.67,131.1,2892807
1/26/2021 16:00:00,130.02,132.71,130,131.41,3218974
1/27/2021 16:00:00,129.69,130,122.45,123.27,7023139
1/28/2021 16:00:00,125.79,129.6,124.5,127.77,5000209
1/29/2021 16:00:00,126.56,129.23,125.37,126.08,4597364
2/1/2021 16:00:00,126.29,129.35,125.21,128.42,4070209
2/2/2021 16:00:00,128.63,132.41,128.07,131.89,3455993
2/3/2021 16:00:00,131.85,132.65,128.75,129.37,3918351
2/4/2021 16:00:00,130.31,130.85,129.37,130.6,7395974
2/5/2021 16:00:00,129.02,129.59,124.55,125.28,10319059
2/8/2021 16:00:00,126.2,126.26,122.54,126.1,5742639
2/9/2021 16:00:00,125.92,125.99,124.05,124.45,3342881
2/10/2021 16:00:00,125.11,125.66,124.32,124.49,2879980
2/11/2021 16:00:00,125.43,125.45,123.46,124.4,3085307
2/12/2021 16:00:00,123.81,124.05,122.68,123.68,2713023
2/16/2021 16:00:00,122.98,123.38,121.38,122,4247536
2/17/2021 16:00:00,121.89,122.95,120.83,121.3,6108997
2/18/2021 16:00:00,120.85,123.24,119.6,123.04,6126292
2/19/2021 16:00:00,123.1,123.72,119.4,120.1,4961134
2/22/2021 16:00:00,119.15,119.85,117.4,117.91,5138507
2/23/2021 16:00:00,117.88,119.65,115.89,119.22,6390227
2/24/2021 16:00:00,117.72,119.51,116.77,119.38,4424972
2/25/2021 16:00:00,124.49,125.34,119.74,120.89,11337265
2/26/2021 16:00:00,119.75,121.66,118.88,119.97,5117952
3/1/2021 16:00:00,120.31,123.93,120.27,123.57,5813819
3/2/2021 16:00:00,123.9,124.56,122.42,122.45,4797734
3/3/2021 16:00:00,121.44,121.94,118.62,118.84,5390215
3/4/2021 16:00:00,119.19,121.52,117.41,118.61,4884173
3/5/2021 16:00:00,120.02,125.35,118.54,124.68,7944302
3/8/2021 16:00:00,124.09,128.46,123.85,127.06,7416016
3/9/2021 16:00:00,129.02,129.84,125.46,126.31,6409488
3/10/2021 16:00:00,128.43,129.12,126.06,127.41,4027759
3/11/2021 16:00:00,127.86,130.2,123.88,125.99,8824488
3/12/2021 16:00:00,126.57,127.67,124.68,127.12,6122524
3/15/2021 16:00:00,128.32,128.57,124.08,125.63,5601115
3/16/2021 16:00:00,125.8,128.81,124.84,127.78,4433176
3/17/2021 16:00:00,126.33,128.02,125.52,127.3,3471786
3/18/2021 16:00:00,125.38,126.54,124.82,124.91,3835061
3/19/2021 16:00:00,124.73,125.71,122.96,124.19,8848346
3/22/2021 16:00:00,124.66,127.1,124.64,126.11,4851005
3/23/2021 16:00:00,126.94,127.33,124.22,124.39,3653238
3/24/2021 16:00:00,125.28,125.3,122.31,122.36,3673104
3/25/2021 16:00:00,124.21,124.28,121.15,123.48,4259288
3/26/2021 16:00:00,123.87,124.72,121.02,122.99,4274705
3/29/2021 16:00:00,122.56,124.67,121.9,123.46,3255974
3/30/2021 16:00:00,123.53,125.39,122.28,124.64,4592512
3/31/2021 16:00:00,124.25,125.93,124.15,125.29,4160388
4/1/2021 16:00:00,125.86,127.66,124.85,127.65,4281660
4/5/2021 16:00:00,128.47,131.66,128.23,131.4,4316131
4/6/2021 16:00:00,130.37,131.99,130.37,131.43,4906642
4/7/2021 16:00:00,130.91,131.1,129.09,130.02,3057107
4/8/2021 16:00:00,130.88,130.91,129.61,130.11,2422809
4/9/2021 16:00:00,130.53,130.53,128.18,129.03,2388312
4/12/2021 16:00:00,128.49,131,128.23,130.76,2435777
4/13/2021 16:00:00,130.3,131.2,129.67,130.79,4516398
4/14/2021 16:00:00,130.68,130.79,129.61,129.9,2921544
4/15/2021 16:00:00,131.1,131.8,130.12,131.47,3241245
4/16/2021 16:00:00,131.99,133.55,131.32,133.05,3540286
4/19/2021 16:00:00,133.59,133.64,131.92,131.99,2575824
4/20/2021 16:00:00,131.7,131.7,128.48,130.55,3332393
4/21/2021 16:00:00,130.96,132.5,129.81,132.12,3368371
4/22/2021 16:00:00,132,132.88,130.59,131.73,3324462
4/23/2021 16:00:00,131.75,133.91,131.4,133.32,3025541
4/26/2021 16:00:00,133.41,133.41,131.91,132.5,2721749
4/27/2021 16:00:00,133.11,133.24,131.48,132.92,3008587
4/28/2021 16:00:00,132.35,132.64,131.53,132.08,2011401
4/29/2021 16:00:00,132.15,134.07,132.15,134.01,3402002
4/30/2021 16:00:00,133.05,133.18,131.51,132.13,4138415
5/3/2021 16:00:00,132.58,132.78,130.91,131.45,4192277
5/4/2021 16:00:00,130.83,131.13,127.09,128.48,4891763
5/5/2021 16:00:00,131.46,135.33,131.42,134.13,8802928
5/6/2021 16:00:00,133.68,138.98,132.21,138.88,8150179
5/7/2021 16:00:00,138.58,140.19,138.35,139.12,5831552
5/10/2021 16:00:00,138.33,139.72,135.69,135.81,5251565
5/11/2021 16:00:00,135.11,138.25,134.67,138,3151621
5/12/2021 16:00:00,135.98,137.38,135.85,136.64,3903568
5/13/2021 16:00:00,137.07,139.1,136.45,138.12,3737977
5/14/2021 16:00:00,139.06,143.09,138.73,141.52,5331130
5/17/2021 16:00:00,140.15,140.47,139.17,140.2,5452195
5/18/2021 16:00:00,139.98,139.98,134.86,135,8235639
5/19/2021 16:00:00,133.67,134.67,132.49,134.35,6709196
5/20/2021 16:00:00,134.59,136.68,134.3,136.16,4445979
5/21/2021 16:00:00,137.34,137.43,135.79,136.05,3718978
