Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,3475,3506.63,3397,3491.07,26707,6/5/2020 16:00:00,7.24,7.5,7.02,7.34,208648166,6/5/2020 16:00:00,90.42,93.72,86.65,87.2,6686190
6/8/2020 16:00:00,3500,3619.26,3499.5,3524.75,24384,6/8/2020 16:00:00,7.53,7.74,7.37,7.53,113169300,6/8/2020 16:00:00,89.86,90.78,88.54,89.7,4554527
6/9/2020 16:00:00,3497,3500,3405.27,3428.69,18841,6/9/2020 16:00:00,7.22,7.44,7.05,7.24,115749606,6/9/2020 16:00:00,87.8,87.83,85.25,86.13,3087065
6/10/2020 16:00:00,3420,3473,3309.53,3420.34,19273,6/10/2020 16:00:00,7.33,7.34,6.77,6.81,147327062,6/10/2020 16:00:00,85.38,85.92,82.35,82.83,3943085
6/11/2020 16:00:00,3315.2,3339.97,3098.63,3098.63,30767,6/11/2020 16:00:00,6.07,6.46,6.04,6.13,116184727,6/11/2020 16:00:00,78,80.61,76.73,77.59,5266458
6/12/2020 16:00:00,3207.92,3273.44,3101.05,3175.37,24368,6/12/2020 16:00:00,6.56,6.63,6.3,6.46,88778026,6/12/2020 16:00:00,80.93,81,76.16,77.45,4733592
6/15/2020 16:00:00,3050,3278.88,3050,3236.34,54222,6/15/2020 16:00:00,6.18,6.58,6.11,6.5,104742595,6/15/2020 16:00:00,74.54,78.43,73.85,77.48,3404488
6/16/2020 16:00:00,3299.15,3462.51,3299.15,3450.06,47136,6/16/2020 16:00:00,6.87,6.87,6.44,6.55,109535182,6/16/2020 16:00:00,81.29,81.74,76.72,78.25,3104173
6/17/2020 16:00:00,3470,3510,3440.02,3482.1,40915,6/17/2020 16:00:00,6.56,6.56,6.31,6.33,67831355,6/17/2020 16:00:00,77.86,78.47,75.85,76.42,3457760
6/18/2020 16:00:00,3431.86,3463.1,3335,3360.97,23358,6/18/2020 16:00:00,6.26,6.45,6.19,6.33,61301776,6/18/2020 16:00:00,75.74,79.14,75.43,78.16,3898964
6/19/2020 16:00:00,3435,3435,3255.7,3298.28,30965,6/19/2020 16:00:00,6.64,6.69,6.23,6.23,126127803,6/19/2020 16:00:00,79.23,79.26,75.39,76.17,4250957
6/22/2020 16:00:00,3278.64,3301.12,3240.39,3278.11,28146,6/22/2020 16:00:00,6.27,6.28,6.13,6.28,71724254,6/22/2020 16:00:00,75.95,76.81,74.83,76.08,1949483
6/23/2020 16:00:00,3320,3320,3254.94,3270.74,16313,6/23/2020 16:00:00,6.33,6.38,6.14,6.15,86672823,6/23/2020 16:00:00,76.74,76.95,75.16,75.68,3956916
6/24/2020 16:00:00,3240.87,3240.87,3103.24,3186.84,28317,6/24/2020 16:00:00,6.06,6.12,5.86,5.95,75536274,6/24/2020 16:00:00,75,75,71.59,73.19,3776898
6/25/2020 16:00:00,3150,3224,3120,3193.2,24348,6/25/2020 16:00:00,5.86,6.05,5.8,6.03,73612736,6/25/2020 16:00:00,72.49,72.73,70.81,72.51,3999906
6/26/2020 16:00:00,3169.75,3187,3113.7,3167.64,71890,6/26/2020 16:00:00,6.04,6.07,5.81,5.91,118435386,6/26/2020 16:00:00,72.19,72.3,69.83,71.16,9989508
6/29/2020 16:00:00,3188,3210.42,3114.88,3190.77,22778,6/29/2020 16:00:00,5.91,6.07,5.81,6.01,58208433,6/29/2020 16:00:00,71.52,73.92,70.11,73.92,3244033
6/30/2020 16:00:00,3194.88,3270,3194.88,3258.75,32233,6/30/2020 16:00:00,5.98,6.1,5.9,6.08,61909299,6/30/2020 16:00:00,73.55,73.94,72.02,73.45,4377429
7/1/2020 16:00:00,3254.88,3269.47,3175.55,3185.9,21667,7/1/2020 16:00:00,6.1,6.18,5.95,5.98,62454691,7/1/2020 16:00:00,74.68,76.53,74.12,74.44,3177018
7/2/2020 16:00:00,3247.8,3274,3158.88,3170,26362,7/2/2020 16:00:00,6.1,6.17,6,6.05,67270506,7/2/2020 16:00:00,76.79,76.98,74.13,74.52,1766401
7/6/2020 16:00:00,3224.65,3316.15,3204.99,3306.47,23675,7/6/2020 16:00:00,6.14,6.2,6.11,6.19,63921782,7/6/2020 16:00:00,76.08,76.35,74.98,76.24,2942722
7/7/2020 16:00:00,3275,3320,3221.68,3241.07,16180,7/7/2020 16:00:00,6.14,6.2,6.09,6.12,56651981,7/7/2020 16:00:00,75.26,75.46,73.75,74.17,2761225
7/8/2020 16:00:00,3265,3339.4,3263.11,3331.42,19318,7/8/2020 16:00:00,6.13,6.18,6.05,6.09,60928647,7/8/2020 16:00:00,74.3,75.09,73.4,75.09,3597082
7/9/2020 16:00:00,3330,3330,3216.6,3244.48,15677,7/9/2020 16:00:00,6.09,6.1,5.82,5.84,82693009,7/9/2020 16:00:00,75.41,75.59,72.52,74.13,2809601
7/10/2020 16:00:00,3250.01,3282.95,3230.09,3270.71,12899,7/10/2020 16:00:00,5.8,6.1,5.74,6.1,73710729,7/10/2020 16:00:00,73.83,75.27,73.5,75.24,2168551
7/13/2020 16:00:00,3280,3340,3205.05,3214.63,15642,7/13/2020 16:00:00,6.15,6.22,6.05,6.06,80190674,7/13/2020 16:00:00,75.55,76.26,73.55,73.58,2984946
7/14/2020 16:00:00,3199.53,3306.5,3199.53,3306.49,15300,7/14/2020 16:00:00,6.18,6.39,6.08,6.36,106131848,7/14/2020 16:00:00,73.21,73.54,71.86,73.51,2452006
7/15/2020 16:00:00,3366.99,3366.99,3260,3337.32,21919,7/15/2020 16:00:00,6.54,6.78,6.52,6.74,101648718,7/15/2020 16:00:00,76.6,81.48,76.01,80.92,4597152
7/16/2020 16:00:00,3329.47,3365.98,3302.78,3345.05,15139,7/16/2020 16:00:00,6.66,6.9,6.63,6.86,93498514,7/16/2020 16:00:00,79.8,81.22,78.96,80.89,2863460
7/17/2020 16:00:00,3399.45,3460.57,3330.98,3342.8,18405,7/17/2020 16:00:00,6.9,6.91,6.73,6.8,80836727,7/17/2020 16:00:00,80.67,80.69,78.51,79.9,2270133
7/20/2020 16:00:00,3359.97,3417.53,3277.85,3397.12,16180,7/20/2020 16:00:00,6.8,6.85,6.58,6.66,71361660,7/20/2020 16:00:00,79.44,80.32,77.53,78.17,2103501
7/21/2020 16:00:00,3460.1,3470,3350,3373.46,23512,7/21/2020 16:00:00,6.71,6.81,6.64,6.68,63343850,7/21/2020 16:00:00,79.31,80.4,78.54,80.12,2087077
7/22/2020 16:00:00,3510.25,3770,3500,3733.8,51561,7/22/2020 16:00:00,6.64,6.88,6.61,6.84,75629569,7/22/2020 16:00:00,79.61,80.35,78.79,79.62,2584135
7/23/2020 16:00:00,3757.86,3899.99,3682,3726.19,25104,7/23/2020 16:00:00,6.87,7.06,6.8,6.98,88652587,7/23/2020 16:00:00,78.72,79.23,77.11,78.86,2150342
7/24/2020 16:00:00,3712,3837.87,3658,3810.39,27234,7/24/2020 16:00:00,6.9,7.01,6.86,6.88,62292045,7/24/2020 16:00:00,78.42,78.5,76.93,77.43,1257384
7/27/2020 16:00:00,3817.67,3961.24,3760.25,3912,31040,7/27/2020 16:00:00,6.92,6.94,6.77,6.93,60370153,7/27/2020 16:00:00,76.55,77.45,75.36,77.34,2389791
7/28/2020 16:00:00,3931.5,3936.96,3778.08,3787.8,27774,7/28/2020 16:00:00,6.9,7.05,6.9,7.01,56312514,7/28/2020 16:00:00,77.02,77.58,76.5,76.67,2194787
7/29/2020 16:00:00,3817,3937.36,3807.01,3934,19511,7/29/2020 16:00:00,7.05,7.06,6.83,6.92,59437160,7/29/2020 16:00:00,77.25,78.01,76.93,77.39,1605058
7/30/2020 16:00:00,3872,4000,3872,3943.55,23071,7/30/2020 16:00:00,6.74,6.83,6.67,6.74,58990992,7/30/2020 16:00:00,76.5,76.96,75.38,76.14,2288581
7/31/2020 16:00:00,3945,3979.5,3850.11,3930.15,14211,7/31/2020 16:00:00,6.89,6.9,6.52,6.61,115394121,7/31/2020 16:00:00,75.68,75.76,74.02,75.05,4115075
