Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,7.24,7.5,7.02,7.34,208648166
6/8/2020 16:00:00,7.53,7.74,7.37,7.53,113169300
6/9/2020 16:00:00,7.22,7.44,7.05,7.24,115749606
6/10/2020 16:00:00,7.33,7.34,6.77,6.81,147327062
6/11/2020 16:00:00,6.07,6.46,6.04,6.13,116184727
6/12/2020 16:00:00,6.56,6.63,6.3,6.46,88778026
6/15/2020 16:00:00,6.18,6.58,6.11,6.5,104742595
6/16/2020 16:00:00,6.87,6.87,6.44,6.55,109535182
6/17/2020 16:00:00,6.56,6.56,6.31,6.33,67831355
6/18/2020 16:00:00,6.26,6.45,6.19,6.33,61301776
6/19/2020 16:00:00,6.64,6.69,6.23,6.23,126127803
6/22/2020 16:00:00,6.27,6.28,6.13,6.28,71724254
6/23/2020 16:00:00,6.33,6.38,6.14,6.15,86672823
6/24/2020 16:00:00,6.06,6.12,5.86,5.95,75536274
6/25/2020 16:00:00,5.86,6.05,5.8,6.03,73612736
6/26/2020 16:00:00,6.04,6.07,5.81,5.91,118435386
6/29/2020 16:00:00,5.91,6.07,5.81,6.01,58208433
6/30/2020 16:00:00,5.98,6.1,5.9,6.08,61909299
7/1/2020 16:00:00,6.1,6.18,5.95,5.98,62454691
7/2/2020 16:00:00,6.1,6.17,6,6.05,67270506
7/6/2020 16:00:00,6.14,6.2,6.11,6.19,63921782
7/7/2020 16:00:00,6.14,6.2,6.09,6.12,56651981
7/8/2020 16:00:00,6.13,6.18,6.05,6.09,60928647
7/9/2020 16:00:00,6.09,6.1,5.82,5.84,82693009
7/10/2020 16:00:00,5.8,6.1,5.74,6.1,73710729
7/13/2020 16:00:00,6.15,6.22,6.05,6.06,80190674
7/14/2020 16:00:00,6.18,6.39,6.08,6.36,106131848
7/15/2020 16:00:00,6.54,6.78,6.52,6.74,101648718
7/16/2020 16:00:00,6.66,6.9,6.63,6.86,93498514
7/17/2020 16:00:00,6.9,6.91,6.73,6.8,80836727
7/20/2020 16:00:00,6.8,6.85,6.58,6.66,71361660
7/21/2020 16:00:00,6.71,6.81,6.64,6.68,63343850
7/22/2020 16:00:00,6.64,6.88,6.61,6.84,75629569
7/23/2020 16:00:00,6.87,7.06,6.8,6.98,88652587
7/24/2020 16:00:00,6.9,7.01,6.86,6.88,62292045
7/27/2020 16:00:00,6.92,6.94,6.77,6.93,60370153
7/28/2020 16:00:00,6.9,7.05,6.9,7.01,56312514
7/29/2020 16:00:00,7.05,7.06,6.83,6.92,59437160
7/30/2020 16:00:00,6.74,6.83,6.67,6.74,58990992
7/31/2020 16:00:00,6.89,6.9,6.52,6.61,115394121
8/3/2020 16:00:00,6.65,6.72,6.53,6.69,53845888
8/4/2020 16:00:00,6.91,6.91,6.73,6.86,69377566
8/5/2020 16:00:00,6.86,7.03,6.86,6.96,82716372
8/6/2020 16:00:00,6.93,7,6.89,6.93,48668518
8/7/2020 16:00:00,6.87,6.92,6.79,6.86,47480059
8/10/2020 16:00:00,6.91,7.13,6.91,7.09,57229040
8/11/2020 16:00:00,7.21,7.38,7.19,7.23,74016358
8/12/2020 16:00:00,7.33,7.37,7.06,7.11,59194125
8/13/2020 16:00:00,7.03,7.18,7,7.03,50066758
8/14/2020 16:00:00,6.97,7.11,6.93,7.04,43517662
8/17/2020 16:00:00,7.05,7.06,6.87,6.98,64555154
8/18/2020 16:00:00,6.98,7.01,6.89,6.89,40444196
8/19/2020 16:00:00,6.89,7.02,6.86,6.87,44158123
8/20/2020 16:00:00,6.77,6.89,6.73,6.84,41824523
8/21/2020 16:00:00,6.78,6.85,6.65,6.66,39158895
8/24/2020 16:00:00,6.73,7,6.69,6.98,64974707
8/25/2020 16:00:00,7.01,7.1,6.86,6.94,49549976
8/26/2020 16:00:00,6.94,6.97,6.77,6.82,48600095
8/27/2020 16:00:00,6.83,6.98,6.83,6.91,45740870
8/28/2020 16:00:00,6.93,6.95,6.86,6.94,39936920
8/31/2020 16:00:00,6.9,6.93,6.79,6.82,50089521
9/1/2020 16:00:00,6.77,6.87,6.72,6.83,48214176
9/2/2020 16:00:00,6.81,6.97,6.77,6.95,59008942
9/3/2020 16:00:00,6.92,7.09,6.76,6.82,78130883
9/4/2020 16:00:00,6.86,6.95,6.75,6.9,70017540
9/8/2020 16:00:00,6.83,7.17,6.81,7.03,84749275
9/9/2020 16:00:00,7.07,7.1,6.93,6.97,56501430
9/10/2020 16:00:00,6.99,7.04,6.87,6.91,69228601
9/11/2020 16:00:00,6.94,7,6.85,7,55080562
9/14/2020 16:00:00,7.01,7.18,6.98,7.12,58704316
9/15/2020 16:00:00,7.16,7.18,7,7.04,65198498
9/16/2020 16:00:00,7.05,7.12,6.99,7.02,46269822
9/17/2020 16:00:00,7.04,7.34,6.98,7.28,84850147
9/18/2020 16:00:00,7.31,7.4,7.22,7.23,71929396
9/21/2020 16:00:00,7.09,7.09,6.81,6.87,72850263
9/22/2020 16:00:00,6.89,6.99,6.77,6.78,55865537
9/23/2020 16:00:00,6.81,6.93,6.63,6.64,52588559
9/24/2020 16:00:00,6.6,6.76,6.41,6.66,59822911
9/25/2020 16:00:00,6.61,6.71,6.5,6.51,53761843
9/28/2020 16:00:00,6.59,6.77,6.58,6.69,47582634
9/29/2020 16:00:00,6.69,6.7,6.54,6.6,39014263
9/30/2020 16:00:00,6.61,6.75,6.59,6.66,55944608
10/1/2020 16:00:00,6.71,6.77,6.63,6.75,58340607
10/2/2020 16:00:00,6.62,6.93,6.6,6.89,60798406
10/5/2020 16:00:00,6.95,7.05,6.95,7.02,42359406
10/6/2020 16:00:00,7.06,7.25,6.96,6.98,78203805
10/7/2020 16:00:00,7.11,7.25,7.06,7.23,50664144
10/8/2020 16:00:00,7.29,7.35,7.2,7.35,54513310
10/9/2020 16:00:00,7.36,7.44,7.23,7.25,50977882
10/12/2020 16:00:00,7.36,7.87,7.33,7.67,97692932
10/13/2020 16:00:00,7.82,7.88,7.63,7.76,74562568
10/14/2020 16:00:00,7.73,7.75,7.55,7.57,57808898
10/15/2020 16:00:00,7.42,7.62,7.37,7.62,49336159
10/16/2020 16:00:00,7.71,7.75,7.61,7.67,47509411
10/19/2020 16:00:00,7.68,7.72,7.57,7.59,38960741
10/20/2020 16:00:00,7.62,7.85,7.58,7.74,63447005
10/21/2020 16:00:00,7.77,7.88,7.73,7.85,51981072
10/22/2020 16:00:00,7.93,8.22,7.89,8.21,74008467
10/23/2020 16:00:00,8.3,8.35,8.09,8.16,62248980
10/26/2020 16:00:00,8.04,8.07,7.94,8.03,62130950
10/27/2020 16:00:00,8.01,8.09,7.9,7.92,64154483
10/28/2020 16:00:00,7.68,7.88,7.63,7.7,82938283
10/29/2020 16:00:00,8.17,8.24,7.85,7.9,118999898
10/30/2020 16:00:00,7.85,7.91,7.61,7.73,79392475
11/2/2020 16:00:00,7.83,7.86,7.68,7.71,59962912
11/3/2020 16:00:00,7.76,7.93,7.73,7.88,65108842
11/4/2020 16:00:00,7.86,7.87,7.63,7.64,67326839
11/5/2020 16:00:00,7.76,7.99,7.71,7.99,61442609
11/6/2020 16:00:00,8.01,8.02,7.75,7.79,50912118
11/9/2020 16:00:00,8.11,8.38,8.08,8.2,110511311
11/10/2020 16:00:00,8.23,8.59,8.18,8.38,87468359
11/11/2020 16:00:00,8.6,8.6,8.29,8.33,75644426
11/12/2020 16:00:00,8.26,8.29,8.1,8.21,82319824
11/13/2020 16:00:00,8.23,8.57,8.23,8.54,79534153
11/16/2020 16:00:00,8.74,8.85,8.61,8.8,84853863
11/17/2020 16:00:00,8.66,8.85,8.63,8.75,46754509
11/18/2020 16:00:00,8.82,9.05,8.78,8.82,77759269
11/19/2020 16:00:00,8.88,8.88,8.74,8.82,56672693
11/20/2020 16:00:00,8.81,8.82,8.68,8.74,57024269
11/23/2020 16:00:00,8.82,8.98,8.78,8.86,71537109
11/24/2020 16:00:00,9.15,9.5,9.14,9.45,99520477
11/25/2020 16:00:00,9.2,9.25,9,9.08,95217812
11/27/2020 13:00:00,9.12,9.14,9.03,9.09,27853853
11/30/2020 16:00:00,9.23,9.23,8.98,9.08,77970082
12/1/2020 16:00:00,9.16,9.4,9.16,9.24,68970330
12/2/2020 16:00:00,9.16,9.24,9.08,9.2,48344954
12/3/2020 16:00:00,9.26,9.32,9.15,9.21,50302055
12/4/2020 16:00:00,9.26,9.44,9.24,9.34,48775547
12/7/2020 16:00:00,9.31,9.33,9.15,9.22,58305187
12/8/2020 16:00:00,9.19,9.33,9.17,9.25,56296667
12/9/2020 16:00:00,9.31,9.49,9.29,9.45,60780320
12/10/2020 16:00:00,9.31,9.32,9.1,9.12,83372755
12/11/2020 16:00:00,9.19,9.19,9.01,9.02,73438229
12/14/2020 16:00:00,9.13,9.18,8.88,8.91,76826024
12/15/2020 16:00:00,9.03,9.15,8.94,9.15,69665880
12/16/2020 16:00:00,9.17,9.18,8.97,9.04,55274531
12/17/2020 16:00:00,9.09,9.13,9,9.08,49301597
12/18/2020 16:00:00,9.09,9.09,8.91,8.95,78764619
12/21/2020 16:00:00,8.87,9.01,8.79,8.93,63908127
12/22/2020 16:00:00,8.98,8.99,8.75,8.79,59157726
12/23/2020 16:00:00,8.82,9.03,8.8,8.99,54086667
12/24/2020 13:00:00,9.01,9.02,8.8,8.86,27926995
12/28/2020 16:00:00,8.92,8.98,8.86,8.89,38068418
12/29/2020 16:00:00,8.93,8.93,8.78,8.82,37537854
12/30/2020 16:00:00,8.83,8.92,8.81,8.86,38461904
12/31/2020 16:00:00,8.84,8.86,8.78,8.79,40176529
1/4/2021 16:00:00,8.81,8.84,8.43,8.52,85043079
1/5/2021 16:00:00,8.47,8.72,8.46,8.65,70127787
1/6/2021 16:00:00,8.79,8.94,8.68,8.84,72590208
1/7/2021 16:00:00,8.94,9.08,8.88,9.06,77117101
1/8/2021 16:00:00,9.1,9.14,8.89,9,59162167
