Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,3475,3506.63,3397,3491.07,26707
6/8/2020 16:00:00,3500,3619.26,3499.5,3524.75,24384
6/9/2020 16:00:00,3497,3500,3405.27,3428.69,18841
6/10/2020 16:00:00,3420,3473,3309.53,3420.34,19273
6/11/2020 16:00:00,3315.2,3339.97,3098.63,3098.63,30767
6/12/2020 16:00:00,3207.92,3273.44,3101.05,3175.37,24368
6/15/2020 16:00:00,3050,3278.88,3050,3236.34,54222
6/16/2020 16:00:00,3299.15,3462.51,3299.15,3450.06,47136
6/17/2020 16:00:00,3470,3510,3440.02,3482.1,40915
6/18/2020 16:00:00,3431.86,3463.1,3335,3360.97,23358
6/19/2020 16:00:00,3435,3435,3255.7,3298.28,30965
6/22/2020 16:00:00,3278.64,3301.12,3240.39,3278.11,28146
6/23/2020 16:00:00,3320,3320,3254.94,3270.74,16313
6/24/2020 16:00:00,3240.87,3240.87,3103.24,3186.84,28317
6/25/2020 16:00:00,3150,3224,3120,3193.2,24348
6/26/2020 16:00:00,3169.75,3187,3113.7,3167.64,71890
6/29/2020 16:00:00,3188,3210.42,3114.88,3190.77,22778
6/30/2020 16:00:00,3194.88,3270,3194.88,3258.75,32233
7/1/2020 16:00:00,3254.88,3269.47,3175.55,3185.9,21667
7/2/2020 16:00:00,3247.8,3274,3158.88,3170,26362
7/6/2020 16:00:00,3224.65,3316.15,3204.99,3306.47,23675
7/7/2020 16:00:00,3275,3320,3221.68,3241.07,16180
7/8/2020 16:00:00,3265,3339.4,3263.11,3331.42,19318
7/9/2020 16:00:00,3330,3330,3216.6,3244.48,15677
7/10/2020 16:00:00,3250.01,3282.95,3230.09,3270.71,12899
7/13/2020 16:00:00,3280,3340,3205.05,3214.63,15642
7/14/2020 16:00:00,3199.53,3306.5,3199.53,3306.49,15300
7/15/2020 16:00:00,3366.99,3366.99,3260,3337.32,21919
7/16/2020 16:00:00,3329.47,3365.98,3302.78,3345.05,15139
7/17/2020 16:00:00,3399.45,3460.57,3330.98,3342.8,18405
7/20/2020 16:00:00,3359.97,3417.53,3277.85,3397.12,16180
7/21/2020 16:00:00,3460.1,3470,3350,3373.46,23512
7/22/2020 16:00:00,3510.25,3770,3500,3733.8,51561
7/23/2020 16:00:00,3757.86,3899.99,3682,3726.19,25104
7/24/2020 16:00:00,3712,3837.87,3658,3810.39,27234
7/27/2020 16:00:00,3817.67,3961.24,3760.25,3912,31040
7/28/2020 16:00:00,3931.5,3936.96,3778.08,3787.8,27774
7/29/2020 16:00:00,3817,3937.36,3807.01,3934,19511
7/30/2020 16:00:00,3872,4000,3872,3943.55,23071
7/31/2020 16:00:00,3945,3979.5,3850.11,3930.15,14211
8/3/2020 16:00:00,3935,3988.55,3867.56,3874.2,18736
8/4/2020 16:00:00,3858,3869.85,3820,3867.47,11689
8/5/2020 16:00:00,3874.56,3874.56,3803.53,3831.69,23582
8/6/2020 16:00:00,3818.44,3877.52,3770.02,3873.98,17916
8/7/2020 16:00:00,3895,3942.55,3796.87,3875.01,22550
8/10/2020 16:00:00,3865,4001.32,3858.04,3910.01,23826
8/11/2020 16:00:00,3935.51,3983.62,3859.94,3934.4,36221
8/12/2020 16:00:00,3946.58,4059.5,3920,4035.47,31441
8/13/2020 16:00:00,3992.99,4074.17,3980,4050,14372
8/14/2020 16:00:00,4049,4051.08,3990.18,4044.81,17132
8/17/2020 16:00:00,4045,4185.24,4045,4145.39,18340
8/18/2020 16:00:00,4181.26,4222.24,4125.02,4197.05,29047
8/19/2020 16:00:00,4167.7,4197,4104.55,4151.03,17923
8/20/2020 16:00:00,4147.88,4196.99,4115,4155.62,13118
8/21/2020 16:00:00,4137.78,4247.97,4117,4223.76,20859
8/24/2020 16:00:00,4245.01,4317.58,4198,4310.09,31207
8/25/2020 16:00:00,4295.11,4295.11,4189.31,4224.28,17382
8/26/2020 16:00:00,4200.01,4242.87,4100,4220,23888
8/27/2020 16:00:00,4261.03,4318,4191.93,4218.28,21746
8/28/2020 16:00:00,4164.22,4260.02,4164.22,4207.18,14188
8/31/2020 16:00:00,4185.2,4218,4116.55,4168.34,22961
9/1/2020 16:00:00,4140,4199.87,4138.09,4186.88,16240
9/2/2020 16:00:00,4187,4247.43,4111.55,4219.21,12725
9/3/2020 16:00:00,4209.39,4209.39,4007.2,4030.8,24255
9/4/2020 16:00:00,4062.62,4080.75,3861.97,3931.93,22144
9/8/2020 16:00:00,3845.97,3998.1,3845.97,3915.61,16372
9/9/2020 16:00:00,3951,4040,3936.55,4012.24,11442
9/10/2020 16:00:00,4015,4059,3921.01,3953.96,14145
9/11/2020 16:00:00,3975.61,4068,3954.13,4047.27,15415
9/14/2020 16:00:00,4098.48,4146.38,4040,4142.22,25428
9/15/2020 16:00:00,4148,4242.41,4013.44,4020.99,20481
9/16/2020 16:00:00,4057.76,4239.55,4042.13,4219.53,25589
9/17/2020 16:00:00,4166.62,4182.2,4100,4147.88,30762
9/18/2020 16:00:00,4197,4197.2,4030.01,4033.3,54362
9/21/2020 16:00:00,3962.12,4017.57,3890.01,3931.29,23118
9/22/2020 16:00:00,3962.09,4052.94,3930.01,4044.52,17798
9/23/2020 16:00:00,4014.85,4032.02,3831.25,3853.15,19998
9/24/2020 16:00:00,3858.34,3977.53,3823.31,3909,14581
9/25/2020 16:00:00,3918,3963.05,3848,3930.51,12333
9/28/2020 16:00:00,3971,4104.1,3971,4078.55,14126
9/29/2020 16:00:00,4060.01,4065.66,3983.49,4001.56,11104
9/30/2020 16:00:00,4035.17,4152.15,4019,4083.12,22352
10/1/2020 16:00:00,4117.34,4240,4070.01,4228.31,19101
10/2/2020 16:00:00,4188,4250,4120,4194.98,13452
10/5/2020 16:00:00,4242.7,4265.26,4133.02,4215.58,16990
10/6/2020 16:00:00,4228.6,4268,4085.1,4145.26,24337
10/7/2020 16:00:00,4188,4252.7,4105.88,4208.82,17262
10/8/2020 16:00:00,4243.81,4376.78,4208.82,4348.4,14944
10/9/2020 16:00:00,4392.7,4428.1,4327.19,4399.01,18128
