Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,204.02,205.02,202.59,203.65,132696
6/8/2020 16:00:00,205.67,207.41,205.46,207.41,115783
6/9/2020 16:00:00,205.55,206.47,203.35,205.38,100643
6/10/2020 16:00:00,206.4,206.53,202.95,203.8,71602
6/11/2020 16:00:00,196.76,199.5,191.81,192.1,141634
6/12/2020 16:00:00,197.67,198.63,190.16,194.39,76176
6/15/2020 16:00:00,189.64,197.5,188.93,196.95,74517
6/16/2020 16:00:00,203.42,203.42,197.64,200.8,115899
6/17/2020 16:00:00,201.95,202.37,199.88,200.51,53026
6/18/2020 16:00:00,199.44,200.99,198.95,199.7,45467
6/19/2020 16:00:00,202.28,202.28,197.64,198.3,47147
6/22/2020 16:00:00,197.54,199.94,196.43,199.92,43027
6/23/2020 16:00:00,202,202.98,201.03,201.89,54432
6/24/2020 16:00:00,200.56,200.96,194.32,196.38,121273
6/25/2020 16:00:00,195.74,196.94,193.64,196.88,70551
6/26/2020 16:00:00,196.85,197.34,192.28,192.56,98183
6/29/2020 16:00:00,193.52,197.04,190.98,196.68,47468
6/30/2020 16:00:00,196.63,200.62,196.63,200,61779
7/1/2020 16:00:00,200.62,202.86,200.35,202.32,109364
7/2/2020 16:00:00,205.97,207.02,202.84,203.65,73604
7/6/2020 16:00:00,207.17,209.73,207,209.66,73476
7/7/2020 16:00:00,208.95,209.67,206.27,206.53,87241
7/8/2020 16:00:00,207.19,208.87,206.02,208.87,44376
7/9/2020 16:00:00,209.67,209.93,205,208.48,71045
7/10/2020 16:00:00,208.65,212.48,207.28,212.23,66948
7/13/2020 16:00:00,214.93,218.35,208.09,208.56,616876
7/14/2020 16:00:00,208,210.76,205,210.76,83287
7/15/2020 16:00:00,213.85,215,210.66,214.57,89488
7/16/2020 16:00:00,212.42,214.31,211.78,213.82,68755
7/17/2020 16:00:00,214.48,214.48,211.95,212.49,55492
7/20/2020 16:00:00,212.84,217.64,212.37,217.09,58225
7/21/2020 16:00:00,219.06,219.61,216.69,217.25,59868
7/22/2020 16:00:00,217.2,219.18,217.2,219.03,77788
7/23/2020 16:00:00,220.03,220.03,213.72,215.41,90760
7/24/2020 16:00:00,213.02,215.7,211.86,214.57,73098
7/27/2020 16:00:00,215.69,217.82,214.5,217.55,87049
7/28/2020 16:00:00,217.23,218.05,214.94,214.99,129629
7/29/2020 16:00:00,216.65,218.77,216.65,218.31,44190
7/30/2020 16:00:00,216.36,219,215.35,218.06,49711
7/31/2020 16:00:00,221.17,221.17,216.01,218.42,55328
8/3/2020 16:00:00,219.43,219.87,218.35,219.19,87992
8/4/2020 16:00:00,219.09,220.79,219.05,220.78,48163
8/5/2020 16:00:00,221.82,224.24,221.71,224.2,47233
8/6/2020 16:00:00,223.77,225.54,223.29,225.04,86269
8/7/2020 16:00:00,225.24,226.18,222.85,224.92,54106
8/10/2020 16:00:00,226.27,227.21,224.76,226.5,82435
8/11/2020 16:00:00,227.98,229.29,225.3,225.59,95922
8/12/2020 16:00:00,228.56,230.15,227.9,229.98,78212
8/13/2020 16:00:00,230.19,232.59,230.19,230.91,66857
8/14/2020 16:00:00,230.9,231.57,230.03,231.19,64145
8/17/2020 16:00:00,233.07,235.58,232.73,235.38,86646
8/18/2020 16:00:00,236.77,237.75,235,237.22,92595
8/19/2020 16:00:00,237.64,237.82,235.74,235.93,91102
8/20/2020 16:00:00,234.24,237.45,233.56,236.64,80092
8/21/2020 16:00:00,236.88,238.46,236.87,238.04,63127
8/24/2020 16:00:00,240.34,241.27,238.41,240.75,92644
8/25/2020 16:00:00,241.19,241.48,239.56,241.48,237667
8/26/2020 16:00:00,241.95,245.14,241.88,244.71,121354
8/27/2020 16:00:00,246.29,246.5,242.59,244.39,104560
8/28/2020 16:00:00,246.15,246.54,244.72,245.67,73270
8/31/2020 16:00:00,245.97,248.05,244.25,246.7,123144
9/1/2020 16:00:00,247.3,249.56,246.24,249.52,114462
9/2/2020 16:00:00,251.33,251.74,246.13,250.9,123080
9/3/2020 16:00:00,248.5,248.67,238.73,241.23,243452
9/4/2020 16:00:00,241.2,243.28,230.49,238.68,176675
9/8/2020 16:00:00,232.33,236.5,230.43,231.5,184491
9/9/2020 16:00:00,234.59,238.44,233.58,237.07,129469
9/10/2020 16:00:00,239.3,242.2,233.91,234.64,137363
9/11/2020 16:00:00,232.97,232.97,227.81,230.35,95933
9/14/2020 16:00:00,233.43,235.21,232.65,234.98,126351
9/15/2020 16:00:00,237.28,239.05,236.16,237.83,166684
9/16/2020 16:00:00,238.85,239.54,236.07,236.27,141699
9/17/2020 16:00:00,231.57,234,230.5,232.38,646568
9/18/2020 16:00:00,233.73,233.95,227.57,230.26,102569
9/21/2020 16:00:00,227,227.68,221.78,227.62,208478
9/22/2020 16:00:00,228.34,232.25,227.44,231.8,73580
9/23/2020 16:00:00,233.1,233.16,225.33,225.61,543411
9/24/2020 16:00:00,223.85,229.1,221.6,225.6,79896
9/25/2020 16:00:00,225.74,229.92,224.86,229.53,75174
9/28/2020 16:00:00,233.48,235.18,232.32,234.85,65837
9/29/2020 16:00:00,234.73,234.73,232.62,232.84,205219
9/30/2020 16:00:00,233.25,237.28,233.25,234.62,170359
10/1/2020 16:00:00,237.38,239.64,236.3,239.64,104706
10/2/2020 16:00:00,234.12,238.42,233.16,237.3,107758
10/5/2020 16:00:00,239.29,241.25,239,241.15,79725
10/6/2020 16:00:00,241.67,242.45,236,236.74,567034
10/7/2020 16:00:00,239.47,242.98,239.47,242.48,98847
10/8/2020 16:00:00,244.61,244.61,242.36,243.95,50520
10/9/2020 16:00:00,245.63,247.22,245.16,246.83,80515
10/12/2020 16:00:00,248.98,251.36,248.29,250.11,91243
10/13/2020 16:00:00,250,251.39,248.54,250.65,139028
10/14/2020 16:00:00,251.44,252,247.5,248.55,48711
10/15/2020 16:00:00,245,250.06,244.17,249.42,57236
10/16/2020 16:00:00,250.75,251.59,246.15,246.73,79147
10/19/2020 16:00:00,248.56,249.42,243.26,243.6,69464
10/20/2020 16:00:00,245.36,248,244.4,244.95,56403
10/21/2020 16:00:00,245.03,246.1,242.86,243.04,43710
10/22/2020 16:00:00,244.13,244.47,240.87,243.93,45735
10/23/2020 16:00:00,245.18,245.89,242.46,245.86,44455
10/26/2020 16:00:00,243.23,244.95,237.89,241.6,104709
10/27/2020 16:00:00,242.22,243.24,241.16,241.97,69454
10/28/2020 16:00:00,237.68,238.37,234.2,234.59,233481
10/29/2020 16:00:00,235.39,238.01,233.72,235.86,95040
10/30/2020 16:00:00,233.75,233.91,227.52,229.12,139185
11/2/2020 16:00:00,231.95,233.06,228.49,231.38,95138
11/3/2020 16:00:00,234.04,238.25,232.72,237.05,126477
11/4/2020 16:00:00,239.85,244.44,239.74,242.37,107225
11/5/2020 16:00:00,246.88,249.07,246.23,248.5,114273
11/6/2020 16:00:00,248.38,248.38,245.4,247.11,64501
11/9/2020 16:00:00,258.3,258.3,244.72,244.72,156082
11/10/2020 16:00:00,244.68,244.85,240.36,243.23,106912
11/11/2020 16:00:00,245.27,246.7,244.51,246.12,72676
11/12/2020 16:00:00,245.54,246.46,241.46,242.8,121779
11/13/2020 16:00:00,244.12,246.44,243.99,246.13,48211
11/16/2020 16:00:00,248.86,249.12,247,249.12,222488
11/17/2020 16:00:00,250.33,251.86,248.56,250.9,170190
11/18/2020 16:00:00,251.28,254.16,250.68,251.32,77866
11/19/2020 16:00:00,251.58,253.71,251,253.54,68209
11/20/2020 16:00:00,253.88,253.88,252.5,252.5,61877
11/23/2020 16:00:00,254.51,257.87,254.51,257.12,96294
11/24/2020 16:00:00,260.3,262.25,258.85,261.59,114578
11/25/2020 16:00:00,261.51,263.34,260.32,262.78,87676
11/27/2020 13:00:00,264.36,265.06,263.47,264.4,54572
11/30/2020 16:00:00,264.66,264.75,257.86,261.48,121499
12/1/2020 16:00:00,264.59,265.2,262,264.37,177247
12/2/2020 16:00:00,262.53,262.56,259.68,261.93,107959
