Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,202.81,202.81,194.29,197.57,2881279,6/5/2020 16:00:00,63.37,64.38,61.14,61.59,6726916,6/5/2020 16:00:00,76.5,77.18,75.78,75.91,5395750
6/8/2020 16:00:00,194.5,199.25,194,198.76,1745881,6/8/2020 16:00:00,65.01,65.01,63.18,64.11,6450097,6/8/2020 16:00:00,75.46,77.78,75.1,77.7,5141371
6/9/2020 16:00:00,200,203.22,198.02,202.07,2118437,6/9/2020 16:00:00,62.89,62.89,60.15,61.39,5418691,6/9/2020 16:00:00,77.07,77.09,75.43,75.65,4315422
6/10/2020 16:00:00,202.93,208.15,202.3,207.3,2465447,6/10/2020 16:00:00,61.47,61.58,56.93,56.99,6988044,6/10/2020 16:00:00,76.13,76.39,75.13,75.14,4464289
6/11/2020 16:00:00,208.45,210.42,203.95,204.93,2915556,6/11/2020 16:00:00,53.86,55.34,53.02,53.37,6348657,6/11/2020 16:00:00,74.15,74.44,71.24,71.25,5981263
6/12/2020 16:00:00,205.1,208.31,203.93,205.12,1850547,6/12/2020 16:00:00,55.67,56.15,52.7,54.26,4364317,6/12/2020 16:00:00,72.63,72.77,69.89,70.42,6713071
6/15/2020 16:00:00,207.4,208.45,204.91,208.03,1809561,6/15/2020 16:00:00,52.49,55,51.81,54.88,4327056,6/15/2020 16:00:00,69.7,72.4,69.49,72.2,6257093
6/16/2020 16:00:00,208.03,211.39,207.45,208.73,1421141,6/16/2020 16:00:00,56.68,57.77,55.37,56.53,4707307,6/16/2020 16:00:00,74.24,75.13,73.65,74.66,5958690
6/17/2020 16:00:00,209.69,212.88,209.69,212,1303007,6/17/2020 16:00:00,56.64,56.64,54.37,54.48,2544059,6/17/2020 16:00:00,74.9,75.34,73.85,74.09,4486035
6/18/2020 16:00:00,212.94,215.55,212.1,214.59,1631064,6/18/2020 16:00:00,54,56,53.25,55.93,3470679,6/18/2020 16:00:00,73.5,74.78,73.36,74.6,3794323
6/19/2020 16:00:00,218.17,219.38,215.85,217.64,3069040,6/19/2020 16:00:00,56.89,56.93,54.15,54.26,5945231,6/19/2020 16:00:00,73.91,74.34,72.12,72.2,9170171
6/22/2020 16:00:00,218.44,218.87,216.59,216.9,1350605,6/22/2020 16:00:00,53.95,55.19,52.87,55,3270476,6/22/2020 16:00:00,72.35,72.73,71.77,72.04,4107434
6/23/2020 16:00:00,217.07,217.94,212.92,213.38,1517885,6/23/2020 16:00:00,56.68,59.74,56.68,58.28,7164200,6/23/2020 16:00:00,72.87,72.97,71.46,71.49,5239009
