Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,63.37,64.38,61.14,61.59,6726916
6/8/2020 16:00:00,65.01,65.01,63.18,64.11,6450097
6/9/2020 16:00:00,62.89,62.89,60.15,61.39,5418691
6/10/2020 16:00:00,61.47,61.58,56.93,56.99,6988044
6/11/2020 16:00:00,53.86,55.34,53.02,53.37,6348657
6/12/2020 16:00:00,55.67,56.15,52.7,54.26,4364317
6/15/2020 16:00:00,52.49,55,51.81,54.88,4327056
6/16/2020 16:00:00,56.68,57.77,55.37,56.53,4707307
6/17/2020 16:00:00,56.64,56.64,54.37,54.48,2544059
6/18/2020 16:00:00,54,56,53.25,55.93,3470679
6/19/2020 16:00:00,56.89,56.93,54.15,54.26,5945231
6/22/2020 16:00:00,53.95,55.19,52.87,55,3270476
6/23/2020 16:00:00,56.68,59.74,56.68,58.28,7164200
6/24/2020 16:00:00,56.69,57.1,53.53,54.88,5384017
6/25/2020 16:00:00,54.14,55.58,53.76,55,2793682
6/26/2020 16:00:00,54.7,54.7,52.26,52.3,6824479
6/29/2020 16:00:00,52.95,54.95,52.16,54.42,2971066
6/30/2020 16:00:00,54,55.2,53.51,54.66,4668319
7/1/2020 16:00:00,54.4,55.24,52.75,53.7,3393505
7/2/2020 16:00:00,54.88,55.94,53.98,54.06,4925108
7/6/2020 16:00:00,55.15,55.54,53.48,53.76,2530086
7/7/2020 16:00:00,53.45,53.7,52.17,53.02,2827143
7/8/2020 16:00:00,52.96,54.05,52.57,53.11,3457071
7/9/2020 16:00:00,52.85,52.88,50.18,50.98,3704207
7/10/2020 16:00:00,51.03,52.39,50.03,52.31,2442716
7/13/2020 16:00:00,52.66,53.9,51.69,52.44,3136977
7/14/2020 16:00:00,52.05,53.22,51.47,52.96,2607936
7/15/2020 16:00:00,54.3,55.72,54.21,55.44,2938348
7/16/2020 16:00:00,55.07,55.65,54.34,54.62,1944190
7/17/2020 16:00:00,55.02,55.07,53.82,54.17,1727842
7/20/2020 16:00:00,53.52,54.35,52.5,53.03,2727307
7/21/2020 16:00:00,53.62,55.25,53.54,54.72,2329007
7/22/2020 16:00:00,54.71,56.35,54.24,55.34,2290132
7/23/2020 16:00:00,55.16,55.45,54.37,54.94,2855206
7/24/2020 16:00:00,54.54,55.09,54.33,54.94,2070857
7/27/2020 16:00:00,54.59,54.8,53.77,53.99,2373087
7/28/2020 16:00:00,53.84,54.26,53.3,53.5,1957846
7/29/2020 16:00:00,53.72,54.35,53.08,53.99,2633009
7/30/2020 16:00:00,53.05,53.6,52.33,53.59,2101740
7/31/2020 16:00:00,53.17,53.45,52.21,52.85,3070070
8/3/2020 16:00:00,52.73,52.79,50.9,52.13,2901862
8/4/2020 16:00:00,52.6,54.19,52.13,54.11,3407882
8/5/2020 16:00:00,54.58,55.1,54.02,54.99,4392326
8/6/2020 16:00:00,54.91,57.73,54.68,56.4,3328381
8/7/2020 16:00:00,55.8,58.72,55.69,57.8,4447585
8/10/2020 16:00:00,58.26,60.53,58.21,60.1,4005962
8/11/2020 16:00:00,58.6,62.52,58.26,60.84,7641274
8/12/2020 16:00:00,61.1,61.38,59.47,59.7,3189766
8/13/2020 16:00:00,59.1,60.11,58.44,58.6,2320216
8/14/2020 16:00:00,58.44,60,57.85,59.54,3852718
8/17/2020 16:00:00,59.84,60.12,59.08,59.7,2656916
8/18/2020 16:00:00,59.83,60.6,59.07,59.59,2866369
8/19/2020 16:00:00,59.26,59.37,57.88,58.08,2321663
8/20/2020 16:00:00,57.6,58.38,56.96,57.93,2167783
8/21/2020 16:00:00,57.94,57.96,57.21,57.46,2599395
8/24/2020 16:00:00,57.95,59.53,57.2,59.51,2734484
8/25/2020 16:00:00,59.76,59.79,57.28,58.2,4052281
8/26/2020 16:00:00,57.5,58.21,56.22,57.5,4352223
8/27/2020 16:00:00,57.84,60.92,57.8,60.03,3195739
8/28/2020 16:00:00,60.25,62,60.06,61.89,2564113
8/31/2020 16:00:00,61.52,62,60.11,60.14,2428257
9/1/2020 16:00:00,59.56,60.39,58.92,60.1,2488880
9/2/2020 16:00:00,60.33,61.12,59.62,60.84,2049864
9/3/2020 16:00:00,61.18,62.17,59.92,60.37,2646754
9/4/2020 16:00:00,60.98,61.69,59.54,60.14,2228815
9/8/2020 16:00:00,59.51,60.58,59.24,59.48,2549749
9/9/2020 16:00:00,60,61.94,59.02,61.42,4225291
9/10/2020 16:00:00,61.87,63.11,61.39,61.78,3657759
9/11/2020 16:00:00,61.9,62.62,61.77,62.3,2861435
9/14/2020 16:00:00,62.75,64.87,62.44,64.57,2167379
9/15/2020 16:00:00,64.69,65.65,64.23,65.4,3150791
9/16/2020 16:00:00,65.61,68.86,65.45,68.25,5170872
9/17/2020 16:00:00,67.51,69.09,67.36,68.4,4434469
9/18/2020 16:00:00,68.57,69.52,67.41,67.63,4585975
9/21/2020 16:00:00,65.05,66.1,63.41,64.05,4036662
9/22/2020 16:00:00,64.33,64.82,63.26,64.02,2854762
9/23/2020 16:00:00,64.12,64.99,60.26,60.52,3427262
9/24/2020 16:00:00,60.34,62.35,58.94,61.56,2954192
9/25/2020 16:00:00,60.83,62.21,60.53,62.01,2543564
9/28/2020 16:00:00,63.08,63.48,61.77,61.85,2163542
9/29/2020 16:00:00,61.65,61.99,60.81,61.17,2135882
9/30/2020 16:00:00,61.55,63.08,61.55,62.22,2257158
10/1/2020 16:00:00,62.32,63.03,61.48,62.62,2034403
10/2/2020 16:00:00,61.38,63.41,60.95,63.17,1709313
10/5/2020 16:00:00,63.64,63.94,62.36,63.54,1704067
10/6/2020 16:00:00,64.07,65.73,63.83,64.67,3698619
10/7/2020 16:00:00,65.3,66.47,65.3,66.28,2066099
10/8/2020 16:00:00,66.64,67.87,66.44,67.84,2362318
10/9/2020 16:00:00,68,69.27,67.65,67.98,2594089
10/12/2020 16:00:00,67.87,68.04,67.11,67.48,2060795
10/13/2020 16:00:00,66.81,66.81,65.03,65.08,2313947
10/14/2020 16:00:00,65.21,67.75,65.21,66.9,2228966
10/15/2020 16:00:00,66,67.35,65.96,66.58,1970762
10/16/2020 16:00:00,66.9,67.05,65.75,65.78,2620694
10/19/2020 16:00:00,65.83,66.37,64.23,64.34,2333422
10/20/2020 16:00:00,65.2,65.69,64.35,64.58,1565900
10/21/2020 16:00:00,64.54,64.85,63.48,63.8,1495680
10/22/2020 16:00:00,64.08,65.24,63.32,65.21,1793466
10/23/2020 16:00:00,65.62,65.73,63.77,64.8,1717434
10/26/2020 16:00:00,63.83,63.9,60.33,60.8,3163087
10/27/2020 16:00:00,60.59,61.15,58.33,58.34,3537817
10/28/2020 16:00:00,56.8,57.5,54.73,54.79,4212375
10/29/2020 16:00:00,54.62,56.18,53.85,55.29,3873690
10/30/2020 16:00:00,54.97,55.42,53.93,55.31,4689870
11/2/2020 16:00:00,56.16,57.46,55.28,57.09,3665326
11/3/2020 16:00:00,59.67,61.16,58.7,60.25,4172117
11/4/2020 16:00:00,60.91,62.41,60.52,60.74,3185938
11/5/2020 16:00:00,60.94,61.72,60.05,60.83,3106313
11/6/2020 16:00:00,61.19,61.67,60.31,60.86,1627009
11/9/2020 16:00:00,67.1,76.73,67.06,71.08,8057925
11/10/2020 16:00:00,73.31,73.94,71.02,72.28,3917848
11/11/2020 16:00:00,71.84,72.5,67.78,68.49,3571169
11/12/2020 16:00:00,67.72,69.15,67.3,68.01,3008933
11/13/2020 16:00:00,68.74,71.76,68.74,71.54,3104451
11/16/2020 16:00:00,74.77,75.04,72.31,74.97,3843926
11/17/2020 16:00:00,73.72,75.11,73,74.23,2861396
11/18/2020 16:00:00,74.12,74.78,71.65,71.68,3601747
11/19/2020 16:00:00,71.34,72.57,70.84,71.99,3257247
11/20/2020 16:00:00,71.42,71.45,69.58,70,2912436
11/23/2020 16:00:00,70.61,71.62,69.88,71.31,2093474
11/24/2020 16:00:00,72.64,73.82,72.04,72.45,2318689
11/25/2020 16:00:00,72.21,72.56,70.83,71.68,2498198
11/27/2020 13:00:00,71.35,72.29,70.85,71.24,865313
11/30/2020 16:00:00,70.72,71.32,69.88,71.29,3650689
12/1/2020 16:00:00,71.42,74.07,71.42,73.43,3007506
12/2/2020 16:00:00,72.81,73.26,72.01,72.75,3102000
12/3/2020 16:00:00,72.78,75.75,72.3,74.68,3494403
12/4/2020 16:00:00,75.27,78.14,74.89,78.12,4305552
12/7/2020 16:00:00,76.91,77.97,75.32,75.87,2723818
12/8/2020 16:00:00,75.74,77.05,75.26,76.72,1746722
12/9/2020 16:00:00,76.6,77,75.63,76.41,2630251
12/10/2020 16:00:00,75.73,77.5,75.46,77.24,2750787
12/11/2020 16:00:00,76.68,77.5,75.38,75.88,4403368
12/14/2020 16:00:00,76.62,76.62,73.31,73.43,3452602
12/15/2020 16:00:00,73.88,74.7,72.8,74.31,2728664
12/16/2020 16:00:00,74.31,74.35,72.59,73.88,3116360
12/17/2020 16:00:00,74.57,75.92,74.22,74.44,2844513
12/18/2020 16:00:00,74.33,74.39,71.91,72.28,7618395
12/21/2020 16:00:00,70.52,73,70.32,72.47,4483780
12/22/2020 16:00:00,72.26,72.47,71.06,71.92,2173776
12/23/2020 16:00:00,72.66,73.43,72.51,72.87,1752893
12/24/2020 13:00:00,72.74,72.8,71.5,72.42,730194
12/28/2020 16:00:00,72.85,74.38,72.73,73.83,1975922
12/29/2020 16:00:00,74.19,75.24,72.71,72.83,1409042
12/30/2020 16:00:00,72.71,73.52,72.69,73.29,1108109
12/31/2020 16:00:00,73.43,74.47,72.66,74.26,1163701
1/4/2021 16:00:00,74.14,74.38,70.75,72.31,2497325
1/5/2021 16:00:00,72.02,73.77,72.02,72.77,1662577
1/6/2021 16:00:00,73.24,76.06,73.01,76,3642010
1/7/2021 16:00:00,75.94,76.39,74.49,75.59,4195085
1/8/2021 16:00:00,75.53,77.82,75.21,77.55,3682938
1/11/2021 16:00:00,76.46,78.84,75.86,77.55,3023790
1/12/2021 16:00:00,77.24,79.96,77.02,78.37,3281396
1/13/2021 16:00:00,78.35,78.35,76.13,76.14,2262136
1/14/2021 16:00:00,76.6,77.5,74.96,75.51,2659836
1/15/2021 16:00:00,75.25,76.04,74.72,75.57,2049740
1/19/2021 16:00:00,76.04,76.21,74.82,74.87,1772455
1/20/2021 16:00:00,74.55,77.19,74.15,77.02,2274812
1/21/2021 16:00:00,76.9,77.24,76.32,76.83,1988361
1/22/2021 16:00:00,76.36,76.61,75.15,75.19,1539095
1/25/2021 16:00:00,73,74.13,71.88,73,4094749
1/26/2021 16:00:00,74.02,75.64,73.66,74.17,2061057
1/27/2021 16:00:00,73.25,74.19,71.59,72.02,2671475
1/28/2021 16:00:00,72.78,75.27,72.2,74.15,1960198
1/29/2021 16:00:00,73.8,73.8,71.38,71.51,2685141
2/1/2021 16:00:00,72.36,72.63,71.09,71.57,2129013
2/2/2021 16:00:00,70,73.8,69.96,73.03,5352601
2/3/2021 16:00:00,72.82,76.77,72.76,76.4,4967755
2/4/2021 16:00:00,76.39,77.3,75.81,76.52,2419952
2/5/2021 16:00:00,77.66,78.36,76.48,77.08,1908197
2/8/2021 16:00:00,77.4,78.05,76.29,76.92,1412492
2/9/2021 16:00:00,76.94,77.19,75.32,76.21,1864907
2/10/2021 16:00:00,76.74,77.61,75.76,76.14,1461482
