Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,76.5,77.18,75.78,75.91,5395750
6/8/2020 16:00:00,75.46,77.78,75.1,77.7,5141371
6/9/2020 16:00:00,77.07,77.09,75.43,75.65,4315422
6/10/2020 16:00:00,76.13,76.39,75.13,75.14,4464289
6/11/2020 16:00:00,74.15,74.44,71.24,71.25,5981263
6/12/2020 16:00:00,72.63,72.77,69.89,70.42,6713071
6/15/2020 16:00:00,69.7,72.4,69.49,72.2,6257093
6/16/2020 16:00:00,74.24,75.13,73.65,74.66,5958690
6/17/2020 16:00:00,74.9,75.34,73.85,74.09,4486035
6/18/2020 16:00:00,73.5,74.78,73.36,74.6,3794323
6/19/2020 16:00:00,73.91,74.34,72.12,72.2,9170171
6/22/2020 16:00:00,72.35,72.73,71.77,72.04,4107434
6/23/2020 16:00:00,72.87,72.97,71.46,71.49,5239009
6/24/2020 16:00:00,70.73,71.18,69.78,70.09,5179241
6/25/2020 16:00:00,70.1,70.72,69.64,70.67,4610482
6/26/2020 16:00:00,70.28,70.62,68.37,68.87,9265376
6/29/2020 16:00:00,69.37,70.62,69.02,70.51,2953735
6/30/2020 16:00:00,70.04,70.47,69.43,70.06,4626314
7/1/2020 16:00:00,70.13,71,69.88,69.99,3565947
7/2/2020 16:00:00,71,71.21,70.19,70.46,3493790
7/6/2020 16:00:00,71.18,71.38,70,70.6,3563005
7/7/2020 16:00:00,70,73.21,69.37,72.94,8160628
7/8/2020 16:00:00,73,73.76,71.56,72.3,7498887
7/9/2020 16:00:00,71.69,72.2,69.87,70.14,4345363
7/10/2020 16:00:00,70.7,73.09,70.51,72.96,5429112
7/13/2020 16:00:00,72.76,73.88,72.44,73.5,5269622
7/14/2020 16:00:00,73.12,74.44,72.41,74.31,4781028
7/15/2020 16:00:00,74.78,75.35,74.53,75,3909621
7/16/2020 16:00:00,74.77,75.55,74.34,75.35,3691796
7/17/2020 16:00:00,75.8,75.8,74.71,75.03,3303795
7/20/2020 16:00:00,74.6,74.79,72.47,72.89,5448458
7/21/2020 16:00:00,75.23,76.92,74.9,75.92,6863106
7/22/2020 16:00:00,76.25,76.32,74.04,76,4905188
7/23/2020 16:00:00,75.88,76.39,75.23,76.3,5117127
