Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,153.62,155.01,153.09,154.42,138556
6/8/2020 16:00:00,154.36,156.24,154.12,156.24,163635
6/9/2020 16:00:00,155.41,155.41,153.76,154.55,156085
6/10/2020 16:00:00,154.86,155.17,153.7,153.82,161328
6/11/2020 16:00:00,151.87,152.8,147.6,147.73,161987
6/12/2020 16:00:00,150.05,150.05,146.63,147.96,179496
6/15/2020 16:00:00,146.38,149.92,145.53,149.59,100398
6/16/2020 16:00:00,152.76,152.97,150.51,152.2,100559
6/17/2020 16:00:00,152.48,152.97,151.46,151.87,73031
6/18/2020 16:00:00,151.17,152.66,151.15,152.44,81113
6/19/2020 16:00:00,153.92,154.28,151.59,151.63,109239
6/22/2020 16:00:00,150.23,150.56,149.5,150.1,85183
6/23/2020 16:00:00,151.04,151.61,149.82,149.86,109403
6/24/2020 16:00:00,149.18,149.22,146.92,147.43,119102
6/25/2020 16:00:00,147.41,148.62,146.43,148.56,189185
6/26/2020 16:00:00,148.33,148.66,145.41,145.55,169587
6/29/2020 16:00:00,146.43,148.57,146.3,148.47,162764
6/30/2020 16:00:00,148.47,150,148.26,149.57,203231
7/1/2020 16:00:00,149.66,150.44,149.47,149.59,144251
7/2/2020 16:00:00,150.81,151.87,150.09,150.3,155589
7/6/2020 16:00:00,151.64,151.96,150.25,151.04,401641
7/7/2020 16:00:00,150.41,153.18,150.24,152.33,119684
7/8/2020 16:00:00,152.77,152.78,151.34,151.99,117547
7/9/2020 16:00:00,151.92,152.07,149.88,150.58,175569
7/10/2020 16:00:00,150.65,153.67,150.65,153.52,102198
7/13/2020 16:00:00,154.16,155.16,152.63,153.2,665988
7/14/2020 16:00:00,152.89,155.84,152.5,155.64,104940
7/15/2020 16:00:00,156.81,157.51,155.51,155.74,99335
7/16/2020 16:00:00,155.65,156.49,155.43,156.09,78688
7/17/2020 16:00:00,156.73,157.19,156.37,156.96,69729
7/20/2020 16:00:00,156.73,156.73,154.99,155.41,94259
7/21/2020 16:00:00,156.53,158.46,156.51,157.02,253239
7/22/2020 16:00:00,157.23,158.26,156.02,158.1,143180
7/23/2020 16:00:00,158.53,159.3,158.19,158.6,151670
