Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,20.23,20.5,20.03,20.42,7256390,6/5/2020 16:00:00,17.9,20.85,17.81,20.79,119073438,6/5/2020 16:00:00,22.33,23.09,21.57,21.99,26486419
6/8/2020 16:00:00,20.28,22.38,20.28,22.37,7982956,6/8/2020 16:00:00,23.53,24.5,22,24.4,131285759,6/8/2020 16:00:00,23.37,23.74,22.54,23.65,21082531
6/9/2020 16:00:00,22,22.67,21.12,21.93,9069825,6/9/2020 16:00:00,22.75,23.46,20.48,23.18,71936766,6/9/2020 16:00:00,22.56,22.88,21.71,22.51,17914748
6/10/2020 16:00:00,21.79,22.06,20.22,20.24,6960960,6/10/2020 16:00:00,22.02,22.35,20.75,20.76,50740462,6/10/2020 16:00:00,21.98,22.06,20.94,20.96,16602453
6/11/2020 16:00:00,19.77,20.83,19.52,20.14,6608657,6/11/2020 16:00:00,17.84,19.18,17.26,17.41,61262888,6/11/2020 16:00:00,19.12,19.72,18.45,18.51,19638295
6/12/2020 16:00:00,20.2,20.52,19.59,20.07,5436902,6/12/2020 16:00:00,18.88,19.6,17.65,18.5,44937864,6/12/2020 16:00:00,19.57,19.82,18.44,19,14646688
6/15/2020 16:00:00,19.54,19.84,19.07,19.4,7628271,6/15/2020 16:00:00,17.34,19.46,17.1,19.05,46134008,6/15/2020 16:00:00,17.98,19.61,17.71,19.32,12750179
6/16/2020 16:00:00,19.7,19.81,19.03,19.31,4768838,6/16/2020 16:00:00,20.47,20.95,19.13,20.29,57504992,6/16/2020 16:00:00,20.58,20.67,19.17,19.55,17836022
6/17/2020 16:00:00,19.13,19.31,18.79,18.89,5119814,6/17/2020 16:00:00,19.91,20.05,19.04,19.04,38371633,6/17/2020 16:00:00,19.51,20.04,19.27,19.83,15816584
6/18/2020 16:00:00,18.77,19.13,18.6,18.77,3576153,6/18/2020 16:00:00,18.82,20.32,18.65,19.67,36051693,6/18/2020 16:00:00,19.31,20.23,19.19,20.18,15867733
6/19/2020 16:00:00,19.12,19.12,18.41,18.69,11747225,6/19/2020 16:00:00,20.7,20.96,19.67,19.71,70262404,6/19/2020 16:00:00,20.94,20.96,19.45,19.71,22249096
6/22/2020 16:00:00,18.51,18.66,17.94,18.07,4949534,6/22/2020 16:00:00,19.85,20.11,19.39,19.91,30116715,6/22/2020 16:00:00,19.48,20,19.36,19.82,9110088
6/23/2020 16:00:00,18.24,18.43,17.99,18.17,5537973,6/23/2020 16:00:00,20.26,20.52,19.63,19.79,33856844,6/23/2020 16:00:00,19.97,20.13,19.44,19.57,18440092
6/24/2020 16:00:00,18.04,18.42,17.85,17.92,5160135,6/24/2020 16:00:00,19.24,19.32,17.67,18,32321997,6/24/2020 16:00:00,19.09,19.2,17.85,17.86,17967827
6/25/2020 16:00:00,17.77,17.96,17.02,17.17,5753357,6/25/2020 16:00:00,17.8,18.9,17.55,18.54,23327566,6/25/2020 16:00:00,17.64,18.59,17.5,18.42,18885587
6/26/2020 16:00:00,17.09,17.12,16.42,16.57,11582226,6/26/2020 16:00:00,18.2,18.35,17.35,17.69,31831922,6/26/2020 16:00:00,18.18,18.19,17.3,17.44,18480300
6/29/2020 16:00:00,16.68,17.22,16.61,17.06,5070992,6/29/2020 16:00:00,17.85,18.01,17.34,17.86,24504484,6/29/2020 16:00:00,17.63,18.29,17.46,18.01,14061253
6/30/2020 16:00:00,17.08,17.24,16.76,17.18,5639007,6/30/2020 16:00:00,17.77,18.35,17.27,18.3,26525209,6/30/2020 16:00:00,17.78,18.51,17.59,18.39,18612985
7/1/2020 16:00:00,17.05,17.22,16.76,17,4691122,7/1/2020 16:00:00,18.32,18.83,17.41,17.41,32856677,7/1/2020 16:00:00,18.5,18.78,17.7,17.72,13923286
7/2/2020 16:00:00,17.28,17.95,17.27,17.74,4322945,7/2/2020 16:00:00,17.92,18.63,17.61,17.78,28133241,7/2/2020 16:00:00,18.18,18.49,17.9,17.98,10301006
7/6/2020 16:00:00,18,18.15,17.69,17.92,4701266,7/6/2020 16:00:00,18.21,18.54,17.78,18.18,23933246,7/6/2020 16:00:00,18.47,18.93,18.31,18.75,11469644
7/7/2020 16:00:00,17.85,18.55,17.73,18.08,5413672,7/7/2020 16:00:00,17.9,17.94,17.14,17.15,20117702,7/7/2020 16:00:00,18.63,18.63,18.14,18.18,9742472
7/8/2020 16:00:00,18.1,18.15,17.43,17.55,4494258,7/8/2020 16:00:00,17.27,17.47,16.71,17.28,20482339,7/8/2020 16:00:00,18.2,18.61,17.94,18.07,10031346
7/9/2020 16:00:00,17.59,17.71,17.02,17.03,3637113,7/9/2020 16:00:00,17.2,17.26,16.26,16.28,22124580,7/9/2020 16:00:00,18,18.24,17.09,17.13,12015273
7/10/2020 16:00:00,17.09,17.67,17.09,17.6,4395369,7/10/2020 16:00:00,16.06,16.75,15.95,16.71,17584209,7/10/2020 16:00:00,17.09,17.82,16.96,17.79,9806244
7/13/2020 16:00:00,17.54,17.59,17.03,17.08,4547471,7/13/2020 16:00:00,16.76,16.81,16,16.16,21665693,7/13/2020 16:00:00,17.99,18,17.35,17.38,10945412
