Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,17.9,20.85,17.81,20.79,119073438
6/8/2020 16:00:00,23.53,24.5,22,24.4,131285759
6/9/2020 16:00:00,22.75,23.46,20.48,23.18,71936766
6/10/2020 16:00:00,22.02,22.35,20.75,20.76,50740462
6/11/2020 16:00:00,17.84,19.18,17.26,17.41,61262888
6/12/2020 16:00:00,18.88,19.6,17.65,18.5,44937864
6/15/2020 16:00:00,17.34,19.46,17.1,19.05,46134008
6/16/2020 16:00:00,20.47,20.95,19.13,20.29,57504992
6/17/2020 16:00:00,19.91,20.05,19.04,19.04,38371633
6/18/2020 16:00:00,18.82,20.32,18.65,19.67,36051693
6/19/2020 16:00:00,20.7,20.96,19.67,19.71,70262404
6/22/2020 16:00:00,19.85,20.11,19.39,19.91,30116715
6/23/2020 16:00:00,20.26,20.52,19.63,19.79,33856844
6/24/2020 16:00:00,19.24,19.32,17.67,18,32321997
6/25/2020 16:00:00,17.8,18.9,17.55,18.54,23327566
6/26/2020 16:00:00,18.2,18.35,17.35,17.69,31831922
6/29/2020 16:00:00,17.85,18.01,17.34,17.86,24504484
6/30/2020 16:00:00,17.77,18.35,17.27,18.3,26525209
7/1/2020 16:00:00,18.32,18.83,17.41,17.41,32856677
7/2/2020 16:00:00,17.92,18.63,17.61,17.78,28133241
7/6/2020 16:00:00,18.21,18.54,17.78,18.18,23933246
7/7/2020 16:00:00,17.9,17.94,17.14,17.15,20117702
7/8/2020 16:00:00,17.27,17.47,16.71,17.28,20482339
7/9/2020 16:00:00,17.2,17.26,16.26,16.28,22124580
7/10/2020 16:00:00,16.06,16.75,15.95,16.71,17584209
7/13/2020 16:00:00,16.76,16.81,16,16.16,21665693
7/14/2020 16:00:00,15.95,16.76,15.75,16.68,19740497
7/15/2020 16:00:00,17.29,17.73,16.9,17.18,22801408
7/16/2020 16:00:00,16.9,17.4,16.57,17.01,15462953
7/17/2020 16:00:00,17.04,17.35,16.16,16.28,21090995
7/20/2020 16:00:00,16.25,16.45,15.68,15.69,21260151
7/21/2020 16:00:00,16.12,18.03,16.07,17.41,44473166
7/22/2020 16:00:00,17.12,17.14,16.65,16.95,16994332
7/23/2020 16:00:00,16.71,17.08,16.57,16.82,14044090
7/24/2020 16:00:00,16.82,17.28,16.63,16.74,12779120
7/27/2020 16:00:00,16.73,16.9,16.41,16.7,13963307
7/28/2020 16:00:00,16.48,16.78,16.31,16.35,12859463
7/29/2020 16:00:00,16.53,17.04,16.45,17.03,16384026
7/30/2020 16:00:00,16.55,16.63,15.75,15.77,29336448
7/31/2020 16:00:00,15.81,15.84,15.41,15.74,15454887
8/3/2020 16:00:00,15.75,15.76,15.1,15.25,22888037
8/4/2020 16:00:00,15.15,16,15.13,15.74,21703229
8/5/2020 16:00:00,16.42,16.49,15.86,15.94,24675455
8/6/2020 16:00:00,15.91,16.01,15.39,15.45,18745132
8/7/2020 16:00:00,15.46,15.56,14.96,15.45,20961254
8/10/2020 16:00:00,15.67,16.48,15.62,16.48,26718499
8/11/2020 16:00:00,16.44,16.74,15.1,15.16,41894035
8/12/2020 16:00:00,15.5,15.55,14.85,14.92,31798825
8/13/2020 16:00:00,14.95,15.25,14.54,14.6,28459103
8/14/2020 16:00:00,14.5,14.72,14.36,14.64,21267234
8/17/2020 16:00:00,14.47,14.51,13.73,13.91,31108817
8/18/2020 16:00:00,13.93,14.19,13.83,13.95,16758446
8/19/2020 16:00:00,13.93,14.12,13.75,13.82,18143363
8/20/2020 16:00:00,13.52,13.73,13.25,13.4,21869735
8/21/2020 16:00:00,13.39,13.42,12.93,13.16,22665952
8/24/2020 16:00:00,13.13,13.73,13.03,13.62,18722936
8/25/2020 16:00:00,13.81,14.03,13.31,13.51,16296264
8/26/2020 16:00:00,13.42,13.47,12.95,12.96,19787735
8/27/2020 16:00:00,13.02,13.14,12.72,13.04,20130095
8/28/2020 16:00:00,12.96,13.23,12.89,13.13,14105842
8/31/2020 16:00:00,13.16,13.17,12.73,12.74,17913834
9/1/2020 16:00:00,12.59,12.62,12.33,12.48,23054248
9/2/2020 16:00:00,12.32,12.66,12.28,12.4,19131811
9/3/2020 16:00:00,12.35,12.9,12.35,12.59,26076883
9/4/2020 16:00:00,12.72,12.84,12.12,12.25,22767785
9/8/2020 16:00:00,11.87,11.98,11.02,11.06,36644849
9/9/2020 16:00:00,11.21,11.21,10.9,11.07,22103520
9/10/2020 16:00:00,11.05,11.08,10.18,10.19,43466333
9/11/2020 16:00:00,10.19,10.36,9.83,10.22,35175696
9/14/2020 16:00:00,10.22,10.38,9.93,10.17,25198944
9/15/2020 16:00:00,10.23,10.89,10.2,10.71,34684755
9/16/2020 16:00:00,10.87,12.03,10.66,11.64,53219446
9/17/2020 16:00:00,11.2,12.03,11.17,11.86,27860638
9/18/2020 16:00:00,11.79,12.09,11.47,11.65,40722917
9/21/2020 16:00:00,11.09,11.32,10.9,11.29,23028121
9/22/2020 16:00:00,11.33,11.59,11.03,11.08,17454842
9/23/2020 16:00:00,11.13,11.27,10.39,10.41,24502805
9/24/2020 16:00:00,10.34,10.87,10.16,10.64,22870416
9/25/2020 16:00:00,10.46,10.58,10.11,10.22,30812473
9/28/2020 16:00:00,10.42,10.65,10.31,10.34,22622609
9/29/2020 16:00:00,10.34,10.35,9.87,9.99,29576585
9/30/2020 16:00:00,10.02,10.27,9.94,10.01,23363965
10/1/2020 16:00:00,9.97,9.98,9.57,9.68,32990258
10/2/2020 16:00:00,9.25,9.9,9.23,9.87,28572271
10/5/2020 16:00:00,10.1,10.52,10.01,10.51,24670979
10/6/2020 16:00:00,10.67,10.78,10.04,10.13,29493835
10/7/2020 16:00:00,10.23,10.32,10.12,10.28,17454772
10/8/2020 16:00:00,10.41,11.2,10.33,11.18,27490269
10/9/2020 16:00:00,11.2,11.34,10.74,10.82,26633443
10/12/2020 16:00:00,10.64,10.85,10.4,10.81,18540232
10/13/2020 16:00:00,10.76,10.96,10.44,10.52,15524268
10/14/2020 16:00:00,10.52,10.95,10.44,10.45,20106746
10/15/2020 16:00:00,10.23,10.61,10,10.61,18906940
10/16/2020 16:00:00,10.51,10.53,10.07,10.09,19244745
10/19/2020 16:00:00,10.19,10.21,9.81,9.82,22074745
10/20/2020 16:00:00,9.92,10.2,9.83,10.07,17400082
10/21/2020 16:00:00,9.86,9.96,9.66,9.66,22783380
10/22/2020 16:00:00,9.7,10.2,9.66,10.17,25219240
10/23/2020 16:00:00,10.25,10.36,9.9,10.02,19872442
10/26/2020 16:00:00,9.79,9.84,9.34,9.46,26754805
10/27/2020 16:00:00,9.4,9.5,9.27,9.27,20727699
10/28/2020 16:00:00,8.98,9.16,8.78,8.88,30986797
10/29/2020 16:00:00,8.7,9.18,8.52,9.13,28731900
10/30/2020 16:00:00,9,9.19,8.85,9.13,23146458
11/2/2020 16:00:00,9.26,9.8,9.03,9.65,28544051
11/3/2020 16:00:00,9.89,10.01,9.59,9.69,19259132
11/4/2020 16:00:00,9.66,9.99,9.32,9.81,22377014
11/5/2020 16:00:00,9.77,10.62,9.77,10.47,35111217
11/6/2020 16:00:00,10.34,10.47,9.94,10.01,21645305
11/9/2020 16:00:00,11.55,12.7,11.44,12.23,60444831
11/10/2020 16:00:00,12.08,12.45,11.65,12.38,31413909
11/11/2020 16:00:00,12.69,12.7,11.74,11.9,28596730
11/12/2020 16:00:00,11.58,11.96,11.19,11.31,19654880
11/13/2020 16:00:00,11.4,11.93,11.37,11.8,16907033
11/16/2020 16:00:00,12.5,12.71,12.25,12.7,24354797
11/17/2020 16:00:00,12.36,12.99,12.26,12.99,18665692
11/18/2020 16:00:00,13.08,13.72,12.86,12.87,29659874
11/19/2020 16:00:00,12.67,13.42,12.56,13.36,20162696
11/20/2020 16:00:00,13.69,13.71,13.3,13.49,20175001
11/23/2020 16:00:00,13.85,15.81,13.83,15.76,44957070
11/24/2020 16:00:00,16.97,17.27,16.31,16.78,54354972
11/25/2020 16:00:00,16.65,17.1,15.94,16.72,29706242
11/27/2020 13:00:00,16.72,16.95,16.34,16.56,13272512
11/30/2020 16:00:00,16.24,16.55,15.72,15.76,31056448
12/1/2020 16:00:00,15.9,16.14,14.97,15.13,31362657
12/2/2020 16:00:00,14.92,16.51,14.77,15.89,33045535
12/3/2020 16:00:00,16.03,16.74,15.66,16.39,26614756
12/4/2020 16:00:00,16.91,18.61,16.9,18.59,52874458
12/7/2020 16:00:00,17.83,18.68,17.55,18.19,32247849
12/8/2020 16:00:00,17.86,19.3,17.82,19.13,32923837
12/9/2020 16:00:00,19.65,20.4,18.82,19.39,44634837
12/10/2020 16:00:00,19.4,21.61,19.3,21.31,52292559
12/11/2020 16:00:00,21.21,21.35,20.35,20.89,30940995
12/14/2020 16:00:00,21.43,21.65,19.08,19.17,36149220
12/15/2020 16:00:00,19.56,20.18,18.82,19.84,26899293
12/16/2020 16:00:00,19.77,19.88,19.24,19.45,17050819
12/17/2020 16:00:00,19.72,19.77,19.1,19.18,17630781
12/18/2020 16:00:00,19.07,19.48,18.45,18.52,38206596
12/21/2020 16:00:00,17.01,18.03,16.94,17.47,29666912
12/22/2020 16:00:00,17.5,17.57,16.88,16.92,21538117
12/23/2020 16:00:00,17.13,18.39,17.05,17.89,24012805
12/24/2020 13:00:00,18.17,18.17,17.4,17.67,9203916
12/28/2020 16:00:00,17.72,18.11,17.35,17.4,14617511
12/29/2020 16:00:00,17.59,17.79,17.09,17.24,18073982
12/30/2020 16:00:00,17.21,18.14,17.14,17.91,16517169
12/31/2020 16:00:00,17.81,17.92,17.3,17.31,15193556
1/4/2021 16:00:00,17.75,17.98,17.32,17.45,18497764
1/5/2021 16:00:00,17.8,19.95,17.65,19.21,37293777
1/6/2021 16:00:00,19.52,20.28,18.97,20,37156358
1/7/2021 16:00:00,20.21,21.15,20.03,20.57,24299311
1/8/2021 16:00:00,20.88,21.03,19.87,20.08,18277949
1/11/2021 16:00:00,19.25,20.18,19,20.08,15165878
1/12/2021 16:00:00,20.59,22.79,20.27,22.62,37326577
1/13/2021 16:00:00,22.69,22.78,22.13,22.33,19526958
1/14/2021 16:00:00,22.84,24.6,22.62,24.24,29879133
1/15/2021 16:00:00,23.45,23.71,22.36,22.39,24701702
1/19/2021 16:00:00,23.05,23.75,22.87,23.07,21931362
1/20/2021 16:00:00,23.27,23.53,22.75,23.02,14736966
1/21/2021 16:00:00,22.91,22.99,21.44,21.54,19333266
1/22/2021 16:00:00,20.67,21.6,20.26,21.49,17640740
1/25/2021 16:00:00,21,21.62,20.67,21.51,15398851
1/26/2021 16:00:00,21.9,22.42,20.35,20.38,19138072
1/27/2021 16:00:00,19.99,21.66,19.46,20.58,25688406
1/28/2021 16:00:00,20.8,21.49,20.23,20.95,16438248
1/29/2021 16:00:00,20.66,21.38,19.73,20.06,19971479
2/1/2021 16:00:00,20.63,20.75,19.8,20.39,13688032
2/2/2021 16:00:00,21.49,21.77,20.62,20.73,15513844
2/3/2021 16:00:00,20.98,22.16,20.87,22.02,18308286
2/4/2021 16:00:00,22.33,22.59,21.66,22.3,13247133
2/5/2021 16:00:00,22.83,23.14,22.2,22.56,13227596
2/8/2021 16:00:00,23.02,25.5,23,25.45,31510536
2/9/2021 16:00:00,24.6,25.15,24.1,24.65,20757110
2/10/2021 16:00:00,24.83,25.79,24.8,25.6,22400477
2/11/2021 16:00:00,25.4,25.41,24.08,24.98,15232210
2/12/2021 16:00:00,24.69,25.75,24.56,25.39,12382017
2/16/2021 16:00:00,26.66,26.95,25.88,26.46,19260411
2/17/2021 16:00:00,26.84,27.18,25.85,26.73,15198397
2/18/2021 16:00:00,26.45,26.73,25.21,25.28,15311678
2/19/2021 16:00:00,25.32,25.9,25.03,25.42,14936138
2/22/2021 16:00:00,25.99,27.46,25.82,26.47,22820583
2/23/2021 16:00:00,26.29,26.65,24.42,26.06,22587655
2/24/2021 16:00:00,26.5,28.68,25.96,28.16,27788996
2/25/2021 16:00:00,28.17,28.54,26.45,26.75,21142463
2/26/2021 16:00:00,26.26,27.01,25.21,26.61,21626650
3/1/2021 16:00:00,27.37,28.28,27.01,27.64,16185688
3/2/2021 16:00:00,27.59,28.51,27.32,27.82,16557003
3/3/2021 16:00:00,28,29.45,28,28.66,20382064
3/4/2021 16:00:00,29.18,30.63,28.54,29.9,39491581
3/5/2021 16:00:00,31.59,32.52,30,31.23,42026530
3/8/2021 16:00:00,31.68,31.9,29.63,29.77,22684836
3/9/2021 16:00:00,29.22,29.72,28.21,28.65,23868210
3/10/2021 16:00:00,28.85,29.63,28.54,29.36,24101753
3/11/2021 16:00:00,29.94,31.83,29.77,30.98,21984257
3/12/2021 16:00:00,30.7,31.27,30.46,30.63,16114009
3/15/2021 16:00:00,30.04,30.31,28.77,29.3,19584618
3/16/2021 16:00:00,28.6,29.24,27.79,28.17,16895158
3/17/2021 16:00:00,28.04,29.13,27.94,29.04,16242394
3/18/2021 16:00:00,28.49,28.67,26.51,26.62,24421040
3/19/2021 16:00:00,27,28.56,26.7,28.1,29558099
3/22/2021 16:00:00,27.82,28.23,27.27,27.46,14200429
3/23/2021 16:00:00,26.38,27.28,26.09,26.59,20609389
3/24/2021 16:00:00,27.5,27.97,26.96,27.06,15596413
3/25/2021 16:00:00,26.3,26.78,25.35,26.7,18172001
3/26/2021 16:00:00,27.74,27.9,26.86,27.76,16268520
3/29/2021 16:00:00,27.31,27.34,26.36,27,13907089
3/30/2021 16:00:00,26.69,27.72,26.54,27.33,9799226
3/31/2021 16:00:00,27.33,27.41,26.61,26.62,15989670
4/1/2021 16:00:00,26.82,27.82,26.41,27.38,27311044
4/5/2021 16:00:00,27,27.15,25.07,25.31,32081284
4/6/2021 16:00:00,25.62,26.19,25.26,25.35,20232428
