Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,22.33,23.09,21.57,21.99,26486419
6/8/2020 16:00:00,23.37,23.74,22.54,23.65,21082531
6/9/2020 16:00:00,22.56,22.88,21.71,22.51,17914748
6/10/2020 16:00:00,21.98,22.06,20.94,20.96,16602453
6/11/2020 16:00:00,19.12,19.72,18.45,18.51,19638295
6/12/2020 16:00:00,19.57,19.82,18.44,19,14646688
6/15/2020 16:00:00,17.98,19.61,17.71,19.32,12750179
6/16/2020 16:00:00,20.58,20.67,19.17,19.55,17836022
6/17/2020 16:00:00,19.51,20.04,19.27,19.83,15816584
6/18/2020 16:00:00,19.31,20.23,19.19,20.18,15867733
6/19/2020 16:00:00,20.94,20.96,19.45,19.71,22249096
6/22/2020 16:00:00,19.48,20,19.36,19.82,9110088
6/23/2020 16:00:00,19.97,20.13,19.44,19.57,18440092
6/24/2020 16:00:00,19.09,19.2,17.85,17.86,17967827
6/25/2020 16:00:00,17.64,18.59,17.5,18.42,18885587
6/26/2020 16:00:00,18.18,18.19,17.3,17.44,18480300
6/29/2020 16:00:00,17.63,18.29,17.46,18.01,14061253
6/30/2020 16:00:00,17.78,18.51,17.59,18.39,18612985
7/1/2020 16:00:00,18.5,18.78,17.7,17.72,13923286
7/2/2020 16:00:00,18.18,18.49,17.9,17.98,10301006
7/6/2020 16:00:00,18.47,18.93,18.31,18.75,11469644
7/7/2020 16:00:00,18.63,18.63,18.14,18.18,9742472
7/8/2020 16:00:00,18.2,18.61,17.94,18.07,10031346
7/9/2020 16:00:00,18,18.24,17.09,17.13,12015273
7/10/2020 16:00:00,17.09,17.82,16.96,17.79,9806244
7/13/2020 16:00:00,17.99,18,17.35,17.38,10945412
7/14/2020 16:00:00,17.27,18.44,17.12,18.39,13525028
7/15/2020 16:00:00,19,19.27,18.55,18.9,13852433
7/16/2020 16:00:00,18.76,19.22,18.53,18.82,9806059
7/17/2020 16:00:00,18.96,19.18,18.45,18.62,8822469
7/20/2020 16:00:00,18.6,18.95,18.39,18.44,13673673
7/21/2020 16:00:00,18.86,19.92,18.76,19.56,18805939
7/22/2020 16:00:00,19.3,19.45,18.91,19.17,12653568
7/23/2020 16:00:00,18.98,19.36,18.78,19.3,13233202
7/24/2020 16:00:00,19.5,19.66,18.9,19.48,16738625
7/27/2020 16:00:00,19.7,19.73,19.14,19.68,15020057
7/28/2020 16:00:00,19.49,19.6,18.99,19.15,14551121
7/29/2020 16:00:00,19.1,19.48,18.95,19.43,7444928
7/30/2020 16:00:00,19.05,19.16,18.2,18.44,15563346
7/31/2020 16:00:00,18.11,18.56,17.92,18.14,15346843
8/3/2020 16:00:00,18.1,18.97,17.87,18.72,9618932
8/4/2020 16:00:00,18.68,19.36,18.6,19.23,10142108
8/5/2020 16:00:00,19.66,19.95,19.37,19.5,9590735
8/6/2020 16:00:00,19.45,19.69,19.21,19.32,6751100
8/7/2020 16:00:00,19.19,19.65,19.02,19.63,7084785
8/10/2020 16:00:00,19.56,20.39,19.48,20.22,11555831
8/11/2020 16:00:00,20.86,21.27,20.19,20.3,12373740
8/12/2020 16:00:00,20.66,20.76,19.81,20.36,14561515
