Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,20.23,20.5,20.03,20.42,7256390
6/8/2020 16:00:00,20.28,22.38,20.28,22.37,7982956
6/9/2020 16:00:00,22,22.67,21.12,21.93,9069825
6/10/2020 16:00:00,21.79,22.06,20.22,20.24,6960960
6/11/2020 16:00:00,19.77,20.83,19.52,20.14,6608657
6/12/2020 16:00:00,20.2,20.52,19.59,20.07,5436902
6/15/2020 16:00:00,19.54,19.84,19.07,19.4,7628271
6/16/2020 16:00:00,19.7,19.81,19.03,19.31,4768838
6/17/2020 16:00:00,19.13,19.31,18.79,18.89,5119814
6/18/2020 16:00:00,18.77,19.13,18.6,18.77,3576153
6/19/2020 16:00:00,19.12,19.12,18.41,18.69,11747225
6/22/2020 16:00:00,18.51,18.66,17.94,18.07,4949534
6/23/2020 16:00:00,18.24,18.43,17.99,18.17,5537973
6/24/2020 16:00:00,18.04,18.42,17.85,17.92,5160135
6/25/2020 16:00:00,17.77,17.96,17.02,17.17,5753357
6/26/2020 16:00:00,17.09,17.12,16.42,16.57,11582226
6/29/2020 16:00:00,16.68,17.22,16.61,17.06,5070992
6/30/2020 16:00:00,17.08,17.24,16.76,17.18,5639007
7/1/2020 16:00:00,17.05,17.22,16.76,17,4691122
7/2/2020 16:00:00,17.28,17.95,17.27,17.74,4322945
7/6/2020 16:00:00,18,18.15,17.69,17.92,4701266
7/7/2020 16:00:00,17.85,18.55,17.73,18.08,5413672
7/8/2020 16:00:00,18.1,18.15,17.43,17.55,4494258
7/9/2020 16:00:00,17.59,17.71,17.02,17.03,3637113
7/10/2020 16:00:00,17.09,17.67,17.09,17.6,4395369
7/13/2020 16:00:00,17.54,17.59,17.03,17.08,4547471
7/14/2020 16:00:00,17.05,17.7,16.97,17.44,4962752
7/15/2020 16:00:00,17.72,17.9,17.38,17.85,3846034
7/16/2020 16:00:00,17.77,18.11,17.6,17.71,3157865
7/17/2020 16:00:00,17.85,18.19,17.82,17.94,4903710
7/20/2020 16:00:00,17.94,18.11,17.78,17.84,4085125
7/21/2020 16:00:00,17.59,18.72,17.58,18.53,4652993
7/22/2020 16:00:00,18.34,18.58,17.93,18.48,3527868
7/23/2020 16:00:00,18.57,19.41,18.51,19.19,4456694
7/24/2020 16:00:00,19.13,19.54,19.02,19.04,3715775
7/27/2020 16:00:00,18.89,18.9,17.85,17.97,5690410
7/28/2020 16:00:00,18.22,18.61,17.99,18.27,5064100
7/29/2020 16:00:00,18.25,18.49,17.87,18.48,4044224
7/30/2020 16:00:00,18.39,18.49,17.98,18.14,4379700
7/31/2020 16:00:00,17.99,18.95,17.85,18.7,7529205
8/3/2020 16:00:00,18.93,19.45,18.69,19.12,6412144
8/4/2020 16:00:00,19.17,19.69,18.73,19.63,5705415
8/5/2020 16:00:00,19.95,19.95,19.23,19.62,4981920
8/6/2020 16:00:00,19.6,20.14,19.55,19.83,4187135
8/7/2020 16:00:00,20.07,20.63,19.85,20.59,5021848
8/10/2020 16:00:00,20.67,21.34,20.55,20.58,6619567
8/11/2020 16:00:00,20.79,20.87,19.61,19.73,6781527
8/12/2020 16:00:00,19.87,20.09,19.59,19.81,4209177
8/13/2020 16:00:00,19.78,19.81,19.21,19.35,4880042
8/14/2020 16:00:00,19.37,20.27,19.19,20.04,3379977
8/17/2020 16:00:00,20.08,20.2,19.74,20.16,3110829
8/18/2020 16:00:00,20.34,20.52,19.87,19.89,4730011
8/19/2020 16:00:00,19.89,20.36,19.67,20.1,3476851
8/20/2020 16:00:00,19.99,19.99,19.37,19.37,3922913
8/21/2020 16:00:00,19.41,19.56,19.1,19.52,3573568
8/24/2020 16:00:00,19.53,19.75,19.31,19.51,4082995
8/25/2020 16:00:00,19.56,19.68,19.1,19.29,3520390
8/26/2020 16:00:00,19.19,19.19,18.55,18.68,4823413
8/27/2020 16:00:00,18.78,19.11,18.74,19.07,2978093
8/28/2020 16:00:00,19.1,19.15,18.82,18.95,2812106
8/31/2020 16:00:00,18.85,19.06,18.56,18.97,4812575
9/1/2020 16:00:00,18.57,18.81,18.11,18.59,4683516
