Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,10.76,11.19,10.71,10.86,27840369
6/8/2020 16:00:00,11.12,11.27,10.84,11.25,21778986
6/9/2020 16:00:00,11.03,11.32,10.89,11.27,21768730
6/10/2020 16:00:00,11.32,11.5,11.06,11.47,28484614
6/11/2020 16:00:00,10.68,10.69,9.79,9.91,34219940
6/12/2020 16:00:00,10.45,10.57,10.05,10.49,19856386
6/15/2020 16:00:00,10.01,10.54,9.78,10.47,19926740
6/16/2020 16:00:00,11.1,11.19,10.47,10.78,21965502
6/17/2020 16:00:00,10.82,10.92,10.65,10.7,17837732
6/18/2020 16:00:00,10.48,10.72,10.37,10.56,15121266
6/19/2020 16:00:00,10.83,10.93,10.4,10.5,28464703
6/22/2020 16:00:00,10.57,10.9,10.5,10.79,17164314
6/23/2020 16:00:00,11.07,11.23,11.01,11.08,15893203
6/24/2020 16:00:00,10.96,11.03,10.44,10.57,18618069
6/25/2020 16:00:00,10.56,11.11,10.48,11.08,18005186
6/26/2020 16:00:00,11,11.1,10.78,10.79,20899542
6/29/2020 16:00:00,10.94,11.04,10.75,11.04,17307318
6/30/2020 16:00:00,11.07,11.68,11.03,11.57,24032954
7/1/2020 16:00:00,11.64,11.75,11.24,11.49,20636817
7/2/2020 16:00:00,11.65,11.99,11.48,11.5,25268547
7/6/2020 16:00:00,12,12.77,11.9,12.75,38609166
7/7/2020 16:00:00,12.7,13,12.5,12.73,32091817
7/8/2020 16:00:00,12.93,13.01,12.52,12.82,22607227
7/9/2020 16:00:00,13.03,13.1,12.56,12.89,27364323
7/10/2020 16:00:00,12.83,13.07,12.79,12.97,20659737
7/13/2020 16:00:00,13.28,13.87,12.96,13.02,45000687
7/14/2020 16:00:00,12.97,13.56,12.75,13.5,24372215
7/15/2020 16:00:00,13.79,13.82,13.18,13.53,21774723
7/16/2020 16:00:00,13.35,13.58,13.21,13.47,17611999
7/17/2020 16:00:00,13.57,13.66,13.41,13.58,14048058
7/20/2020 16:00:00,13.47,13.55,13.27,13.43,22039906
7/21/2020 16:00:00,13.51,13.59,13.33,13.38,17793590
7/22/2020 16:00:00,13.27,13.7,13.19,13.62,21831258
7/23/2020 16:00:00,13.74,13.74,13.06,13.32,21017357
7/24/2020 16:00:00,12.98,13.22,12.7,13.12,26054041
7/27/2020 16:00:00,13.35,13.59,13.18,13.56,15877672
7/28/2020 16:00:00,13.36,13.56,13.22,13.23,11826740
7/29/2020 16:00:00,13.32,13.43,13.13,13.3,13548294
7/30/2020 16:00:00,12.9,13.11,12.73,12.94,17433290
7/31/2020 16:00:00,12.98,12.99,12.73,12.92,14629547
8/3/2020 16:00:00,13.15,13.2,12.92,13.1,15975276
8/4/2020 16:00:00,12.81,12.97,12.44,12.95,17646482
8/5/2020 16:00:00,13.33,14.43,13.33,13.97,36936983
8/6/2020 16:00:00,13.99,14.76,13.92,14.56,32102024
8/7/2020 16:00:00,14.21,14.23,13.7,13.96,21120322
8/10/2020 16:00:00,14.18,14.39,14.12,14.38,20166823
8/11/2020 16:00:00,14.44,14.51,13.92,13.96,18491208
8/12/2020 16:00:00,14.2,14.23,13.93,13.97,12009805
8/13/2020 16:00:00,13.85,14.16,13.68,13.79,18253377
8/14/2020 16:00:00,13.85,13.91,13.67,13.78,9307169
8/17/2020 16:00:00,14.12,14.3,14.01,14.1,12216339
8/18/2020 16:00:00,14.28,14.68,14.28,14.41,13580078
8/19/2020 16:00:00,14.56,15.19,14.52,14.94,28040596
8/20/2020 16:00:00,14.6,14.8,14.5,14.7,13829084
8/21/2020 16:00:00,14.44,14.48,14.22,14.36,11532460
8/24/2020 16:00:00,14.55,14.7,14.36,14.56,12816715
8/25/2020 16:00:00,14.62,14.65,14.4,14.46,9565546
8/26/2020 16:00:00,14.43,15.05,14.37,15.01,15336355
8/27/2020 16:00:00,15.18,15.34,14.87,14.9,17636365
8/28/2020 16:00:00,15.24,15.7,15.17,15.65,16416825
8/31/2020 16:00:00,15.89,15.89,15.49,15.61,15362243
9/1/2020 16:00:00,15.69,16.2,15.63,16.18,18885665
9/2/2020 16:00:00,16.25,16.34,15.87,16.27,23304357
9/3/2020 16:00:00,15.88,15.97,15.15,15.56,18692333
9/4/2020 16:00:00,15.66,16.16,15.19,16.02,21907019
9/8/2020 16:00:00,15.6,15.95,15.38,15.72,19275008
9/9/2020 16:00:00,15.95,16.29,15.89,16.14,17462827
9/10/2020 16:00:00,16.21,16.41,15.7,15.77,20855405
9/11/2020 16:00:00,15.98,16.44,15.87,16.27,21087199
9/14/2020 16:00:00,16.46,16.51,16.26,16.36,22376676
9/15/2020 16:00:00,16.61,16.69,16.39,16.41,16686303
9/16/2020 16:00:00,16.55,17.15,16.32,16.78,27673250
9/17/2020 16:00:00,16.65,17.2,16.45,17.03,25035266
9/18/2020 16:00:00,17.05,17.5,16.94,17,26836616
9/21/2020 16:00:00,16.51,16.51,15.41,15.65,29936681
9/22/2020 16:00:00,15.83,15.87,15.52,15.68,16426329
9/23/2020 16:00:00,15.6,15.62,14.68,14.77,30695303
9/24/2020 16:00:00,14.78,15.59,14.67,15.38,29015383
9/25/2020 16:00:00,15.12,15.39,14.77,15.3,16654311
9/28/2020 16:00:00,15.64,15.94,15.43,15.9,17461173
9/29/2020 16:00:00,15.81,15.92,15.31,15.32,13625921
9/30/2020 16:00:00,15.4,15.81,15.36,15.64,18614259
10/1/2020 16:00:00,15.7,15.8,15.3,15.55,30596890
10/2/2020 16:00:00,15.26,16.06,15.22,15.94,23936226
10/5/2020 16:00:00,16.04,16.54,16.04,16.32,15741285
10/6/2020 16:00:00,16.43,16.58,15.72,15.72,20309796
10/7/2020 16:00:00,16.25,17,16.25,16.88,28829703
10/8/2020 16:00:00,17.05,17.24,16.76,16.8,16492761
10/9/2020 16:00:00,17.2,17.26,16.84,17.23,15791209
10/12/2020 16:00:00,17.16,17.26,16.77,16.81,14085414
10/13/2020 16:00:00,16.64,17,16.52,16.82,12754684
10/14/2020 16:00:00,16.95,17.02,16.77,16.94,9874298
10/15/2020 16:00:00,16.55,17.27,16.5,17.21,11602571
10/16/2020 16:00:00,17.25,17.3,17.02,17.15,11012059
10/19/2020 16:00:00,17.31,17.84,17.09,17.14,15826661
10/20/2020 16:00:00,17.4,17.87,17.34,17.61,15762493
10/21/2020 16:00:00,17.74,18.33,17.67,17.72,21426754
10/22/2020 16:00:00,17.55,18.4,17.3,18.35,21339169
10/23/2020 16:00:00,18.47,18.68,18.18,18.36,16469796
10/26/2020 16:00:00,17.97,18.04,17.21,17.36,24926860
10/27/2020 16:00:00,17.42,17.89,17.25,17.72,15993689
10/28/2020 16:00:00,17.15,17.21,16.68,16.87,26441566
10/29/2020 16:00:00,16.86,17.67,16.81,17.48,17138303
10/30/2020 16:00:00,17.37,17.54,16.96,17.34,14417098
11/2/2020 16:00:00,17.71,18.25,17.61,18.24,15480249
11/3/2020 16:00:00,18.52,19.02,18.45,18.77,21732740
11/4/2020 16:00:00,18.45,18.6,17.58,18,21800109
11/5/2020 16:00:00,18.54,19.07,18.51,18.82,17003990
11/6/2020 16:00:00,19.14,19.42,19.03,19.12,17437618
11/9/2020 16:00:00,20.85,21.29,19.51,19.79,40987967
11/10/2020 16:00:00,19.79,19.91,19.48,19.82,17163744
11/11/2020 16:00:00,19.77,19.77,19.23,19.53,18504297
11/12/2020 16:00:00,19.66,20.1,19.42,19.52,20909595
11/13/2020 16:00:00,19.68,20.22,19.68,20.14,20025795
11/16/2020 16:00:00,20.62,21.01,20.43,21,20641998
11/17/2020 16:00:00,20.74,21.06,20.53,21.03,17941922
11/18/2020 16:00:00,21,21.16,20.7,20.71,12593082
11/19/2020 16:00:00,20.73,21.17,20.52,21.11,13501311
11/20/2020 16:00:00,21.41,21.63,21.17,21.25,20378744
11/23/2020 16:00:00,21.58,21.93,21.38,21.91,21932307
11/24/2020 16:00:00,22.23,23.25,22.2,23.11,35904547
11/25/2020 16:00:00,23.01,23.66,22.67,23.54,19468244
11/27/2020 13:00:00,24.03,24.08,23.3,23.52,12314349
11/30/2020 16:00:00,23.54,23.86,23.02,23.39,25715214
12/1/2020 16:00:00,24.1,24.38,23.57,23.64,20482461
12/2/2020 16:00:00,23.5,24.19,23.07,24.08,18433584
12/3/2020 16:00:00,24.31,24.7,24.25,24.39,24569812
12/4/2020 16:00:00,24.79,25.43,24.7,25.06,31953974
12/7/2020 16:00:00,24.91,24.94,24.23,24.58,19790714
12/8/2020 16:00:00,24.21,24.79,24.15,24.47,12594041
12/9/2020 16:00:00,24.66,24.78,23.82,24.46,16007304
