Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,65.86,66,64.36,64.55,1136583
6/8/2020 16:00:00,65.89,65.92,64.96,65.88,2054536
6/9/2020 16:00:00,64.46,65.08,63.83,64.5,1348240
6/10/2020 16:00:00,64.26,64.26,61.94,61.96,1309672
6/11/2020 16:00:00,58.66,59.82,56.84,56.89,1296002
6/12/2020 16:00:00,59.28,59.49,57.08,58.69,681184
6/15/2020 16:00:00,56.7,59.69,56.47,59.46,899589
6/16/2020 16:00:00,61.86,61.87,59.16,60.47,835143
6/17/2020 16:00:00,60.61,60.67,59.45,59.56,433342
6/18/2020 16:00:00,59.01,60.09,58.86,59.52,533480
6/19/2020 16:00:00,60.47,60.47,58.38,59.08,771348
6/22/2020 16:00:00,58.37,58.78,57.9,58.42,397729
6/23/2020 16:00:00,59.28,59.65,58.56,58.56,469507
6/24/2020 16:00:00,57.95,58.03,56.18,56.48,1018973
6/25/2020 16:00:00,56.24,58.11,56.14,58.06,2073090
6/26/2020 16:00:00,57.09,57.15,55.32,55.48,1304344
6/29/2020 16:00:00,55.95,56.64,55.64,56.32,647185
6/30/2020 16:00:00,56.04,57.48,56.04,57.2,511577
7/1/2020 16:00:00,57.38,57.6,56.35,56.5,491596
7/2/2020 16:00:00,57.74,58.01,56.38,56.49,586562
7/6/2020 16:00:00,57.76,58.15,57.16,57.48,862128
7/7/2020 16:00:00,57,57.11,56.05,56.21,819034
7/8/2020 16:00:00,56.26,57,55.98,56.81,655740
7/9/2020 16:00:00,56.78,56.87,55.04,55.49,936579
7/10/2020 16:00:00,55.5,57.46,55.5,57.41,1867319
7/13/2020 16:00:00,58.07,58.52,57.25,57.61,2482982
7/14/2020 16:00:00,57.36,57.99,56.86,57.93,566146
7/15/2020 16:00:00,59.18,59.53,58.58,59.29,846676
7/16/2020 16:00:00,58.75,59.92,58.54,59.26,519872
7/17/2020 16:00:00,59.39,59.42,58.72,58.76,928077
7/20/2020 16:00:00,58.57,58.75,58.21,58.44,2026514
7/21/2020 16:00:00,58.77,59.94,58.77,59.69,478327
7/22/2020 16:00:00,59.35,59.74,59.23,59.68,1213438
7/23/2020 16:00:00,59.57,60.16,59.43,59.81,391558
7/24/2020 16:00:00,59.8,60.1,59.37,59.48,286223
7/27/2020 16:00:00,59.38,59.4,58.51,58.99,504940
7/28/2020 16:00:00,58.81,59.14,58.65,58.77,656391
7/29/2020 16:00:00,58.83,60.07,58.71,60.05,374142
7/30/2020 16:00:00,58.96,59.08,58.21,58.98,604231
7/31/2020 16:00:00,59.01,59.01,58.1,58.91,1362733
8/3/2020 16:00:00,59.19,59.51,58.75,59.03,641889
8/4/2020 16:00:00,58.9,58.9,58.51,58.8,536442
8/5/2020 16:00:00,59.12,59.84,59.05,59.72,375732
8/6/2020 16:00:00,59.61,59.97,59.33,59.66,478009
8/7/2020 16:00:00,59.43,61.04,59.33,61.04,870325
8/10/2020 16:00:00,61.38,61.75,61.14,61.49,596579
8/11/2020 16:00:00,62.51,63.17,62.01,62.2,674275
8/12/2020 16:00:00,63.21,63.21,61.52,61.98,3321901
8/13/2020 16:00:00,61.58,61.96,61.29,61.56,397193
8/14/2020 16:00:00,61.24,62.11,61.1,61.73,295472
8/17/2020 16:00:00,61.61,61.61,60.81,60.86,781502
8/18/2020 16:00:00,60.9,60.97,60.31,60.4,354039
8/19/2020 16:00:00,60.48,61.15,60.21,60.37,363195
8/20/2020 16:00:00,59.81,60.08,59.57,59.78,383021
8/21/2020 16:00:00,59.55,60.08,59.35,59.55,332808
8/24/2020 16:00:00,59.89,60.96,59.72,60.96,436622
8/25/2020 16:00:00,61.49,61.61,60.74,61.08,361433
8/26/2020 16:00:00,61.05,61.1,60.6,60.68,349758
8/27/2020 16:00:00,60.67,62.02,60.64,61.76,388673
8/28/2020 16:00:00,62.16,62.16,61.48,61.97,354160
8/31/2020 16:00:00,61.86,61.97,61.18,61.19,500171
9/1/2020 16:00:00,60.99,61.57,60.64,61.39,537266
9/2/2020 16:00:00,61.39,62.38,61.15,62.22,436251
9/3/2020 16:00:00,62.5,63.41,60.96,61.33,540754
9/4/2020 16:00:00,62.25,62.7,60.81,61.77,689910
9/8/2020 16:00:00,61.39,61.39,59.84,60.08,475646
9/9/2020 16:00:00,60.63,61.01,60.21,60.62,475026
9/10/2020 16:00:00,60.78,61.2,59.64,59.73,379819
9/11/2020 16:00:00,59.51,60.01,59.23,59.77,367399
9/14/2020 16:00:00,60.22,61.1,60.09,60.55,277509
9/15/2020 16:00:00,60.82,60.82,59.77,59.81,395209
9/16/2020 16:00:00,59.95,61.13,59.78,60.47,472860
9/17/2020 16:00:00,59.7,60.16,59.46,59.85,1734023
9/18/2020 16:00:00,59.87,60.3,59.52,59.65,628468
9/21/2020 16:00:00,58.39,58.75,57.25,58.05,615372
9/22/2020 16:00:00,58,58.56,57.13,57.55,728076
9/23/2020 16:00:00,57.68,58.18,56.28,56.29,2527188
9/24/2020 16:00:00,56.27,57.28,55.69,56.39,2149447
9/25/2020 16:00:00,56.08,57.22,56,57.05,388772
9/28/2020 16:00:00,57.81,58.86,57.7,58.46,734886
9/29/2020 16:00:00,58.36,58.39,57.43,57.82,305958
9/30/2020 16:00:00,58,59.01,57.99,58.5,332943
10/1/2020 16:00:00,58.71,59.19,58.24,58.76,593963
10/2/2020 16:00:00,57.77,59.66,57.77,59.31,611868
10/5/2020 16:00:00,59.83,60.6,59.83,60.43,401842
10/6/2020 16:00:00,60.9,61.52,59.78,59.87,774676
10/7/2020 16:00:00,60.55,61.25,60.47,60.85,977214
10/8/2020 16:00:00,61.21,61.95,61.18,61.86,1292791
10/9/2020 16:00:00,62.13,62.3,61.47,61.81,474119
10/12/2020 16:00:00,61.89,62.77,61.81,62.61,472705
10/13/2020 16:00:00,62.44,62.56,61.27,61.43,912639
10/14/2020 16:00:00,61.51,61.75,60.82,60.86,2615337
10/15/2020 16:00:00,60.25,61.45,60.19,61.45,616224
10/16/2020 16:00:00,61.52,61.86,61.12,61.44,432123
10/19/2020 16:00:00,61.62,61.78,60.49,60.58,473719
10/20/2020 16:00:00,60.96,61.79,60.96,61.04,1266784
10/21/2020 16:00:00,61.08,61.41,60.85,60.92,270619
10/22/2020 16:00:00,60.86,62.16,60.86,62.05,357683
10/23/2020 16:00:00,62.41,62.7,61.83,62.32,256571
10/26/2020 16:00:00,61.5,61.55,60.38,61,405587
10/27/2020 16:00:00,60.92,60.92,59.72,59.72,407915
10/28/2020 16:00:00,58.57,59.06,57.99,58.32,751474
10/29/2020 16:00:00,58.25,59.19,57.41,58.79,640692
10/30/2020 16:00:00,58.53,59.09,58.11,58.94,1058474
11/2/2020 16:00:00,59.73,60.34,59.25,60.11,503756
11/3/2020 16:00:00,61.12,61.97,61.12,61.51,891516
11/4/2020 16:00:00,60.62,61.74,59.86,60.66,417660
11/5/2020 16:00:00,61.13,62.56,61.13,62.13,536267
11/6/2020 16:00:00,62.43,62.5,61.4,61.6,353348
