Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,102.15,102.49,97.7,97.84,2019995,6/5/2020 16:00:00,47.85,49.87,46.59,47.27,3718992,6/5/2020 16:00:00,28.95,29.01,27.88,28.11,118767892
6/8/2020 16:00:00,98,103.6,98,103.43,1171231,6/8/2020 16:00:00,49.58,50.32,48.29,50.04,2289283,6/8/2020 16:00:00,28.59,28.9,28.14,28.54,79598450
6/9/2020 16:00:00,103.01,103.18,101.04,103.05,584352,6/9/2020 16:00:00,47.56,48.93,47.02,47.21,2310420,6/9/2020 16:00:00,27.72,28.54,27.55,28.22,77773379
6/10/2020 16:00:00,103.59,103.8,99.67,101.37,1092220,6/10/2020 16:00:00,46.74,46.94,43.91,44.12,2581728,6/10/2020 16:00:00,27.97,28.1,26.51,26.6,90415306
6/11/2020 16:00:00,101.28,101.36,96.67,97,1271618,6/11/2020 16:00:00,40.08,41.71,38.26,38.43,2788118,6/11/2020 16:00:00,24.98,25.69,23.68,23.93,149875451
6/12/2020 16:00:00,99,99.91,97.29,99.9,865199,6/12/2020 16:00:00,41.49,41.49,38.83,40.68,1740047,6/12/2020 16:00:00,25.03,25.05,24.04,24.78,73729708
6/15/2020 16:00:00,98.26,101.55,97.26,101.1,569608,6/15/2020 16:00:00,38.25,42.48,37.52,41.8,2292678,6/15/2020 16:00:00,23.76,25.17,23.69,25.15,76538947
6/16/2020 16:00:00,102.82,103.28,100.16,101.45,597999,6/16/2020 16:00:00,44.94,44.94,41.22,42.46,2209979,6/16/2020 16:00:00,26.18,26.24,24.86,25.8,96796548
6/17/2020 16:00:00,102.32,102.87,99.91,101.04,583854,6/17/2020 16:00:00,42.48,43,40.65,40.73,1759440,6/17/2020 16:00:00,25.9,25.9,24.92,25,58349482
6/18/2020 16:00:00,100.32,102.27,99.95,100.25,395453,6/18/2020 16:00:00,40.18,41.65,39.64,40.63,1491247,6/18/2020 16:00:00,24.7,25.49,24.58,25.04,53419011
6/19/2020 16:00:00,102.48,102.49,98.7,98.75,860620,6/19/2020 16:00:00,41.94,41.94,38.96,39.6,3919285,6/19/2020 16:00:00,25.44,25.49,24.49,25.25,127563637
6/22/2020 16:00:00,98.62,100.29,98.1,100.05,583803,6/22/2020 16:00:00,39.26,39.47,38.35,38.52,2461890,6/22/2020 16:00:00,24.89,25.03,24.61,24.62,55484307
6/23/2020 16:00:00,97.9,98.51,95.68,95.76,1040278,6/23/2020 16:00:00,39.73,40.01,38.62,38.67,2162126,6/23/2020 16:00:00,25.01,25.41,24.76,24.79,46108277
6/24/2020 16:00:00,94.78,96.24,93.65,93.76,889782,6/24/2020 16:00:00,38,38,35.82,36.04,2504420,6/24/2020 16:00:00,24.54,24.54,23.68,23.81,75437098
6/25/2020 16:00:00,93.82,95.24,93.02,95.09,770835,6/25/2020 16:00:00,35.51,36.87,35.32,36.8,1856541,6/25/2020 16:00:00,23.7,24.77,23.55,24.72,65031930
6/26/2020 16:00:00,94.02,94.13,91.25,91.51,1363037,6/26/2020 16:00:00,35.7,36.07,34.34,34.65,3644027,6/26/2020 16:00:00,24.09,24.11,23.02,23.15,118139178
6/29/2020 16:00:00,92.81,93.9,91.26,92.81,862272,6/29/2020 16:00:00,35.18,35.8,34.56,35.74,1704886,6/29/2020 16:00:00,23.41,23.84,23.1,23.39,66269230
6/30/2020 16:00:00,91.96,93.38,90.86,93.28,1048401,6/30/2020 16:00:00,35.3,37.05,35.27,36.79,1975867,6/30/2020 16:00:00,23.2,23.91,23.1,23.75,61716159
7/1/2020 16:00:00,93.45,97.39,93.09,96.46,1077952,7/1/2020 16:00:00,37.02,37.39,34.56,34.67,2284069,7/1/2020 16:00:00,24.03,24.07,23.23,23.26,57379923
7/2/2020 16:00:00,97.79,97.79,94.22,95.09,658144,7/2/2020 16:00:00,36.05,36.98,34.5,34.61,2562010,7/2/2020 16:00:00,23.84,23.99,23.22,23.29,56000150
7/6/2020 16:00:00,96.49,96.62,94.84,95,540870,7/6/2020 16:00:00,35.93,36.79,35.15,35.9,1922385,7/6/2020 16:00:00,23.82,24.08,23.46,23.66,59589043
7/7/2020 16:00:00,93.12,94.48,92.59,93.71,590834,7/7/2020 16:00:00,35.39,35.67,33.98,34.12,2259770,7/7/2020 16:00:00,23.38,23.39,22.9,23.01,60645827
7/8/2020 16:00:00,93.36,93.82,92.29,93.01,779099,7/8/2020 16:00:00,34.11,35.25,34.05,35.22,2111721,7/8/2020 16:00:00,23.03,23.19,22.7,23.1,52922608
7/9/2020 16:00:00,92.98,93.08,89.67,90.19,1097591,7/9/2020 16:00:00,34.81,34.82,32.44,32.71,2622423,7/9/2020 16:00:00,22.94,23.16,22.39,22.77,79385860
7/10/2020 16:00:00,90.35,91.84,90.12,91.55,828873,7/10/2020 16:00:00,32.6,35.02,32.52,34.78,2456149,7/10/2020 16:00:00,22.71,24.05,22.68,24.02,81142925
7/13/2020 16:00:00,92.49,93.78,91.03,91.49,507307,7/13/2020 16:00:00,35.38,35.98,34.24,35.08,1958748,7/13/2020 16:00:00,24.37,24.51,23.86,24.19,73598107
7/14/2020 16:00:00,91.76,92.1,89.98,90.61,706003,7/14/2020 16:00:00,34.89,35.71,34.26,35.46,1737117,7/14/2020 16:00:00,23.89,24.15,23.45,24.14,67423073
7/15/2020 16:00:00,91.88,94.13,91.33,94.04,615518,7/15/2020 16:00:00,36.84,37.54,35.98,37.21,1769600,7/15/2020 16:00:00,24.76,24.87,24.28,24.6,57384440
7/16/2020 16:00:00,94.48,94.48,91.82,92.91,378349,7/16/2020 16:00:00,36.65,38.16,35.97,37.5,2112945,7/16/2020 16:00:00,23.75,24.22,23.54,23.93,78067079
