Date,Open,High,Low,Close,Volume
6/1/2016 16:00:00,29.02,29.2,28.45,28.95,3722744
6/2/2016 16:00:00,28.98,29.32,28.75,28.89,1968117
6/3/2016 16:00:00,28.96,29.05,28.31,28.63,2210169
6/6/2016 16:00:00,28.27,28.6,28.04,28.47,1955157
6/7/2016 16:00:00,28.49,28.79,28.4,28.46,1820986
6/8/2016 16:00:00,28.47,28.62,28.18,28.23,1920404
6/9/2016 16:00:00,28.07,28.27,27.15,27.27,3397349
6/10/2016 16:00:00,26.95,26.95,26.16,26.53,4522605
6/13/2016 16:00:00,26.45,26.67,26.02,26.03,2331712
6/14/2016 16:00:00,25.97,26.04,25.35,25.73,3149830
6/15/2016 16:00:00,25.7,26.42,25.61,26.13,3626647
6/16/2016 16:00:00,26.06,26.18,25.73,25.93,2230802
6/17/2016 16:00:00,25.98,26.6,25.78,26.15,2594702
6/20/2016 16:00:00,26.45,26.82,26.35,26.4,2280904
6/21/2016 16:00:00,26.37,26.45,25.71,25.84,1569775
6/22/2016 16:00:00,25.96,26.28,25.81,26,1786842
6/23/2016 16:00:00,26.43,26.55,26.17,26.33,1519101
6/24/2016 16:00:00,25.28,25.73,25.26,25.34,1842855
6/27/2016 16:00:00,25.31,25.97,25.18,25.5,3061044
6/28/2016 16:00:00,25.83,26.18,25.62,26.05,2881384
6/29/2016 16:00:00,26.47,26.97,26.37,26.41,2485809
6/30/2016 16:00:00,26.51,26.69,26.02,26.58,1859217
7/1/2016 16:00:00,26.88,27.38,26.73,27.06,2632843
7/5/2016 16:00:00,27.03,27.06,25.96,26.3,2141059
7/6/2016 16:00:00,26.23,26.48,25.73,26.47,2490315
7/7/2016 16:00:00,26.52,27.03,26.19,26.33,2270674
7/8/2016 16:00:00,26.67,27.39,26.66,27.37,2104106
7/11/2016 16:00:00,28.11,28.79,28.05,28.45,3566676
7/12/2016 16:00:00,28.72,28.97,28.5,28.74,3024948
7/13/2016 16:00:00,28.84,29.2,28.68,28.85,2952831
7/14/2016 16:00:00,28.95,29.1,28.46,28.62,1997082
