Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,90.42,93.72,86.65,87.2,6686190
6/8/2020 16:00:00,89.86,90.78,88.54,89.7,4554527
6/9/2020 16:00:00,87.8,87.83,85.25,86.13,3087065
6/10/2020 16:00:00,85.38,85.92,82.35,82.83,3943085
6/11/2020 16:00:00,78,80.61,76.73,77.59,5266458
6/12/2020 16:00:00,80.93,81,76.16,77.45,4733592
6/15/2020 16:00:00,74.54,78.43,73.85,77.48,3404488
6/16/2020 16:00:00,81.29,81.74,76.72,78.25,3104173
6/17/2020 16:00:00,77.86,78.47,75.85,76.42,3457760
6/18/2020 16:00:00,75.74,79.14,75.43,78.16,3898964
6/19/2020 16:00:00,79.23,79.26,75.39,76.17,4250957
6/22/2020 16:00:00,75.95,76.81,74.83,76.08,1949483
6/23/2020 16:00:00,76.74,76.95,75.16,75.68,3956916
6/24/2020 16:00:00,75,75,71.59,73.19,3776898
6/25/2020 16:00:00,72.49,72.73,70.81,72.51,3999906
6/26/2020 16:00:00,72.19,72.3,69.83,71.16,9989508
6/29/2020 16:00:00,71.52,73.92,70.11,73.92,3244033
6/30/2020 16:00:00,73.55,73.94,72.02,73.45,4377429
7/1/2020 16:00:00,74.68,76.53,74.12,74.44,3177018
7/2/2020 16:00:00,76.79,76.98,74.13,74.52,1766401
7/6/2020 16:00:00,76.08,76.35,74.98,76.24,2942722
7/7/2020 16:00:00,75.26,75.46,73.75,74.17,2761225
7/8/2020 16:00:00,74.3,75.09,73.4,75.09,3597082
7/9/2020 16:00:00,75.41,75.59,72.52,74.13,2809601
7/10/2020 16:00:00,73.83,75.27,73.5,75.24,2168551
7/13/2020 16:00:00,75.55,76.26,73.55,73.58,2984946
7/14/2020 16:00:00,73.21,73.54,71.86,73.51,2452006
7/15/2020 16:00:00,76.6,81.48,76.01,80.92,4597152
7/16/2020 16:00:00,79.8,81.22,78.96,80.89,2863460
7/17/2020 16:00:00,80.67,80.69,78.51,79.9,2270133
7/20/2020 16:00:00,79.44,80.32,77.53,78.17,2103501
7/21/2020 16:00:00,79.31,80.4,78.54,80.12,2087077
7/22/2020 16:00:00,79.61,80.35,78.79,79.62,2584135
7/23/2020 16:00:00,78.72,79.23,77.11,78.86,2150342
7/24/2020 16:00:00,78.42,78.5,76.93,77.43,1257384
7/27/2020 16:00:00,76.55,77.45,75.36,77.34,2389791
7/28/2020 16:00:00,77.02,77.58,76.5,76.67,2194787
7/29/2020 16:00:00,77.25,78.01,76.93,77.39,1605058
7/30/2020 16:00:00,76.5,76.96,75.38,76.14,2288581
7/31/2020 16:00:00,75.68,75.76,74.02,75.05,4115075
8/3/2020 16:00:00,74.4,75.62,73.5,74.74,1965751
8/4/2020 16:00:00,74.8,78.42,74.47,78.32,2856738
8/5/2020 16:00:00,79.61,80.03,77.83,80,3932789
8/6/2020 16:00:00,79.3,83.6,78.03,82.7,5000336
8/7/2020 16:00:00,82.35,83.86,81.21,83.7,3257136
8/10/2020 16:00:00,84.53,87.22,84.2,86.2,3588532
8/11/2020 16:00:00,87.55,88.46,86.45,87.02,5012172
8/12/2020 16:00:00,88.61,88.7,85.36,85.89,2169697
8/13/2020 16:00:00,85.25,87.05,84.26,85.5,1721135
8/14/2020 16:00:00,85.89,86.84,85.25,86,1899780
8/17/2020 16:00:00,86.07,86.2,84.2,84.98,2360937
8/18/2020 16:00:00,85.01,85.22,83.36,84.07,1806633
8/19/2020 16:00:00,84.6,85.4,83.88,84.49,2010743
8/20/2020 16:00:00,83.47,85.71,83.12,85.1,2274405
8/21/2020 16:00:00,85.5,87.44,85.16,87.35,2318538
8/24/2020 16:00:00,87.85,89.21,86.8,88.4,2468661
8/25/2020 16:00:00,89.72,90.61,88.27,88.44,2053319
