Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,120.45,120.65,116.67,117.1,1528030,6/5/2020 16:00:00,267.85,288.88,267.05,288.21,1900243,6/5/2020 16:00:00,57.06,58.49,57,57.27,1856720
6/8/2020 16:00:00,116.6,119.22,116.08,116.8,1529822,6/8/2020 16:00:00,286.31,292.04,285.21,289.75,1205842,6/8/2020 16:00:00,57.06,59.46,56.9,59.31,2562208
6/9/2020 16:00:00,117.01,117.45,115.74,116.74,1657577,6/9/2020 16:00:00,286,287.51,279.42,279.71,1316408,6/9/2020 16:00:00,58.68,58.91,57.08,57.65,1458612
6/10/2020 16:00:00,117.28,117.28,113.3,114.31,1479028,6/10/2020 16:00:00,280,283.91,266.61,267.56,1277900,6/10/2020 16:00:00,57.92,58.03,55.38,55.47,2206911
6/11/2020 16:00:00,112.42,112.56,110.13,110.93,1587515,6/11/2020 16:00:00,254.44,255,237.24,238.28,1583273,6/11/2020 16:00:00,54.1,54.48,52.12,52.49,1888406
6/12/2020 16:00:00,113.2,113.54,108.02,110.6,1262995,6/12/2020 16:00:00,250.64,257.34,243.94,251.4,1305803,6/12/2020 16:00:00,54,54.4,51.5,52.89,1747737
6/15/2020 16:00:00,109,112.85,107.87,112.78,1161894,6/15/2020 16:00:00,244.96,259.83,241.57,258.8,738783,6/15/2020 16:00:00,51.83,53.93,51.25,53.46,1946511
6/16/2020 16:00:00,115.28,115.45,111.58,113.87,820173,6/16/2020 16:00:00,268.23,273.83,260.02,264.79,804554,6/16/2020 16:00:00,54.8,55.04,53.61,54.5,2564726
6/17/2020 16:00:00,114.84,114.98,112.94,113.7,1014598,6/17/2020 16:00:00,269.1,269.1,261.12,262.21,499565,6/17/2020 16:00:00,54.51,54.63,53.5,53.66,2102312
6/18/2020 16:00:00,112.81,113.15,110.41,111.09,825812,6/18/2020 16:00:00,261.09,268,258.39,264.61,774818,6/18/2020 16:00:00,53.5,53.65,52.66,53.11,2023729
6/19/2020 16:00:00,112.68,112.68,108.24,108.27,2434310,6/19/2020 16:00:00,269.06,271.06,257.05,260.91,1062433,6/19/2020 16:00:00,54.14,54.78,53.32,53.81,4669016
6/22/2020 16:00:00,108.71,109.98,107.26,109.91,1118196,6/22/2020 16:00:00,261.85,262.43,255.79,260.5,641522,6/22/2020 16:00:00,53.69,53.95,52.94,53.82,1285014
6/23/2020 16:00:00,109.9,110.41,106.09,106.96,1578624,6/23/2020 16:00:00,263.11,268.88,262.96,267.41,735460,6/23/2020 16:00:00,54.29,54.54,53.41,53.48,1589515
6/24/2020 16:00:00,106.43,107.99,103.46,104.55,1652164,6/24/2020 16:00:00,261.97,265.57,253.29,257.65,988986,6/24/2020 16:00:00,53,53.58,51.58,52.01,2300061
6/25/2020 16:00:00,104.39,108.63,103.26,108.3,1746742,6/25/2020 16:00:00,255.44,258.31,251.11,257.43,693535,6/25/2020 16:00:00,51.66,52.31,51.17,51.87,2494005
6/26/2020 16:00:00,108.13,110.8,107.53,110.22,1962859,6/26/2020 16:00:00,258.03,265.9,254.69,263.14,1452540,6/26/2020 16:00:00,51.76,52.33,50.43,50.55,8788356
6/29/2020 16:00:00,110.66,110.9,108.88,110.42,1478305,6/29/2020 16:00:00,265.34,268,259.16,266.48,595216,6/29/2020 16:00:00,50.96,51.97,50.93,51.97,1604466
6/30/2020 16:00:00,110.46,114.5,110.38,113.96,1152420,6/30/2020 16:00:00,266.67,275.81,264.37,274.44,862486,6/30/2020 16:00:00,51.28,52.57,50.83,52.19,2559771
7/1/2020 16:00:00,113.95,114.97,112.49,114.05,1159300,7/1/2020 16:00:00,275.95,280.61,272.56,273.84,690276,7/1/2020 16:00:00,52.32,52.58,51.46,51.68,1633726
7/2/2020 16:00:00,114.95,116.86,114.4,116.04,854325,7/2/2020 16:00:00,279.15,285.6,276.65,279.93,696283,7/2/2020 16:00:00,52.32,52.75,51.54,51.8,2371492
7/6/2020 16:00:00,117.09,118.99,117.09,118.37,1444587,7/6/2020 16:00:00,284.15,288.13,279.94,282.44,787739,7/6/2020 16:00:00,52.22,52.46,51.3,51.74,2284126
7/7/2020 16:00:00,117.15,118.24,116.22,117.31,955958,7/7/2020 16:00:00,281.88,284.49,274.41,274.71,449372,7/7/2020 16:00:00,51.01,51.32,50.17,50.22,1619335
7/8/2020 16:00:00,117.17,118,116.27,117.92,958286,7/8/2020 16:00:00,274.35,279.29,272.25,278.39,551664,7/8/2020 16:00:00,50.32,50.53,49.4,50.29,1975243
7/9/2020 16:00:00,118,118.35,115.21,115.85,1460009,7/9/2020 16:00:00,278.67,279.81,268.77,274.08,592355,7/9/2020 16:00:00,50.19,50.27,48.39,48.88,1575881
7/10/2020 16:00:00,116.02,117.39,115.91,116.82,851716,7/10/2020 16:00:00,273.6,274,269.93,273.29,764181,7/10/2020 16:00:00,48.76,49.54,48.25,49.36,1841213
7/13/2020 16:00:00,119,123.3,118.5,119.14,2323641,7/13/2020 16:00:00,274.93,279.46,269.45,270.24,647879,7/13/2020 16:00:00,49.61,50.66,49.26,49.87,2143738
7/14/2020 16:00:00,121.12,122.75,118.8,122.71,2193513,7/14/2020 16:00:00,269.04,299.96,267.63,299.62,1604371,7/14/2020 16:00:00,49.63,51,49.51,50.93,1669909
7/15/2020 16:00:00,123.76,124.2,119.77,122.24,1748623,7/15/2020 16:00:00,303.52,321.49,302,314.3,1867185,7/15/2020 16:00:00,51.49,52.28,51.19,52.09,1642786
7/16/2020 16:00:00,121.99,125.32,121.13,123.68,1576662,7/16/2020 16:00:00,308.81,313.77,305.87,309,666321,7/16/2020 16:00:00,51.92,52.72,51.58,52.42,1387534
7/17/2020 16:00:00,123.95,126.88,123.81,125.11,1913563,7/17/2020 16:00:00,312.83,326.36,310.33,322.3,1002707,7/17/2020 16:00:00,52.6,53.35,52.38,53.13,1139935
7/20/2020 16:00:00,126.89,127.6,125.23,126.9,1275265,7/20/2020 16:00:00,310.47,315.46,309.04,312.97,931154,7/20/2020 16:00:00,53.26,53.42,52.52,53.15,2959628
7/21/2020 16:00:00,127.22,129.06,126.54,128.61,1118207,7/21/2020 16:00:00,316.12,319.2,312.19,315.33,694386,7/21/2020 16:00:00,53.54,56.05,53.54,55.99,2661499
7/22/2020 16:00:00,128.61,129.82,128.11,129.76,1259640,7/22/2020 16:00:00,315,319.5,312.49,317.97,840501,7/22/2020 16:00:00,56,56.33,55.52,56.16,1531696
7/23/2020 16:00:00,126.96,131.81,125.37,127.6,1924712,7/23/2020 16:00:00,305.5,314.4,296.73,299.05,2345186,7/23/2020 16:00:00,56.27,57.05,56.04,56.55,1685157
7/24/2020 16:00:00,126.95,126.95,124,124.99,1195472,7/24/2020 16:00:00,298.06,303.3,293.93,298.14,796575,7/24/2020 16:00:00,56.75,57.63,56.14,56.5,1504378
7/27/2020 16:00:00,124.84,126.25,123.68,124.04,1404899,7/27/2020 16:00:00,296.4,309.46,294.57,308.75,649310,7/27/2020 16:00:00,56.27,57.52,55.74,57.48,1704556
7/28/2020 16:00:00,124.2,125.85,123.2,123.46,1104522,7/28/2020 16:00:00,307.87,308.47,299.06,299.11,448513,7/28/2020 16:00:00,57.34,57.59,56.49,56.58,1524468
7/29/2020 16:00:00,124.74,126.96,124.26,126.2,1883197,7/29/2020 16:00:00,299.07,306.49,299.07,300.24,816884,7/29/2020 16:00:00,56.88,57.99,56.53,57.7,1894068
7/30/2020 16:00:00,125.08,127.01,124.41,126.76,894447,7/30/2020 16:00:00,296.83,296.83,289.73,296.13,755174,7/30/2020 16:00:00,56.81,57,55.6,56.48,2437405
7/31/2020 16:00:00,126.84,127.36,125,127.07,1132792,7/31/2020 16:00:00,297.43,297.6,288.53,293.82,579001,7/31/2020 16:00:00,56.43,56.5,53.91,54.62,4728200
8/3/2020 16:00:00,127.73,130.7,127.4,130.01,1336415,8/3/2020 16:00:00,296.01,297.75,287,287.36,627394,8/3/2020 16:00:00,55.55,58.31,55.54,58.04,2856062
8/4/2020 16:00:00,129.35,129.57,126.31,128.1,1159513,8/4/2020 16:00:00,286.65,289.29,279.83,288.27,824792,8/4/2020 16:00:00,57.76,58.34,57.03,57.83,1888482
8/5/2020 16:00:00,128.43,128.71,126.14,127.06,759297,8/5/2020 16:00:00,289.7,299.66,287.23,298.51,719788,8/5/2020 16:00:00,58.64,58.97,57.09,57.6,2764599
8/6/2020 16:00:00,127,127.17,123.28,124.51,1197404,8/6/2020 16:00:00,294.52,301.9,292.34,301.8,633247,8/6/2020 16:00:00,52.5,55.45,52.11,53.11,5229135
8/7/2020 16:00:00,124.25,126.16,123.71,125.21,1102033,8/7/2020 16:00:00,301.1,309.1,299.99,305.81,818557,8/7/2020 16:00:00,52.62,52.74,51.61,52.58,2844789
8/10/2020 16:00:00,124.78,124.99,120.99,121.24,1251928,8/10/2020 16:00:00,305.37,307.21,298.86,302.9,552023,8/10/2020 16:00:00,52.58,53.81,52.35,53.06,2161747
8/11/2020 16:00:00,121.82,121.99,118.77,120.14,1240249,8/11/2020 16:00:00,304.95,311.43,302.6,304.13,699917,8/11/2020 16:00:00,53.36,53.92,52.85,53.04,1782390
8/12/2020 16:00:00,120.49,121.79,119.45,121.15,810728,8/12/2020 16:00:00,306.27,309.75,303.88,307.98,360573,8/12/2020 16:00:00,53.48,54.17,53.26,53.82,1635241
8/13/2020 16:00:00,120.74,121.77,119.82,121.75,650389,8/13/2020 16:00:00,308.56,316.28,306.99,312.22,443623,8/13/2020 16:00:00,53.42,53.65,52.26,52.43,2608926
8/14/2020 16:00:00,121.23,121.61,119.39,120.01,827433,8/14/2020 16:00:00,311.01,312.89,305.71,306.96,334245,8/14/2020 16:00:00,52.2,53.7,51.92,53.68,1985671
