Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,267.85,288.88,267.05,288.21,1900243
6/8/2020 16:00:00,286.31,292.04,285.21,289.75,1205842
6/9/2020 16:00:00,286,287.51,279.42,279.71,1316408
6/10/2020 16:00:00,280,283.91,266.61,267.56,1277900
6/11/2020 16:00:00,254.44,255,237.24,238.28,1583273
6/12/2020 16:00:00,250.64,257.34,243.94,251.4,1305803
6/15/2020 16:00:00,244.96,259.83,241.57,258.8,738783
6/16/2020 16:00:00,268.23,273.83,260.02,264.79,804554
6/17/2020 16:00:00,269.1,269.1,261.12,262.21,499565
6/18/2020 16:00:00,261.09,268,258.39,264.61,774818
6/19/2020 16:00:00,269.06,271.06,257.05,260.91,1062433
6/22/2020 16:00:00,261.85,262.43,255.79,260.5,641522
6/23/2020 16:00:00,263.11,268.88,262.96,267.41,735460
6/24/2020 16:00:00,261.97,265.57,253.29,257.65,988986
6/25/2020 16:00:00,255.44,258.31,251.11,257.43,693535
6/26/2020 16:00:00,258.03,265.9,254.69,263.14,1452540
6/29/2020 16:00:00,265.34,268,259.16,266.48,595216
6/30/2020 16:00:00,266.67,275.81,264.37,274.44,862486
7/1/2020 16:00:00,275.95,280.61,272.56,273.84,690276
7/2/2020 16:00:00,279.15,285.6,276.65,279.93,696283
7/6/2020 16:00:00,284.15,288.13,279.94,282.44,787739
7/7/2020 16:00:00,281.88,284.49,274.41,274.71,449372
7/8/2020 16:00:00,274.35,279.29,272.25,278.39,551664
7/9/2020 16:00:00,278.67,279.81,268.77,274.08,592355
7/10/2020 16:00:00,273.6,274,269.93,273.29,764181
7/13/2020 16:00:00,274.93,279.46,269.45,270.24,647879
7/14/2020 16:00:00,269.04,299.96,267.63,299.62,1604371
7/15/2020 16:00:00,303.52,321.49,302,314.3,1867185
7/16/2020 16:00:00,308.81,313.77,305.87,309,666321
7/17/2020 16:00:00,312.83,326.36,310.33,322.3,1002707
7/20/2020 16:00:00,310.47,315.46,309.04,312.97,931154
7/21/2020 16:00:00,316.12,319.2,312.19,315.33,694386
7/22/2020 16:00:00,315,319.5,312.49,317.97,840501
7/23/2020 16:00:00,305.5,314.4,296.73,299.05,2345186
7/24/2020 16:00:00,298.06,303.3,293.93,298.14,796575
7/27/2020 16:00:00,296.4,309.46,294.57,308.75,649310
7/28/2020 16:00:00,307.87,308.47,299.06,299.11,448513
7/29/2020 16:00:00,299.07,306.49,299.07,300.24,816884
7/30/2020 16:00:00,296.83,296.83,289.73,296.13,755174
7/31/2020 16:00:00,297.43,297.6,288.53,293.82,579001
8/3/2020 16:00:00,296.01,297.75,287,287.36,627394
8/4/2020 16:00:00,286.65,289.29,279.83,288.27,824792
8/5/2020 16:00:00,289.7,299.66,287.23,298.51,719788
8/6/2020 16:00:00,294.52,301.9,292.34,301.8,633247
8/7/2020 16:00:00,301.1,309.1,299.99,305.81,818557
8/10/2020 16:00:00,305.37,307.21,298.86,302.9,552023
8/11/2020 16:00:00,304.95,311.43,302.6,304.13,699917
8/12/2020 16:00:00,306.27,309.75,303.88,307.98,360573
8/13/2020 16:00:00,308.56,316.28,306.99,312.22,443623
8/14/2020 16:00:00,311.01,312.89,305.71,306.96,334245
8/17/2020 16:00:00,310.67,314.89,308.82,309.52,590215
8/18/2020 16:00:00,310.87,311,304.58,306.07,431200
8/19/2020 16:00:00,307.48,308.45,301.07,301.51,398169
8/20/2020 16:00:00,300,302.1,295.23,297.25,449264
8/21/2020 16:00:00,296.27,299.84,293.63,294.29,464023
8/24/2020 16:00:00,297.31,303.35,293.13,295.08,624263
8/25/2020 16:00:00,296.03,297.27,289.52,296.68,580511
8/26/2020 16:00:00,294.12,301.93,291.23,300.7,673756
8/27/2020 16:00:00,300.27,310.35,299.26,305.64,739035
8/28/2020 16:00:00,306,306.24,299.8,300.58,418788
8/31/2020 16:00:00,300.21,300.94,295.03,296.98,575217
9/1/2020 16:00:00,297.1,307.25,293.33,305.43,714021
9/2/2020 16:00:00,307.72,324.88,306.64,324.43,870856
9/3/2020 16:00:00,324.45,325,310.68,314.52,810969
9/4/2020 16:00:00,318,318,299.33,309,837475
9/8/2020 16:00:00,299.99,313.81,299.03,309.22,916302
9/9/2020 16:00:00,310.07,328.84,310.07,323.92,946216
9/10/2020 16:00:00,324.06,333.07,324,327.95,1093245
9/11/2020 16:00:00,328.95,333,314,317.66,746211
9/14/2020 16:00:00,319.49,326.6,319.49,323.46,454158
9/15/2020 16:00:00,326.93,339.73,324.73,335.24,795969
9/16/2020 16:00:00,338.23,340.29,328.74,329.86,610579
9/17/2020 16:00:00,323.37,329.26,319.02,328.03,620465
9/18/2020 16:00:00,329.6,333.13,314.97,320.97,909217
9/21/2020 16:00:00,314.79,322.56,302.04,322.3,642598
9/22/2020 16:00:00,326.76,327.02,313.98,322.57,492725
9/23/2020 16:00:00,322.04,325,307.38,308.32,578788
9/24/2020 16:00:00,306.15,316.43,297.44,311.88,734199
9/25/2020 16:00:00,310.03,320.95,307.17,317.93,479837
9/28/2020 16:00:00,324.93,328.78,320.99,322.86,522074
9/29/2020 16:00:00,323.9,328.92,320,320.17,452371
9/30/2020 16:00:00,322.56,332.88,320.29,327.36,687029
10/1/2020 16:00:00,333.64,333.64,313.86,317.61,857293
10/2/2020 16:00:00,312.02,319.13,310.03,314.89,544643
10/5/2020 16:00:00,317.63,320.31,312.72,319.51,645806
10/6/2020 16:00:00,322.19,327.91,315.24,316.08,499646
10/7/2020 16:00:00,320.4,327.09,320.4,323.62,488492
10/8/2020 16:00:00,325.59,328.56,321.86,327.57,346168
10/9/2020 16:00:00,331.39,331.86,325.18,328.64,384155
10/12/2020 16:00:00,334.99,339.77,330.9,335.75,603836
10/13/2020 16:00:00,334.48,336.26,329.02,330.82,524962
10/14/2020 16:00:00,333.53,337.2,328.39,333.1,555454
10/15/2020 16:00:00,330.11,338.12,330,336.67,616526
10/16/2020 16:00:00,338.89,343,335.08,336.52,548876
10/19/2020 16:00:00,339,343.21,322.87,326.84,660579
10/20/2020 16:00:00,330.14,339.68,327.91,334.6,565403
10/21/2020 16:00:00,334.2,338.68,328.97,335.81,892619
10/22/2020 16:00:00,424.32,459,424,453.23,5115956
10/23/2020 16:00:00,451.34,470.43,444.77,469.56,1959924
10/26/2020 16:00:00,462.73,475.37,447.93,454.51,1641073
10/27/2020 16:00:00,455.35,469.91,450.92,455.09,802973
10/28/2020 16:00:00,447.81,450.48,439,439.51,801818
10/29/2020 16:00:00,436.6,442.86,428.88,436.57,774501
10/30/2020 16:00:00,432,435.9,417.36,426.08,767482
11/2/2020 16:00:00,432.1,458.44,430.37,458.44,1247300
11/3/2020 16:00:00,460.23,465.66,453.16,465.01,799466
11/4/2020 16:00:00,472.23,484.5,471.01,483.46,960321
11/5/2020 16:00:00,486.47,498.67,486.47,491.91,891119
11/6/2020 16:00:00,490.45,491.5,476.12,477.85,664499
11/9/2020 16:00:00,501,507.05,476.79,476.99,957641
11/10/2020 16:00:00,484.48,484.48,457.61,464.32,742126
11/11/2020 16:00:00,464.7,469.59,456.48,461.78,544053
11/12/2020 16:00:00,455.72,464.85,449.03,452.76,621525
11/13/2020 16:00:00,455.77,461.17,452.25,457.26,421542
11/16/2020 16:00:00,463.24,466.75,450.89,457.17,481040
11/17/2020 16:00:00,452,456.41,444.75,451.38,516482
11/18/2020 16:00:00,449.06,455.15,442.87,444.61,509102
11/19/2020 16:00:00,443.54,447.14,439.71,441.35,408924
11/20/2020 16:00:00,443.39,452.57,439.86,446.45,560109
11/23/2020 16:00:00,452.15,479.54,449.47,476.58,814684
11/24/2020 16:00:00,483.01,486,465.46,475.1,634034
11/25/2020 16:00:00,470.69,474.61,465.76,473.69,415826
11/27/2020 13:00:00,470.92,477.17,468.14,475.5,249764
11/30/2020 16:00:00,472.4,483.88,471.31,481.29,1113844
12/1/2020 16:00:00,487.46,508.96,485.6,500.1,1162136
12/2/2020 16:00:00,496.57,507.64,491.79,505.48,553171
12/3/2020 16:00:00,506.24,516.29,505.31,511,583547
12/4/2020 16:00:00,511.96,524.88,510.32,521.72,635242
12/7/2020 16:00:00,521.9,524.61,515.5,517.71,533199
12/8/2020 16:00:00,516.75,518.17,509.27,515.76,458105
12/9/2020 16:00:00,516.24,520.88,507.31,509.01,463665
12/10/2020 16:00:00,506.89,511.32,499.57,508.39,376775
12/11/2020 16:00:00,507,509.5,498.26,507.08,305925
12/14/2020 16:00:00,510.9,522.34,502.31,504.31,426945
12/15/2020 16:00:00,511.8,519.06,502.6,516.3,347313
12/16/2020 16:00:00,511.08,520.38,510.27,516.34,399337
12/17/2020 16:00:00,522,527.25,516.95,526.72,536020
12/18/2020 16:00:00,533.01,535,521.65,529.92,896743
12/21/2020 16:00:00,518.09,531.6,513.34,530.71,449548
12/22/2020 16:00:00,531.99,536.6,527.6,536.59,435619
12/23/2020 16:00:00,540.52,543.65,524.99,525,308168
12/24/2020 13:00:00,528.14,529.21,521.13,528.03,163674
12/28/2020 16:00:00,532.32,532.74,518.84,520.86,246914
12/29/2020 16:00:00,524.92,525.77,512.8,520.45,223689
12/30/2020 16:00:00,522.29,527.97,519.75,524.32,250187
12/31/2020 16:00:00,526.87,535.4,523.33,534.38,320897
1/4/2021 16:00:00,549.61,560,519.7,526.46,602433
1/5/2021 16:00:00,526.97,544.07,526.77,543.65,344819
1/6/2021 16:00:00,534.33,546.48,531.46,540.39,429024
1/7/2021 16:00:00,547.78,561.35,544.27,558.36,513889
1/8/2021 16:00:00,561.63,579.5,559,570.53,464242
1/11/2021 16:00:00,565.01,566.1,551.83,557.04,351818
1/12/2021 16:00:00,552.34,562.39,548.41,552.88,329000
1/13/2021 16:00:00,551.26,553.76,543.91,551.14,322016
1/14/2021 16:00:00,546.51,561.12,543.01,554.64,304706
1/15/2021 16:00:00,553.19,569.66,548,567.23,551686
1/19/2021 16:00:00,574.72,574.72,545.08,557.41,606957
1/20/2021 16:00:00,568.84,575.92,560.07,564.37,401961
1/21/2021 16:00:00,563.97,565.32,543.32,543.81,402807
1/22/2021 16:00:00,546.85,546.85,531.17,534.08,690685
