Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,266.05,271.17,265.12,270.43,713915
6/8/2020 16:00:00,270.2,272.17,267.9,272.09,1388582
6/9/2020 16:00:00,270.62,274.18,270.32,272.7,638918
6/10/2020 16:00:00,274.81,278.78,274.1,276.76,641287
6/11/2020 16:00:00,270.96,272.17,260.73,260.99,1338410
6/12/2020 16:00:00,268.57,269.38,259.66,264.2,1116202
6/15/2020 16:00:00,259.17,268.45,258.61,267.49,745573
6/16/2020 16:00:00,274.24,275.36,269,273.12,1104036
6/17/2020 16:00:00,275.19,275.56,272.61,272.91,540440
6/18/2020 16:00:00,272.62,274.7,272.01,274.4,666841
6/19/2020 16:00:00,277.72,278.02,271.4,272.58,638413
6/22/2020 16:00:00,272.38,277.18,271.97,276.94,553297
6/23/2020 16:00:00,279.16,282.04,278.43,278.76,695290
6/24/2020 16:00:00,277.71,279.23,270.88,272.46,911881
6/25/2020 16:00:00,272.71,276.3,269.82,276.08,630100
6/26/2020 16:00:00,275.5,276.02,269.91,270.98,879685
6/29/2020 16:00:00,271.28,273.74,267.46,273.74,868813
6/30/2020 16:00:00,273.61,279.51,273.53,278.71,748736
7/1/2020 16:00:00,278.65,280.89,277.53,279.37,945745
7/2/2020 16:00:00,281.96,283.3,280.24,280.9,820627
7/6/2020 16:00:00,284.46,287.19,284.12,285.34,781106
7/7/2020 16:00:00,284.95,288.12,282.36,282.72,788025
7/8/2020 16:00:00,284.67,287.63,283.61,287.63,566167
7/9/2020 16:00:00,290,290.06,284.41,288.79,602679
7/10/2020 16:00:00,288.17,288.6,285.28,288.23,583774
7/13/2020 16:00:00,290.68,292.44,281,281.65,1407512
7/14/2020 16:00:00,279.37,285.35,276.14,285.02,1042477
7/15/2020 16:00:00,287.78,288.87,283.1,286.8,850909
7/16/2020 16:00:00,283.81,284.5,280.98,283.18,520237
7/17/2020 16:00:00,284.75,285.69,282.2,284.86,484785
7/20/2020 16:00:00,285.65,293.04,284.37,292.34,657468
7/21/2020 16:00:00,294.94,294.94,288.62,289.52,774452
7/22/2020 16:00:00,289.97,292.94,289.59,291.7,600969
7/23/2020 16:00:00,290.6,292.43,283.17,284.53,1057569
7/24/2020 16:00:00,280.16,282.89,276.39,280.86,1299607
7/27/2020 16:00:00,282.67,285.96,282.24,285.62,698112
7/28/2020 16:00:00,285.07,285.7,282.06,282.21,443266
7/29/2020 16:00:00,283.46,287.63,283.46,287.04,402800
7/30/2020 16:00:00,284.36,288.72,282.74,288.48,439426
7/31/2020 16:00:00,293.12,295.33,288.13,295.27,782162
8/3/2020 16:00:00,299.48,303.24,298.76,302.18,952961
8/4/2020 16:00:00,301.94,303.24,300.43,303.17,905829
8/5/2020 16:00:00,304.27,305.2,303.12,304.5,517733
8/6/2020 16:00:00,304.58,308.47,303.4,308.17,553600
8/7/2020 16:00:00,307.14,307.14,300.7,303.19,1024349
8/10/2020 16:00:00,303.93,304.36,298.22,302.23,681985
8/11/2020 16:00:00,301.29,302.81,296.51,296.88,629370
8/12/2020 16:00:00,299.38,304.01,299,303.39,1069026
8/13/2020 16:00:00,303.75,306.5,302.89,304.13,764166
8/14/2020 16:00:00,304.24,304.64,301.94,303.38,413251
8/17/2020 16:00:00,305.13,306.5,305.07,305.98,408775
8/18/2020 16:00:00,306.72,307.79,304.43,306.89,411206
8/19/2020 16:00:00,307.51,309.06,306,306.41,434266
8/20/2020 16:00:00,305.54,310.93,304.82,310.36,457952
8/21/2020 16:00:00,310.77,314.04,310.56,313.59,645610
8/24/2020 16:00:00,318.21,318.42,313.59,316.14,568290
8/25/2020 16:00:00,315.7,317.88,314.86,317.65,513588
8/26/2020 16:00:00,320.88,325.14,320.45,324.22,638563
