Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,53.11,55.85,51.49,54.59,5897615
6/8/2020 16:00:00,55.36,55.5,52.02,52.9,3501217
6/9/2020 16:00:00,52.22,53.54,51.5,51.58,3147889
6/10/2020 16:00:00,52.5,52.51,47.84,49.35,10607686
6/11/2020 16:00:00,45.99,49.41,45.42,47.66,6067354
6/12/2020 16:00:00,50,50.16,46.85,48.63,4586801
6/15/2020 16:00:00,47.53,51.2,46.76,50.45,5162083
6/16/2020 16:00:00,52.37,55.02,51.37,52.76,8654383
6/17/2020 16:00:00,52.15,52.23,37.81,39.04,55172909
6/18/2020 16:00:00,43.29,47.19,43.28,45.72,30687896
6/19/2020 16:00:00,46.81,49.67,45.93,46.72,16133816
6/22/2020 16:00:00,46.77,47.35,44.92,45.56,5867592
6/23/2020 16:00:00,46.24,46.94,44.96,45.49,3879130
6/24/2020 16:00:00,45,47.14,44.45,46.68,6945038
6/25/2020 16:00:00,45.84,46.03,43.42,45.8,6620468
6/26/2020 16:00:00,45.88,46.68,44.14,45.3,13892939
6/29/2020 16:00:00,46.01,47.9,45.21,47.45,3467501
6/30/2020 16:00:00,47.68,48.48,46.93,47.57,2940539
7/1/2020 16:00:00,47.53,49.93,46.61,49.06,3227563
7/2/2020 16:00:00,49.61,51.54,48.22,48.86,3812545
7/6/2020 16:00:00,49.7,50.72,49.15,50.16,3395149
7/7/2020 16:00:00,49.8,51.47,49.25,50.64,2376104
7/8/2020 16:00:00,51.02,55.22,50.98,54.93,4305841
7/9/2020 16:00:00,55.84,56.5,52.83,55.8,3177107
7/10/2020 16:00:00,54.83,55.71,54.1,55.43,2357677
7/13/2020 16:00:00,56.25,58.06,52.12,52.32,4159769
7/14/2020 16:00:00,52.8,55.99,51.33,55.88,4188354
7/15/2020 16:00:00,57.01,58.18,55.35,57.95,3938378
7/16/2020 16:00:00,57.21,58.25,56.39,57.74,2990185
7/17/2020 16:00:00,58,59.75,57.74,59.31,3150194
7/20/2020 16:00:00,59.9,64.06,59.75,63.54,3631759
7/21/2020 16:00:00,64.06,64.7,59.68,61.1,4303323
7/22/2020 16:00:00,61.19,63.49,60.96,62.08,2719512
7/23/2020 16:00:00,62.46,65.43,60.3,61.67,3993919
7/24/2020 16:00:00,60.38,60.5,56.28,59.65,3511560
7/27/2020 16:00:00,61.01,62.93,60.35,62.22,3498139
7/28/2020 16:00:00,61.84,61.84,57.05,57.23,3648472
7/29/2020 16:00:00,58.02,60.36,57.71,59.12,3079774
7/30/2020 16:00:00,58.14,59.25,57.6,59.14,1399425
7/31/2020 16:00:00,59.72,60.4,58.59,60.36,2455222
8/3/2020 16:00:00,60.89,61.93,59.12,61.21,3006006
8/4/2020 16:00:00,64.83,70.15,64.4,68.95,9014921
8/5/2020 16:00:00,68.99,75.98,67.6,74.99,8603261
8/6/2020 16:00:00,75.3,76.75,71.1,71.37,5019920
8/7/2020 16:00:00,72.3,75.83,71.11,72.84,3723374
8/10/2020 16:00:00,72.8,74.39,70.35,71.84,5581727
8/11/2020 16:00:00,71.74,71.81,67.06,67.3,3495230
8/12/2020 16:00:00,68.68,71.78,67.57,71.19,2647908
8/13/2020 16:00:00,70.91,76.49,70.26,74.88,3322112
8/14/2020 16:00:00,75.62,76.69,72.81,73.16,2366966
8/17/2020 16:00:00,74.34,76.39,73.73,75.06,2016384
8/18/2020 16:00:00,75.24,77.73,72.53,75.16,2052978
8/19/2020 16:00:00,75.1,77.3,74.99,75.49,1935918
8/20/2020 16:00:00,75.09,75.22,72.2,73.09,1876197
8/21/2020 16:00:00,73.28,74.8,72.81,73.14,1559978
8/24/2020 16:00:00,73.79,75.65,72.23,73.36,1472796
8/25/2020 16:00:00,73.3,76.61,72.5,75.93,2283024
8/26/2020 16:00:00,76.66,78.53,74.4,75.24,1838835
8/27/2020 16:00:00,76.5,76.5,72.02,73.44,4370749
8/28/2020 16:00:00,74.14,78.53,73.54,76.04,3301747
8/31/2020 16:00:00,76.68,79.53,75.8,77.23,2767337
9/1/2020 16:00:00,77.47,79.52,77.1,78.71,2160020
9/2/2020 16:00:00,80,80.47,75.09,77.02,2607918
9/3/2020 16:00:00,75.24,75.48,65.13,67.8,5850677
9/4/2020 16:00:00,67.13,68.67,58.67,66.16,5516353
9/8/2020 16:00:00,62.03,67.34,60.17,65.05,3879275
9/9/2020 16:00:00,67.01,69.56,64.87,67.71,3435451
9/10/2020 16:00:00,67.93,70.09,66,66.1,2787020
9/11/2020 16:00:00,67.78,68.1,64.2,65.1,2585220
9/14/2020 16:00:00,67.17,69.78,66.31,69.49,2547978
9/15/2020 16:00:00,71.01,73.03,70.44,72.16,2868299
9/16/2020 16:00:00,72.6,76.4,72.55,72.83,2968016
9/17/2020 16:00:00,69.77,70.19,65.89,66.87,3318732
9/18/2020 16:00:00,67.72,69.86,65.42,68.27,12892584
9/21/2020 16:00:00,65.51,70.82,65.41,70.72,3082432
9/22/2020 16:00:00,71,72.32,67.49,72.23,3109252
9/23/2020 16:00:00,71.85,74.76,69.44,70.27,2796879
9/24/2020 16:00:00,69.32,70.98,67.53,69.41,2064680
9/25/2020 16:00:00,69.79,73.9,69.55,73.62,2387042
9/28/2020 16:00:00,75.14,79.73,74.7,78.14,3455605
9/29/2020 16:00:00,78.2,83.37,78.2,80.8,4218447
9/30/2020 16:00:00,81.37,84.72,81.27,82.59,3352573
10/1/2020 16:00:00,85.56,89.52,84.41,89.51,4046316
10/2/2020 16:00:00,85.61,92.57,85.16,90.43,4115769
10/5/2020 16:00:00,93,98.42,92.9,98.05,4212241
10/6/2020 16:00:00,98.06,100.28,95.06,98.57,5770036
10/7/2020 16:00:00,101.5,108.75,100.46,107.82,4977889
10/8/2020 16:00:00,109.6,109.8,102.56,105.5,6016615
10/9/2020 16:00:00,107.18,111.27,105.29,109.18,2955288
10/12/2020 16:00:00,110.4,110.41,101.52,104.43,4176626
10/13/2020 16:00:00,103.11,107.44,102.75,106.65,2872296
10/14/2020 16:00:00,108.43,111.1,107.06,108.97,3037773
10/15/2020 16:00:00,107.25,111.59,105.2,110.71,2388366
10/16/2020 16:00:00,112.75,114.3,108.76,110.84,3851010
10/19/2020 16:00:00,111.49,118.05,110.83,114.69,3303933
10/20/2020 16:00:00,114.88,118.05,112.33,116.14,2898559
10/21/2020 16:00:00,116.9,118.94,100.4,101.53,5484427
10/22/2020 16:00:00,102.26,104.02,92.14,103.46,7405361
10/23/2020 16:00:00,106.35,109.22,100.7,103.33,3367069
10/26/2020 16:00:00,98.56,104.29,97.5,103.67,2958413
10/27/2020 16:00:00,103.37,104.43,97.31,98.63,3572380
10/28/2020 16:00:00,97.29,105.87,95.76,102.81,5804720
10/29/2020 16:00:00,103.29,105.53,100.87,102.51,1968586
10/30/2020 16:00:00,100.99,102.12,93.53,98.09,3046923
11/2/2020 16:00:00,99.01,106.04,99,103.83,3316529
11/3/2020 16:00:00,100.56,107.38,100.24,104.75,3503375
11/4/2020 16:00:00,99.33,106.36,93.49,106.19,5388601
11/5/2020 16:00:00,111,123.29,110.99,120.26,4929140
11/6/2020 16:00:00,123.69,125.64,118.66,122.53,3382118
11/9/2020 16:00:00,129.54,129.61,116.74,117.08,3378923
11/10/2020 16:00:00,117.27,117.59,108.05,109.39,3169923
11/11/2020 16:00:00,113.99,121.48,113.99,120.43,2935945
11/12/2020 16:00:00,119.95,122.26,115.83,117.21,2059743
11/13/2020 16:00:00,119.4,120.36,115.1,116.59,1732227
11/16/2020 16:00:00,118.21,123.6,116.01,119.93,2173391
11/17/2020 16:00:00,119.57,126.58,118.65,125.12,1861521
11/18/2020 16:00:00,126.18,127.49,122.5,124.92,1920648
11/19/2020 16:00:00,126.62,130.95,125.85,128.89,2219178
11/20/2020 16:00:00,131,133.78,129.3,129.59,2984912
11/23/2020 16:00:00,132.93,134.85,130.45,134.43,2608314
11/24/2020 16:00:00,135.33,138.7,130.8,136.02,2705819
11/25/2020 16:00:00,136.21,141.42,135.13,139.07,2773757
11/27/2020 13:00:00,142.49,148.94,137.77,140.56,3654754
11/30/2020 16:00:00,141.95,145,133.03,136.57,9315449
12/1/2020 16:00:00,138.65,139.52,127.3,128.85,3350188
12/2/2020 16:00:00,127.5,130.44,121.7,127.93,2490775
12/3/2020 16:00:00,129.5,133.69,126.29,127.67,1850653
12/4/2020 16:00:00,130.12,136.11,129.23,130.46,2413248
12/7/2020 16:00:00,130.29,133.2,127.22,129.32,1308648
12/8/2020 16:00:00,129.98,135.15,129.41,134.74,1528551
12/9/2020 16:00:00,136.36,136.72,125.87,127.26,2184123
12/10/2020 16:00:00,125.67,132.22,125.54,131.21,1310483
12/11/2020 16:00:00,133.38,144.6,133,139.91,3083566
12/14/2020 16:00:00,143,147.49,137.75,145.07,2215730
12/15/2020 16:00:00,147.4,161.56,147.26,160.46,4003975
12/16/2020 16:00:00,159,163.46,152.53,163.31,3213304
12/17/2020 16:00:00,165.52,168.18,159,163.52,2818534
12/18/2020 16:00:00,163.69,169.67,163.01,164.41,3563254
12/21/2020 16:00:00,162.95,172.1,161.19,170.78,2741064
12/22/2020 16:00:00,174.99,186.4,173,177.27,3500861
12/23/2020 16:00:00,181.4,184.08,174.21,180.32,2535028
12/24/2020 13:00:00,179.76,184.54,177.48,181.39,1062292
12/28/2020 16:00:00,188.45,189.41,173.67,175.49,2698571
12/29/2020 16:00:00,175.49,176.23,164.3,170.2,3147304
12/30/2020 16:00:00,171.68,177.55,171.68,172.93,2474115
12/31/2020 16:00:00,176.94,183.99,172.91,175.47,5626524
1/4/2021 16:00:00,178.7,179.15,167.07,172.24,3878990
1/5/2021 16:00:00,175.71,186.63,173.55,181.48,4607169
1/6/2021 16:00:00,197.9,210.2,195.77,203.38,33331857
1/7/2021 16:00:00,209.84,222.43,209.2,213.76,6055484
1/8/2021 16:00:00,217.7,219.97,200.05,207.41,5199658
1/11/2021 16:00:00,200.4,208.39,196.12,201.68,3005495
