Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,520,537.56,486.04,490.78,995248
6/8/2020 16:00:00,513,513,489.61,494.94,634877
6/9/2020 16:00:00,479.13,489.96,467.76,479.2,555444
6/10/2020 16:00:00,475,477.12,454.35,461.08,904049
6/11/2020 16:00:00,436.11,446.32,413.13,420.56,929073
6/12/2020 16:00:00,448.07,455.16,422.24,447.39,456153
6/15/2020 16:00:00,423.86,462.43,422.25,459.74,430431
6/16/2020 16:00:00,479.41,482.11,450.78,465.2,595904
6/17/2020 16:00:00,467.83,468.22,456.27,459.69,269368
6/18/2020 16:00:00,453.44,467.67,449.31,465.75,328064
6/19/2020 16:00:00,476.71,477.57,460.2,463,958711
6/22/2020 16:00:00,456.36,468.84,452.38,464.73,357192
6/23/2020 16:00:00,464,467.07,453.2,458.21,760073
6/24/2020 16:00:00,452.65,453.51,430.98,433.9,762760
6/25/2020 16:00:00,428.01,439.75,424.28,436,574481
6/26/2020 16:00:00,436.01,437,416.22,421.09,1017464
6/29/2020 16:00:00,431.4,443.76,420.76,443.76,643217
6/30/2020 16:00:00,438.63,446.17,431.05,442.05,413113
7/1/2020 16:00:00,441.82,453.38,435.48,439.59,382119
7/2/2020 16:00:00,450.16,456.35,441.82,442.33,425625
7/6/2020 16:00:00,450.85,451.19,430.09,435.48,627910
7/7/2020 16:00:00,432.42,433.05,418.46,419.49,478370
7/8/2020 16:00:00,420.89,427.95,418.1,426.9,617203
7/9/2020 16:00:00,422.67,425.64,405.01,410.98,458998
7/10/2020 16:00:00,412.85,421.68,406.67,420.88,413437
7/13/2020 16:00:00,426.57,432.64,412.29,414.37,414068
7/14/2020 16:00:00,410.77,422.96,408.53,422.66,399180
7/15/2020 16:00:00,430.09,439.24,430.03,434.21,550575
7/16/2020 16:00:00,429.77,436.95,425.78,431.47,359921
7/17/2020 16:00:00,432.19,435,425.94,432.87,256267
7/20/2020 16:00:00,431.34,436.97,426.5,430.85,545304
7/21/2020 16:00:00,437.48,448,437.43,440.88,231813
7/22/2020 16:00:00,436.07,450,436.07,445.57,268986
7/23/2020 16:00:00,442.46,444.82,434.81,437.47,304939
7/24/2020 16:00:00,438.94,438.94,423.85,425.56,348606
7/27/2020 16:00:00,425,430.22,418.02,424.18,185333
7/28/2020 16:00:00,425,433.36,424.47,426.95,355730
7/29/2020 16:00:00,428.06,435.93,425.5,433.37,322521
7/30/2020 16:00:00,427.95,438.83,426.76,433.34,284605
7/31/2020 16:00:00,430.27,433.35,422.51,431.58,328262
8/3/2020 16:00:00,430.01,437.77,421.47,436.01,348702
8/4/2020 16:00:00,435.72,453.95,434.57,448.74,723697
8/5/2020 16:00:00,452.12,474.14,450.17,471.61,492389
8/6/2020 16:00:00,466.1,475.47,466.01,472.07,244373
8/7/2020 16:00:00,480.09,480.09,470,475.39,460500
8/10/2020 16:00:00,477.87,489.37,477.34,482.57,582340
8/11/2020 16:00:00,494.17,506.08,489.83,490.23,784514
8/12/2020 16:00:00,499.65,500,492.72,498.49,532366
8/13/2020 16:00:00,492.49,499.15,492.49,495.15,430836
8/14/2020 16:00:00,491.17,499.7,491.17,498.79,360466
8/17/2020 16:00:00,500,500,489.31,489.97,420462
8/18/2020 16:00:00,488.02,490.17,482.2,483,528210
8/19/2020 16:00:00,486.31,489.62,482,482.81,553814
8/20/2020 16:00:00,478.38,486.64,476.18,482.83,255215
8/21/2020 16:00:00,481.69,485.17,477.86,479.28,426050
8/24/2020 16:00:00,481.16,490.99,481.16,488.5,572883
8/25/2020 16:00:00,490.91,493.64,483.46,486.05,315421
8/26/2020 16:00:00,483.9,489.46,481.48,484.89,248365
8/27/2020 16:00:00,488.56,502.46,488.04,498.32,428460
8/28/2020 16:00:00,500.59,507.89,498.65,506.77,394545
8/31/2020 16:00:00,506,507.58,494.45,499.67,306948
9/1/2020 16:00:00,496.17,505.22,495.54,503.78,295514
9/2/2020 16:00:00,503.06,507.15,496.17,505.15,269127
9/3/2020 16:00:00,507.19,508.94,489.37,493.82,356328
9/4/2020 16:00:00,499.41,506.99,487.8,503.32,380822
9/8/2020 16:00:00,504.39,513.23,493.24,501.93,635717
