Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,343.25,346.59,339.69,342.1,1259807,6/5/2020 16:00:00,520,537.56,486.04,490.78,995248,6/5/2020 16:00:00,167.9,170.11,165.65,166.72,2061279
6/8/2020 16:00:00,341.58,349.27,341.48,348.79,661526,6/8/2020 16:00:00,513,513,489.61,494.94,634877,6/8/2020 16:00:00,167,170.41,166.81,168.81,1373011
6/9/2020 16:00:00,346.88,346.88,340.99,342.53,1039315,6/9/2020 16:00:00,479.13,489.96,467.76,479.2,555444,6/9/2020 16:00:00,163.54,165.87,163.13,164.81,1977374
6/10/2020 16:00:00,341.24,344.08,338.46,341.25,606248,6/10/2020 16:00:00,475,477.12,454.35,461.08,904049,6/10/2020 16:00:00,164.42,165.09,160.96,161,1311660
6/11/2020 16:00:00,330,336.73,320.82,320.99,965901,6/11/2020 16:00:00,436.11,446.32,413.13,420.56,929073,6/11/2020 16:00:00,155.23,156.88,150.69,151.09,1576385
6/12/2020 16:00:00,328.7,328.7,313.08,317.68,818126,6/12/2020 16:00:00,448.07,455.16,422.24,447.39,456153,6/12/2020 16:00:00,156.45,157.27,150.52,154.97,1597956
6/15/2020 16:00:00,310.75,316.02,308.55,313.62,1194350,6/15/2020 16:00:00,423.86,462.43,422.25,459.74,430431,6/15/2020 16:00:00,148.38,155.61,148.12,155.47,1321354
6/16/2020 16:00:00,324.47,329.47,317.76,324.74,1072283,6/16/2020 16:00:00,479.41,482.11,450.78,465.2,595904,6/16/2020 16:00:00,161.71,163.82,155.56,158.3,2105580
6/17/2020 16:00:00,323.81,327.26,320.57,322.29,613204,6/17/2020 16:00:00,467.83,468.22,456.27,459.69,269368,6/17/2020 16:00:00,158.93,158.93,154.86,155.51,1131662
6/18/2020 16:00:00,319.65,321.49,316.1,317.83,741706,6/18/2020 16:00:00,453.44,467.67,449.31,465.75,328064,6/18/2020 16:00:00,154.54,156.88,153.61,154.87,883784
6/19/2020 16:00:00,322,322.57,312.38,312.66,1235233,6/19/2020 16:00:00,476.71,477.57,460.2,463,958711,6/19/2020 16:00:00,158.75,158.86,153.54,154.87,2046399
6/22/2020 16:00:00,311.93,315.6,309.58,315.56,838130,6/22/2020 16:00:00,456.36,468.84,452.38,464.73,357192,6/22/2020 16:00:00,153,154.73,151.75,154.56,1188508
6/23/2020 16:00:00,316.85,317,306.79,307.1,979857,6/23/2020 16:00:00,464,467.07,453.2,458.21,760073,6/23/2020 16:00:00,156.54,156.62,153.69,153.96,940556
6/24/2020 16:00:00,304.61,305.3,299.25,301.91,1217017,6/24/2020 16:00:00,452.65,453.51,430.98,433.9,762760,6/24/2020 16:00:00,151.89,152.67,149.12,150.49,1985729
6/25/2020 16:00:00,300.37,302.54,294,301.75,1285593,6/25/2020 16:00:00,428.01,439.75,424.28,436,574481,6/25/2020 16:00:00,149.22,154.85,148.29,154.45,1671215
6/26/2020 16:00:00,300.68,306.08,298.93,301.86,1286519,6/26/2020 16:00:00,436.01,437,416.22,421.09,1017464,6/26/2020 16:00:00,153.18,153.87,148.19,149.04,2302929
6/29/2020 16:00:00,304.82,309.02,303.33,309.02,734128,6/29/2020 16:00:00,431.4,443.76,420.76,443.76,643217,6/29/2020 16:00:00,150.85,153.96,150.32,153.71,1094212
6/30/2020 16:00:00,308.67,309.22,304.4,307.44,772865,6/30/2020 16:00:00,438.63,446.17,431.05,442.05,413113,6/30/2020 16:00:00,152.84,158.25,152.12,157.15,1836595
7/1/2020 16:00:00,308.87,311.14,306.5,308.14,737868,7/1/2020 16:00:00,441.82,453.38,435.48,439.59,382119,7/1/2020 16:00:00,159.65,160.18,155.34,156.85,1111354
7/2/2020 16:00:00,311.13,313.24,308.62,309.97,629706,7/2/2020 16:00:00,450.16,456.35,441.82,442.33,425625,7/2/2020 16:00:00,158.87,161.92,157.52,157.9,1044932
7/6/2020 16:00:00,313.05,313.5,308.76,312.4,739245,7/6/2020 16:00:00,450.85,451.19,430.09,435.48,627910,7/6/2020 16:00:00,161.12,161.59,158.41,160.22,947540
7/7/2020 16:00:00,310.13,312.5,303.65,304.47,741073,7/7/2020 16:00:00,432.42,433.05,418.46,419.49,478370,7/7/2020 16:00:00,158.38,160.58,157.65,158.7,1118589
7/8/2020 16:00:00,304,306.55,298.77,301.1,908382,7/8/2020 16:00:00,420.89,427.95,418.1,426.9,617203,7/8/2020 16:00:00,159.27,159.81,156.85,158.38,1042622
7/9/2020 16:00:00,299.63,300.31,285.49,285.95,1729548,7/9/2020 16:00:00,422.67,425.64,405.01,410.98,458998,7/9/2020 16:00:00,157.82,159.71,156.1,157.65,1283418
7/10/2020 16:00:00,287.17,294.22,286.81,292,1504860,7/10/2020 16:00:00,412.85,421.68,406.67,420.88,413437,7/10/2020 16:00:00,158.27,159.44,157.04,159.09,982788
7/13/2020 16:00:00,294.42,296.57,290.29,292.35,1043623,7/13/2020 16:00:00,426.57,432.64,412.29,414.37,414068,7/13/2020 16:00:00,162.66,167.32,161.66,163.83,1829704
7/14/2020 16:00:00,291.27,295.85,287.52,295.55,1180328,7/14/2020 16:00:00,410.77,422.96,408.53,422.66,399180,7/14/2020 16:00:00,163.49,169.82,162.3,169.56,1651631
7/15/2020 16:00:00,300.12,303.93,298,300.76,1196287,7/15/2020 16:00:00,430.09,439.24,430.03,434.21,550575,7/15/2020 16:00:00,170.69,174,169.83,172.39,1992280
7/16/2020 16:00:00,299.47,305.98,296.5,303.65,1162931,7/16/2020 16:00:00,429.77,436.95,425.78,431.47,359921,7/16/2020 16:00:00,171.96,175.28,170.9,173.42,1142447
7/17/2020 16:00:00,305.85,307.69,303.57,306.84,1544788,7/17/2020 16:00:00,432.19,435,425.94,432.87,256267,7/17/2020 16:00:00,175,176.93,173.36,176.51,1140439
7/20/2020 16:00:00,306.75,306.76,301.25,301.49,922000,7/20/2020 16:00:00,431.34,436.97,426.5,430.85,545304,7/20/2020 16:00:00,175.87,176.13,172.7,173.81,1314631
7/21/2020 16:00:00,306.33,309.13,302.39,308.19,1007670,7/21/2020 16:00:00,437.48,448,437.43,440.88,231813,7/21/2020 16:00:00,174.95,176.81,173.37,175.65,1079317
7/22/2020 16:00:00,306.59,316.39,306.01,316,942147,7/22/2020 16:00:00,436.07,450,436.07,445.57,268986,7/22/2020 16:00:00,174.19,176.03,174.11,175.49,1246300
7/23/2020 16:00:00,316,318.72,311.69,313.06,694253,7/23/2020 16:00:00,442.46,444.82,434.81,437.47,304939,7/23/2020 16:00:00,175.7,178.4,175.41,176.73,943971
7/24/2020 16:00:00,314.78,318.79,310.26,312.69,686941,7/24/2020 16:00:00,438.94,438.94,423.85,425.56,348606,7/24/2020 16:00:00,177.11,177.77,174.81,175.35,910844
7/27/2020 16:00:00,311.01,311.72,305.88,308.02,575836,7/27/2020 16:00:00,425,430.22,418.02,424.18,185333,7/27/2020 16:00:00,174.69,176.69,172.91,176,887263
7/28/2020 16:00:00,307.91,317.94,307.91,312.87,709739,7/28/2020 16:00:00,425,433.36,424.47,426.95,355730,7/28/2020 16:00:00,174.9,177.14,174.65,175.79,850025
7/29/2020 16:00:00,316.14,316.69,310.53,315.26,1299493,7/29/2020 16:00:00,428.06,435.93,425.5,433.37,322521,7/29/2020 16:00:00,176.71,180.76,176.01,180.25,1886888
7/30/2020 16:00:00,314,329.46,313.01,326.01,1493821,7/30/2020 16:00:00,427.95,438.83,426.76,433.34,284605,7/30/2020 16:00:00,178.21,179.25,176.28,178.04,1235913
7/31/2020 16:00:00,326.01,326.58,318.2,325.01,1161532,7/31/2020 16:00:00,430.27,433.35,422.51,431.58,328262,7/31/2020 16:00:00,176.81,176.92,173.36,176.31,1409720
