Date,Open,High,Low,Close,Volume
6/1/2016 16:00:00,235.92,238.58,235.36,238.08,972725
6/2/2016 16:00:00,238.13,238.25,236.79,237.83,921485
6/3/2016 16:00:00,237.58,239.65,236.23,238.92,1516652
6/6/2016 16:00:00,238.52,240.37,238.52,239.4,1154169
6/7/2016 16:00:00,240.2,241.36,239.41,239.5,993418
6/8/2016 16:00:00,239.26,240.75,239.23,240.38,918974
6/9/2016 16:00:00,240.05,240.87,240,240.67,894113
6/10/2016 16:00:00,240.01,241.7,239.74,240.58,760190
6/13/2016 16:00:00,240.01,240.7,237.91,237.95,1076282
6/14/2016 16:00:00,237.78,240.12,237.25,239.7,1220104
6/15/2016 16:00:00,240.11,240.59,239.23,239.45,854145
6/16/2016 16:00:00,239.05,240.45,238.09,239.87,1212409
6/17/2016 16:00:00,240.22,240.22,236.66,237.56,1455742
6/20/2016 16:00:00,239.2,239.8,237.86,238.64,1067027
6/21/2016 16:00:00,239.49,239.85,238.31,238.55,928324
6/22/2016 16:00:00,238.95,239.27,238.04,238.17,1001844
6/23/2016 16:00:00,239.79,240,238.18,240,755752
6/24/2016 16:00:00,234.85,242.87,234.75,239.7,3471185
6/27/2016 16:00:00,238.78,239.97,236.07,239.29,1868254
6/28/2016 16:00:00,240.11,240.96,237.65,240.91,1994741
6/29/2016 16:00:00,242,244.69,241.66,244.08,1190008
6/30/2016 16:00:00,244.78,248.72,244.67,248.17,2045577
7/1/2016 16:00:00,248.24,249.92,248.24,249.35,1427822
7/5/2016 16:00:00,248.8,250.38,248.42,249.51,1327570
7/6/2016 16:00:00,250.95,251.32,247.88,250.08,1387397
7/7/2016 16:00:00,250.23,251.22,248.61,249.77,961248
7/8/2016 16:00:00,250.78,252.3,248.5,251.9,1082809
7/11/2016 16:00:00,252.38,256.34,251.92,254.39,6337102
7/12/2016 16:00:00,255.64,256.38,254.03,254.7,4167928
7/13/2016 16:00:00,255.1,256.44,254.92,255.9,4780670
7/14/2016 16:00:00,257.19,257.94,254.7,256,3324242
7/15/2016 16:00:00,257.11,257.62,256.1,256.98,3460536
7/18/2016 16:00:00,257.78,258.29,255.3,256.29,2345697
7/19/2016 16:00:00,258.54,263.37,252.1,258.96,4979989
7/20/2016 16:00:00,259.32,259.82,255.89,256.67,3362076
7/21/2016 16:00:00,257.49,257.49,251.6,254.14,2742768
7/22/2016 16:00:00,254.6,257.49,253.05,257.31,1864603
7/25/2016 16:00:00,256.82,257.28,254.72,255.62,1295923
7/26/2016 16:00:00,255.62,256.46,253.83,254.76,2121516
7/27/2016 16:00:00,255.47,256,253.03,254.16,2593320
7/28/2016 16:00:00,254.2,254.89,252.05,254.55,2716034
7/29/2016 16:00:00,254.5,254.81,252.7,252.73,2178251
8/1/2016 16:00:00,252.63,254.93,252.3,254.84,2782284
8/2/2016 16:00:00,254.17,257.46,252.73,257,4770932
8/3/2016 16:00:00,257.51,257.75,254.75,256.85,6827181
8/4/2016 16:00:00,257.65,258.78,256.14,257.75,5720398
8/5/2016 16:00:00,259.14,260.29,257.63,260.29,4418009
8/8/2016 16:00:00,260,261.87,258.79,260.19,8743299
8/9/2016 16:00:00,260.43,261.29,259.18,260.66,9900252
8/10/2016 16:00:00,259.82,262.1,259.07,261.3,9565349
8/11/2016 16:00:00,261.5,264.07,260.15,262.54,12648787
8/12/2016 16:00:00,262.49,265.34,261.67,264.15,13962278
8/15/2016 16:00:00,264.22,266.93,264.2,266.5,9143819
8/16/2016 16:00:00,265.23,266.05,254.44,256.77,7884233
8/17/2016 16:00:00,256.7,257.5,251.55,255.64,4381071
8/18/2016 16:00:00,255.64,255.99,254.1,255.42,2596277
8/19/2016 16:00:00,254.73,255,252.7,254.12,2412825
8/22/2016 16:00:00,254.37,256.42,253.75,254.2,3791010
8/23/2016 16:00:00,255.24,255.24,248.14,249.75,10627904
8/24/2016 16:00:00,248.76,249.75,244.8,248.12,10559925
8/25/2016 16:00:00,247.61,250.19,246,248.53,4383875
8/26/2016 16:00:00,249,249.8,243.65,244.44,4697122
8/29/2016 16:00:00,245,246.08,244.04,244.3,1637521
8/30/2016 16:00:00,242.65,243.31,238.85,239.45,1887409
8/31/2016 16:00:00,239,243.62,238.6,242.97,2890210
9/1/2016 16:00:00,243.13,243.84,241.9,243.61,1337103
9/2/2016 16:00:00,243.75,245,242.26,243.32,1492696
9/6/2016 16:00:00,244.24,244.49,242.26,243,1600397
9/7/2016 16:00:00,242.16,243,241.15,241.37,1245851
9/8/2016 16:00:00,240.49,242.25,240,241.63,1249300
9/9/2016 16:00:00,240.14,240.64,237.89,237.94,1573990
9/12/2016 16:00:00,236.5,239.5,235.28,238.8,1822011
9/13/2016 16:00:00,237.67,238.72,237,237.41,1609021
9/14/2016 16:00:00,237.41,239.01,236.91,237.41,1494462
9/15/2016 16:00:00,237.41,239.49,236.7,239.09,1273605
9/16/2016 16:00:00,238.42,238.64,237.25,237.45,2892900
9/19/2016 16:00:00,239.3,241.89,239.08,240.88,1456596
9/20/2016 16:00:00,241.35,242.24,240.48,240.48,1007955
9/21/2016 16:00:00,241.14,243.87,240.62,243.82,1660436
9/22/2016 16:00:00,244.95,247.03,244.74,246.62,1173003
9/23/2016 16:00:00,246.08,246.54,244.64,245.84,858666
9/26/2016 16:00:00,245.71,247.48,245.01,245.53,880702
9/27/2016 16:00:00,246.04,247.02,245.3,245.79,946531
9/28/2016 16:00:00,246.13,246.96,244.86,245.75,1352627
9/29/2016 16:00:00,246.08,246.08,240.96,242.34,1134120
9/30/2016 16:00:00,243.06,243.47,237.33,239.72,2167014
10/3/2016 16:00:00,238.71,241.3,237.54,240.58,1339016
10/4/2016 16:00:00,240.96,241.05,236.5,237.1,1409459
10/5/2016 16:00:00,239.05,239.05,236.5,236.6,1172061
10/6/2016 16:00:00,237,237.02,234.48,234.72,1899900
10/7/2016 16:00:00,233.2,233.99,231.57,233.53,2184039
10/10/2016 16:00:00,233.82,234.93,233.12,233.29,990194
10/11/2016 16:00:00,233,233.63,231.64,231.85,1060445
10/12/2016 16:00:00,231.93,233.12,231.37,232.1,1256281
10/13/2016 16:00:00,231.66,233.42,231.05,232.99,1112115
10/14/2016 16:00:00,233.38,234.09,231.93,232.57,1081038
10/17/2016 16:00:00,232.68,234.33,232.6,232.77,793295
10/18/2016 16:00:00,234.29,239.6,232.58,232.79,867910
10/19/2016 16:00:00,233.08,233.74,231.58,232.33,992557
10/20/2016 16:00:00,232.15,232.71,230.72,231.83,922754
10/21/2016 16:00:00,231.07,231.16,228.5,230.52,1553133
10/24/2016 16:00:00,231.5,232.49,230.92,232.16,1304883
10/25/2016 16:00:00,241.08,249.79,238.64,249.26,3130924
10/26/2016 16:00:00,248.6,252,247.49,250.09,2112342
10/27/2016 16:00:00,250.28,251.24,248.05,248.53,1294373
10/28/2016 16:00:00,248.72,250.17,247.69,248,1118815
10/31/2016 16:00:00,248.24,248.81,245.68,246.38,1320757
11/1/2016 16:00:00,247.19,247.19,244.23,244.98,1081151
11/2/2016 16:00:00,244.95,247.65,244.2,245.11,954140
11/3/2016 16:00:00,242.55,243.4,237.11,238.7,1694849
11/4/2016 16:00:00,238.85,239.7,236.21,236.28,1512145
11/7/2016 16:00:00,239.83,239.92,237.52,239.27,1375974
11/8/2016 16:00:00,239,240.92,238.6,239.19,1258865
11/9/2016 16:00:00,256.59,257.48,250,253.46,4184252
11/10/2016 16:00:00,257.5,258.19,252.77,257.27,2627475
11/11/2016 16:00:00,257.96,259.73,255.06,259.17,2002830
11/14/2016 16:00:00,261.23,267.81,260.8,267.24,2455046
11/15/2016 16:00:00,268.79,269.74,261.85,265.93,2014589
11/16/2016 16:00:00,265.87,266.17,261.46,263.35,1464093
11/17/2016 16:00:00,263.5,264.47,262.39,263.28,914217
11/18/2016 16:00:00,263.14,264.46,261.58,263.09,1197134
11/21/2016 16:00:00,264.05,264.33,262.64,263.42,965537
11/22/2016 16:00:00,264.49,265.64,263.42,264.66,1244642
11/23/2016 16:00:00,264.91,265.82,263.56,264.4,1039660
11/25/2016 16:00:00,265.34,266.49,264.65,265.92,653602
11/28/2016 16:00:00,265.73,266.23,264.86,265.93,1364939
11/29/2016 16:00:00,264.5,267.77,263.71,266.58,1209462
11/30/2016 16:00:00,267.55,267.95,265.25,265.25,1467904
12/1/2016 16:00:00,265.29,266.53,264.31,266.4,874893
12/2/2016 16:00:00,266.58,268.15,266.01,267.62,1090962
12/5/2016 16:00:00,268.95,269.9,266.31,266.93,1268831
12/6/2016 16:00:00,265.83,266.8,264.01,266,1143051
12/7/2016 16:00:00,266.07,267,264.35,266.38,1269385
12/8/2016 16:00:00,266.38,266.38,258.61,259.25,2767244
12/9/2016 16:00:00,258.6,260.22,258.06,259.53,1546118
12/12/2016 16:00:00,251.78,253.7,245.5,253.11,7079975
12/13/2016 16:00:00,254.67,255.5,250.12,251.69,2519196
12/14/2016 16:00:00,252.31,254.83,252.08,252.3,1844932
12/15/2016 16:00:00,252.34,253.31,250.41,250.65,1855125
12/16/2016 16:00:00,251.28,252.79,249.03,250.08,2138087
12/19/2016 16:00:00,249.54,252.46,249.54,252.18,1045618
12/20/2016 16:00:00,252.18,253.78,252.1,253.73,900193
12/21/2016 16:00:00,254.5,254.5,252.28,252.52,817665
12/22/2016 16:00:00,252.01,253.5,251.1,252.8,829761
12/23/2016 16:00:00,248.17,251.88,247.01,249.59,2086786
12/27/2016 16:00:00,250.78,251.75,250.2,250.86,788808
12/28/2016 16:00:00,250.44,251,248.52,249.58,1007606
12/29/2016 16:00:00,250.19,251.92,249.45,250.59,900899
12/30/2016 16:00:00,250.53,251.32,248.78,249.94,1058219
1/3/2017 16:00:00,251.2,254.11,250.76,253.31,1667668
1/4/2017 16:00:00,254.1,254.9,253.34,253.99,1077649
1/5/2017 16:00:00,254.37,258.02,254.1,255.98,1279448
1/6/2017 16:00:00,255.48,258.57,255.48,257.85,1246237
1/9/2017 16:00:00,258,258.99,257.43,257.81,1067086
1/10/2017 16:00:00,258.16,258.96,256.17,256.17,1146212
1/11/2017 16:00:00,256.3,257,251.71,255.13,1613810
1/12/2017 16:00:00,254.91,255.33,251.31,252.62,1153334
1/13/2017 16:00:00,252.74,255.95,252.02,254.53,1162023
1/17/2017 16:00:00,253.46,254.34,252.06,254.12,1431482
1/18/2017 16:00:00,254.1,254.73,252.94,254.07,925341
1/19/2017 16:00:00,255.57,257.44,255.19,257.03,1076253
1/20/2017 16:00:00,257.96,258.08,256.1,257.73,1184303
1/23/2017 16:00:00,258.15,259.74,255.02,257.48,1605592
1/24/2017 16:00:00,250.38,253.45,249.02,252.91,2984999
1/25/2017 16:00:00,253.06,254.33,248,251,2329794
1/26/2017 16:00:00,250,254.99,249.55,254.97,1956728
1/27/2017 16:00:00,254.98,259.12,250.13,253.5,2597627
1/30/2017 16:00:00,254.33,256.28,251.88,252.83,1537217
1/31/2017 16:00:00,252.32,252.5,249.96,251.33,1276309
2/1/2017 16:00:00,250.83,252.56,249.98,250.9,1210186
2/2/2017 16:00:00,250.9,252.17,250.34,251.97,1044743
2/3/2017 16:00:00,252.67,256.46,251.5,254.46,1803527
2/6/2017 16:00:00,254.43,257.07,254.11,255.31,980820
2/7/2017 16:00:00,256,257.3,255.58,256.37,977790
2/8/2017 16:00:00,256.93,257.81,256.4,256.74,973415
