Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,47.85,49.87,46.59,47.27,3718992
6/8/2020 16:00:00,49.58,50.32,48.29,50.04,2289283
6/9/2020 16:00:00,47.56,48.93,47.02,47.21,2310420
6/10/2020 16:00:00,46.74,46.94,43.91,44.12,2581728
6/11/2020 16:00:00,40.08,41.71,38.26,38.43,2788118
6/12/2020 16:00:00,41.49,41.49,38.83,40.68,1740047
6/15/2020 16:00:00,38.25,42.48,37.52,41.8,2292678
6/16/2020 16:00:00,44.94,44.94,41.22,42.46,2209979
6/17/2020 16:00:00,42.48,43,40.65,40.73,1759440
6/18/2020 16:00:00,40.18,41.65,39.64,40.63,1491247
6/19/2020 16:00:00,41.94,41.94,38.96,39.6,3919285
6/22/2020 16:00:00,39.26,39.47,38.35,38.52,2461890
6/23/2020 16:00:00,39.73,40.01,38.62,38.67,2162126
6/24/2020 16:00:00,38,38,35.82,36.04,2504420
6/25/2020 16:00:00,35.51,36.87,35.32,36.8,1856541
6/26/2020 16:00:00,35.7,36.07,34.34,34.65,3644027
6/29/2020 16:00:00,35.18,35.8,34.56,35.74,1704886
6/30/2020 16:00:00,35.3,37.05,35.27,36.79,1975867
7/1/2020 16:00:00,37.02,37.39,34.56,34.67,2284069
7/2/2020 16:00:00,36.05,36.98,34.5,34.61,2562010
7/6/2020 16:00:00,35.93,36.79,35.15,35.9,1922385
7/7/2020 16:00:00,35.39,35.67,33.98,34.12,2259770
7/8/2020 16:00:00,34.11,35.25,34.05,35.22,2111721
7/9/2020 16:00:00,34.81,34.82,32.44,32.71,2622423
7/10/2020 16:00:00,32.6,35.02,32.52,34.78,2456149
7/13/2020 16:00:00,35.38,35.98,34.24,35.08,1958748
7/14/2020 16:00:00,34.89,35.71,34.26,35.46,1737117
7/15/2020 16:00:00,36.84,37.54,35.98,37.21,1769600
7/16/2020 16:00:00,36.65,38.16,35.97,37.5,2112945
7/17/2020 16:00:00,37.52,37.62,36.73,37.04,1463843
7/20/2020 16:00:00,36.77,36.89,35.85,36.22,1524554
7/21/2020 16:00:00,36.6,37.91,36.6,37.48,1533953
7/22/2020 16:00:00,36.83,37.83,36.77,37.59,1270203
7/23/2020 16:00:00,37.43,38.02,36.98,37.59,1218991
7/24/2020 16:00:00,37.82,37.85,37,37.21,982451
7/27/2020 16:00:00,36.86,37.2,36.05,36.75,915130
7/28/2020 16:00:00,36.54,37.23,36.21,36.29,1225330
7/29/2020 16:00:00,36.41,38.44,36.12,38.37,2242473
7/30/2020 16:00:00,36.85,37.29,35.55,36.93,2303842
7/31/2020 16:00:00,36.99,37.64,36.08,37.27,3886115
8/3/2020 16:00:00,37.38,38.2,36.84,37.58,1367634
8/4/2020 16:00:00,37.39,37.75,36.17,36.51,1504710
8/5/2020 16:00:00,37.16,39.18,37.07,39,2626909
8/6/2020 16:00:00,36.25,37.4,35.59,35.92,2969020
8/7/2020 16:00:00,35.53,38.39,35.41,38.36,2132150
8/10/2020 16:00:00,38.73,39.77,38.71,39.18,1745407
8/11/2020 16:00:00,40.83,41.58,39.54,39.81,2017676
8/12/2020 16:00:00,41.02,41.05,38.11,38.82,1631868
