Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,53.96,54.98,52.33,54.76,13454161,6/5/2020 16:00:00,10.76,11.19,10.71,10.86,27840369,6/5/2020 16:00:00,122.7,125.67,121.8,123.32,739144
6/8/2020 16:00:00,54.39,55.64,53.5,55.54,9502271,6/8/2020 16:00:00,11.12,11.27,10.84,11.25,21778986,6/8/2020 16:00:00,122.95,125.64,122.84,124.61,441211
6/9/2020 16:00:00,57.11,57.45,55.73,57.17,11910611,6/9/2020 16:00:00,11.03,11.32,10.89,11.27,21768730,6/9/2020 16:00:00,123.29,123.58,121.38,122.42,363288
6/10/2020 16:00:00,58.25,58.86,55.77,58.73,12081201,6/10/2020 16:00:00,11.32,11.5,11.06,11.47,28484614,6/10/2020 16:00:00,122.35,122.35,119.04,121.46,656897
6/11/2020 16:00:00,59.15,59.88,54.99,56.04,15915096,6/11/2020 16:00:00,10.68,10.69,9.79,9.91,34219940,6/11/2020 16:00:00,118.91,118.91,111.92,112.01,710460
6/12/2020 16:00:00,56.88,56.99,55.12,55.45,8708265,6/12/2020 16:00:00,10.45,10.57,10.05,10.49,19856386,6/12/2020 16:00:00,115.98,116.95,112,113.5,429915
6/15/2020 16:00:00,54.09,57.14,53.16,56.85,12170774,6/15/2020 16:00:00,10.01,10.54,9.78,10.47,19926740,6/15/2020 16:00:00,110.38,116.3,109.07,115.52,376149
6/16/2020 16:00:00,56.9,57.57,55.51,55.95,10934043,6/16/2020 16:00:00,11.1,11.19,10.47,10.78,21965502,6/16/2020 16:00:00,119.75,119.89,114.67,116.35,547425
6/17/2020 16:00:00,56.27,56.94,55.23,55.58,10072511,6/17/2020 16:00:00,10.82,10.92,10.65,10.7,17837732,6/17/2020 16:00:00,116.66,117.17,115.32,115.75,260374
6/18/2020 16:00:00,55.62,56.63,55.24,55.53,9728773,6/18/2020 16:00:00,10.48,10.72,10.37,10.56,15121266,6/18/2020 16:00:00,115.69,116.75,114.87,116.47,412893
6/19/2020 16:00:00,56.51,57.4,55.77,56.92,19066240,6/19/2020 16:00:00,10.83,10.93,10.4,10.5,28464703,6/19/2020 16:00:00,118.61,118.61,114.51,114.52,536527
6/22/2020 16:00:00,58.34,59.89,57.81,58.22,14243261,6/22/2020 16:00:00,10.57,10.9,10.5,10.79,17164314,6/22/2020 16:00:00,113.46,114.31,112.42,113.77,403867
6/23/2020 16:00:00,59.57,59.9,58.67,58.91,12777568,6/23/2020 16:00:00,11.07,11.23,11.01,11.08,15893203,6/23/2020 16:00:00,115.12,115.88,113.43,115.48,605320
6/24/2020 16:00:00,58.73,59.55,57.77,58.41,8164901,6/24/2020 16:00:00,10.96,11.03,10.44,10.57,18618069,6/24/2020 16:00:00,114.38,114.83,111.98,112.29,908120
6/25/2020 16:00:00,58.47,58.71,57.47,58.59,6045610,6/25/2020 16:00:00,10.56,11.11,10.48,11.08,18005186,6/25/2020 16:00:00,112.06,112.06,109.41,111.37,826873
6/26/2020 16:00:00,58.39,60.09,57.69,59.34,18586648,6/26/2020 16:00:00,11,11.1,10.78,10.79,20899542,6/26/2020 16:00:00,111.13,112.27,109.38,109.83,1504370
6/29/2020 16:00:00,59.48,59.95,58.66,59.54,7236440,6/29/2020 16:00:00,10.94,11.04,10.75,11.04,17307318,6/29/2020 16:00:00,110.83,113.07,110.35,111.94,337879
6/30/2020 16:00:00,59.57,61.97,59.18,61.74,9284100,6/30/2020 16:00:00,11.07,11.68,11.03,11.57,24032954,6/30/2020 16:00:00,111.79,115.09,111.73,114.09,594901
7/1/2020 16:00:00,61.77,61.77,59.6,61.36,10870869,7/1/2020 16:00:00,11.64,11.75,11.24,11.49,20636817,7/1/2020 16:00:00,114.34,114.75,112.3,114.02,492539
7/2/2020 16:00:00,60.89,61.99,60.22,60.96,8076849,7/2/2020 16:00:00,11.65,11.99,11.48,11.5,25268547,7/2/2020 16:00:00,115.19,117.56,114.64,117,728378
7/6/2020 16:00:00,61.85,62.31,60.5,61.18,8335656,7/6/2020 16:00:00,12,12.77,11.9,12.75,38609166,7/6/2020 16:00:00,119.43,120.09,116.71,118.18,629357
7/7/2020 16:00:00,60.86,62.64,60.84,62.47,9097319,7/7/2020 16:00:00,12.7,13,12.5,12.73,32091817,7/7/2020 16:00:00,116.7,116.84,115.27,115.85,480318
7/8/2020 16:00:00,63.79,64.24,62.7,63.43,10902267,7/8/2020 16:00:00,12.93,13.01,12.52,12.82,22607227,7/8/2020 16:00:00,115.48,116.04,112.49,112.95,673605
7/9/2020 16:00:00,64.27,64.54,61.56,62.73,8702212,7/9/2020 16:00:00,13.03,13.1,12.56,12.89,27364323,7/9/2020 16:00:00,112.5,112.71,109.99,110.61,573354
7/10/2020 16:00:00,62.63,63.05,61.62,61.88,6188959,7/10/2020 16:00:00,12.83,13.07,12.79,12.97,20659737,7/10/2020 16:00:00,110.8,111.84,110.01,111.04,970833
7/13/2020 16:00:00,62.57,62.73,59.46,59.54,8324415,7/13/2020 16:00:00,13.28,13.87,12.96,13.02,45000687,7/13/2020 16:00:00,112.2,114.09,111.7,112.15,946118
7/14/2020 16:00:00,59.37,61.8,59.05,61.77,6881618,7/14/2020 16:00:00,12.97,13.56,12.75,13.5,24372215,7/14/2020 16:00:00,112.12,115.82,111.44,115.82,784412
7/15/2020 16:00:00,61.65,62.18,60.41,62.14,5705264,7/15/2020 16:00:00,13.79,13.82,13.18,13.53,21774723,7/15/2020 16:00:00,118.05,119.61,117.32,118.99,761721
7/16/2020 16:00:00,61.81,62.61,61.21,61.55,6165542,7/16/2020 16:00:00,13.35,13.58,13.21,13.47,17611999,7/16/2020 16:00:00,118.89,120.58,118.4,119.42,675306
7/17/2020 16:00:00,62.08,63.16,61.77,62.92,6963308,7/17/2020 16:00:00,13.57,13.66,13.41,13.58,14048058,7/17/2020 16:00:00,120.27,121.66,118.8,121.26,595378
7/20/2020 16:00:00,63.48,64.44,63.21,64.19,7338451,7/20/2020 16:00:00,13.47,13.55,13.27,13.43,22039906,7/20/2020 16:00:00,120.5,121.01,119.66,119.89,310397
7/21/2020 16:00:00,65,65.45,63.86,64.29,7196001,7/21/2020 16:00:00,13.51,13.59,13.33,13.38,17793590,7/21/2020 16:00:00,120.11,121.41,120,120.49,400462
7/22/2020 16:00:00,64.72,65.55,63.97,65.47,7099405,7/22/2020 16:00:00,13.27,13.7,13.19,13.62,21831258,7/22/2020 16:00:00,120.13,122.2,119.93,122.2,358608
7/23/2020 16:00:00,65.7,67.08,64.64,65.77,9992817,7/23/2020 16:00:00,13.74,13.74,13.06,13.32,21017357,7/23/2020 16:00:00,122.26,123.6,120.4,120.91,362815
7/24/2020 16:00:00,66.26,66.8,65.85,66.75,6951011,7/24/2020 16:00:00,12.98,13.22,12.7,13.12,26054041,7/24/2020 16:00:00,121.05,122.71,119.91,120.41,1467750
7/27/2020 16:00:00,68.69,70.3,68.09,69.04,12918319,7/27/2020 16:00:00,13.35,13.59,13.18,13.56,15877672,7/27/2020 16:00:00,120.46,120.9,113.62,115.86,1203814
