Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,122.7,125.67,121.8,123.32,739144
6/8/2020 16:00:00,122.95,125.64,122.84,124.61,441211
6/9/2020 16:00:00,123.29,123.58,121.38,122.42,363288
6/10/2020 16:00:00,122.35,122.35,119.04,121.46,656897
6/11/2020 16:00:00,118.91,118.91,111.92,112.01,710460
6/12/2020 16:00:00,115.98,116.95,112,113.5,429915
6/15/2020 16:00:00,110.38,116.3,109.07,115.52,376149
6/16/2020 16:00:00,119.75,119.89,114.67,116.35,547425
6/17/2020 16:00:00,116.66,117.17,115.32,115.75,260374
6/18/2020 16:00:00,115.69,116.75,114.87,116.47,412893
6/19/2020 16:00:00,118.61,118.61,114.51,114.52,536527
6/22/2020 16:00:00,113.46,114.31,112.42,113.77,403867
6/23/2020 16:00:00,115.12,115.88,113.43,115.48,605320
6/24/2020 16:00:00,114.38,114.83,111.98,112.29,908120
6/25/2020 16:00:00,112.06,112.06,109.41,111.37,826873
6/26/2020 16:00:00,111.13,112.27,109.38,109.83,1504370
6/29/2020 16:00:00,110.83,113.07,110.35,111.94,337879
6/30/2020 16:00:00,111.79,115.09,111.73,114.09,594901
7/1/2020 16:00:00,114.34,114.75,112.3,114.02,492539
7/2/2020 16:00:00,115.19,117.56,114.64,117,728378
7/6/2020 16:00:00,119.43,120.09,116.71,118.18,629357
7/7/2020 16:00:00,116.7,116.84,115.27,115.85,480318
7/8/2020 16:00:00,115.48,116.04,112.49,112.95,673605
7/9/2020 16:00:00,112.5,112.71,109.99,110.61,573354
7/10/2020 16:00:00,110.8,111.84,110.01,111.04,970833
7/13/2020 16:00:00,112.2,114.09,111.7,112.15,946118
7/14/2020 16:00:00,112.12,115.82,111.44,115.82,784412
7/15/2020 16:00:00,118.05,119.61,117.32,118.99,761721
7/16/2020 16:00:00,118.89,120.58,118.4,119.42,675306
7/17/2020 16:00:00,120.27,121.66,118.8,121.26,595378
7/20/2020 16:00:00,120.5,121.01,119.66,119.89,310397
7/21/2020 16:00:00,120.11,121.41,120,120.49,400462
7/22/2020 16:00:00,120.13,122.2,119.93,122.2,358608
7/23/2020 16:00:00,122.26,123.6,120.4,120.91,362815
7/24/2020 16:00:00,121.05,122.71,119.91,120.41,1467750
7/27/2020 16:00:00,120.46,120.9,113.62,115.86,1203814
7/28/2020 16:00:00,117.25,118.39,116.29,117.6,968454
7/29/2020 16:00:00,118.2,119.37,117.26,117.96,746714
7/30/2020 16:00:00,116.34,117.01,114.6,115.13,457926
7/31/2020 16:00:00,114.7,115.03,112.1,113.34,400274
8/3/2020 16:00:00,114.04,114.39,112.54,112.81,480743
8/4/2020 16:00:00,112.32,114.18,111.8,113.84,657751
8/5/2020 16:00:00,114.47,116.82,114.47,116.09,608896
8/6/2020 16:00:00,115.94,116.85,114.13,114.45,580864
8/7/2020 16:00:00,113.72,115.83,113.39,115.82,379654
8/10/2020 16:00:00,116.36,117.19,115.33,116.18,343252
8/11/2020 16:00:00,118.18,119.95,117.83,118.35,625932
8/12/2020 16:00:00,119.94,120.82,119.11,120.46,419589
8/13/2020 16:00:00,119.11,119.18,117.86,118.43,366712
8/14/2020 16:00:00,117.5,117.97,116.36,116.59,378551
8/17/2020 16:00:00,117.43,117.43,115.43,115.86,354168
8/18/2020 16:00:00,115.7,115.9,114.15,114.34,403332
8/19/2020 16:00:00,115.04,116.08,113.75,114.25,333933
8/20/2020 16:00:00,113.09,113.6,112.21,113.44,441538
8/21/2020 16:00:00,113.31,115.05,112.69,114.58,360716
8/24/2020 16:00:00,115.48,116.31,114.78,115.38,240720
8/25/2020 16:00:00,116.1,116.3,114.44,115.91,438395
8/26/2020 16:00:00,115.63,116.03,114.62,115.75,371072
8/27/2020 16:00:00,115.34,117.13,115.26,116.29,349755
8/28/2020 16:00:00,116.64,118.36,115.42,118.18,314471
8/31/2020 16:00:00,118.18,118.18,114.65,115.39,544281
9/1/2020 16:00:00,114.16,117.71,113.06,117.66,521804
9/2/2020 16:00:00,117.78,121.53,117.57,121.16,553646
9/3/2020 16:00:00,121.21,121.33,117.04,119.08,561090
9/4/2020 16:00:00,120.42,120.69,117.65,119.08,574434
9/8/2020 16:00:00,118.38,118.38,113.56,114.06,606394
9/9/2020 16:00:00,114.59,117.02,114.59,116.35,439270
9/10/2020 16:00:00,117.2,118.05,115.91,116.04,546231
9/11/2020 16:00:00,117.23,120.82,116.91,119.79,807171
9/14/2020 16:00:00,121.29,123.84,121.12,121.81,723735
9/15/2020 16:00:00,123.17,128.72,123.17,128.02,956538
9/16/2020 16:00:00,128.36,129.74,128.02,128.33,1137357
9/17/2020 16:00:00,127,129.73,124.66,128.69,708755
9/18/2020 16:00:00,128.04,128.78,124.57,125.48,741940
9/21/2020 16:00:00,123.1,124.26,119.55,121.2,630122
9/22/2020 16:00:00,120.91,122.59,120.85,122.01,672234
9/23/2020 16:00:00,122.29,122.43,118.22,118.71,696042
9/24/2020 16:00:00,118.01,119.62,116.74,117.36,614069
9/25/2020 16:00:00,116.2,119.75,115.77,119.3,429422
9/28/2020 16:00:00,120.76,123.86,120.53,123.01,565170
9/29/2020 16:00:00,123.64,125.34,123.24,124.59,662666
9/30/2020 16:00:00,125.36,129.4,125.05,127.84,886425
10/1/2020 16:00:00,128.71,129.5,124.31,124.65,679878
10/2/2020 16:00:00,122.79,125.7,122.56,124.33,718287
10/5/2020 16:00:00,125.96,128.72,125.8,128.22,770829
10/6/2020 16:00:00,129.28,130.6,125.75,126.34,763664
10/7/2020 16:00:00,128.11,131.46,127.96,129.56,409196
10/8/2020 16:00:00,130.03,132.18,130.03,132.06,411728
10/9/2020 16:00:00,133.04,133.22,130.18,130.5,469263
10/12/2020 16:00:00,131.6,131.87,129.08,129.31,673311
10/13/2020 16:00:00,129,130.76,128.46,129.44,353028
10/14/2020 16:00:00,129.39,131.67,129.39,131.18,345842
10/15/2020 16:00:00,129.79,133.56,129.66,132.86,419786
10/16/2020 16:00:00,133.72,134.48,133.37,134.02,435533
10/19/2020 16:00:00,133.93,136.19,133.53,133.74,674284
10/20/2020 16:00:00,135.41,137.5,133.91,134.34,579332
10/21/2020 16:00:00,134.49,145.45,134.49,142.56,1400811
10/22/2020 16:00:00,138.59,142.84,137.59,140.87,736235
10/23/2020 16:00:00,142.07,143.8,140.46,141.74,683119
10/26/2020 16:00:00,140.49,140.65,137.55,139.25,379726
10/27/2020 16:00:00,139.44,140.19,138.15,138.15,528326
10/28/2020 16:00:00,135.18,136.99,134.5,135.15,600562
10/29/2020 16:00:00,135.63,140.84,135.29,139.81,579491
10/30/2020 16:00:00,138.15,140.29,136.68,138.39,550230
11/2/2020 16:00:00,140.09,142.28,139.43,141.7,480770
11/3/2020 16:00:00,143.88,146.02,143.12,145.21,452531
11/4/2020 16:00:00,145.29,145.89,142.51,143.38,483012
11/5/2020 16:00:00,145.4,148.9,145,147.04,348608
11/6/2020 16:00:00,147.12,148.82,146.92,148.26,312119
11/9/2020 16:00:00,153.99,156.82,150.98,152.35,891224
11/10/2020 16:00:00,151.64,152.72,147.71,150.7,1172911
11/11/2020 16:00:00,151.82,153.23,150.33,151.78,426883
11/12/2020 16:00:00,150.54,151.35,146.6,147.62,493249
11/13/2020 16:00:00,148.99,151.07,148.33,149.58,638159
11/16/2020 16:00:00,152.18,153.98,150.86,152.6,513566
11/17/2020 16:00:00,151.38,152.23,149.1,149.44,556536
11/18/2020 16:00:00,150.16,151.5,147.41,147.43,480392
11/19/2020 16:00:00,146.84,147.5,145.35,147.03,509739
11/20/2020 16:00:00,146.86,147.85,146.12,147.5,414211
11/23/2020 16:00:00,148.91,149.69,146.63,147.48,369977
11/24/2020 16:00:00,149.27,153.5,148.58,153.06,559755
11/25/2020 16:00:00,152.25,152.97,150.85,151.56,317399
11/27/2020 13:00:00,151.4,152.24,149.44,150.3,179364
11/30/2020 16:00:00,150.08,151.25,148.5,149.34,590297
12/1/2020 16:00:00,150.81,152.71,149.01,151.75,399508
12/2/2020 16:00:00,150.65,152.43,150,150.84,324297
12/3/2020 16:00:00,150.81,152.2,149.54,149.87,450787
12/4/2020 16:00:00,150.35,154.24,150.14,154.04,313830
12/7/2020 16:00:00,154.31,155.37,153.03,154.18,409503
12/8/2020 16:00:00,153.69,156.05,152.26,155.31,438350
12/9/2020 16:00:00,156.14,156.61,153,153.9,349453
12/10/2020 16:00:00,153.12,153.21,149.96,150.8,456409
12/11/2020 16:00:00,149.53,150.69,149.15,150.01,437399
12/14/2020 16:00:00,151.82,151.93,148.45,148.77,599292
12/15/2020 16:00:00,150.65,151.79,149.16,150.98,437578
