Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,53.96,54.98,52.33,54.76,13454161
6/8/2020 16:00:00,54.39,55.64,53.5,55.54,9502271
6/9/2020 16:00:00,57.11,57.45,55.73,57.17,11910611
6/10/2020 16:00:00,58.25,58.86,55.77,58.73,12081201
6/11/2020 16:00:00,59.15,59.88,54.99,56.04,15915096
6/12/2020 16:00:00,56.88,56.99,55.12,55.45,8708265
6/15/2020 16:00:00,54.09,57.14,53.16,56.85,12170774
6/16/2020 16:00:00,56.9,57.57,55.51,55.95,10934043
6/17/2020 16:00:00,56.27,56.94,55.23,55.58,10072511
6/18/2020 16:00:00,55.62,56.63,55.24,55.53,9728773
6/19/2020 16:00:00,56.51,57.4,55.77,56.92,19066240
6/22/2020 16:00:00,58.34,59.89,57.81,58.22,14243261
6/23/2020 16:00:00,59.57,59.9,58.67,58.91,12777568
6/24/2020 16:00:00,58.73,59.55,57.77,58.41,8164901
6/25/2020 16:00:00,58.47,58.71,57.47,58.59,6045610
6/26/2020 16:00:00,58.39,60.09,57.69,59.34,18586648
6/29/2020 16:00:00,59.48,59.95,58.66,59.54,7236440
6/30/2020 16:00:00,59.57,61.97,59.18,61.74,9284100
7/1/2020 16:00:00,61.77,61.77,59.6,61.36,10870869
7/2/2020 16:00:00,60.89,61.99,60.22,60.96,8076849
7/6/2020 16:00:00,61.85,62.31,60.5,61.18,8335656
7/7/2020 16:00:00,60.86,62.64,60.84,62.47,9097319
7/8/2020 16:00:00,63.79,64.24,62.7,63.43,10902267
7/9/2020 16:00:00,64.27,64.54,61.56,62.73,8702212
7/10/2020 16:00:00,62.63,63.05,61.62,61.88,6188959
7/13/2020 16:00:00,62.57,62.73,59.46,59.54,8324415
7/14/2020 16:00:00,59.37,61.8,59.05,61.77,6881618
7/15/2020 16:00:00,61.65,62.18,60.41,62.14,5705264
7/16/2020 16:00:00,61.81,62.61,61.21,61.55,6165542
7/17/2020 16:00:00,62.08,63.16,61.77,62.92,6963308
7/20/2020 16:00:00,63.48,64.44,63.21,64.19,7338451
7/21/2020 16:00:00,65,65.45,63.86,64.29,7196001
7/22/2020 16:00:00,64.72,65.55,63.97,65.47,7099405
7/23/2020 16:00:00,65.7,67.08,64.64,65.77,9992817
7/24/2020 16:00:00,66.26,66.8,65.85,66.75,6951011
7/27/2020 16:00:00,68.69,70.3,68.09,69.04,12918319
7/28/2020 16:00:00,67.89,69.23,67.23,68.59,6533364
7/29/2020 16:00:00,68.78,68.84,66.85,67.89,7333890
7/30/2020 16:00:00,66.21,67.86,64.53,65.66,7179225
7/31/2020 16:00:00,66.61,69.22,65.76,69.2,8989396
8/3/2020 16:00:00,69.2,69.4,67.49,68.15,6140288
8/4/2020 16:00:00,68.37,70.45,67.3,70.25,7627111
8/5/2020 16:00:00,71.76,72.22,69.78,70.37,7682251
8/6/2020 16:00:00,71.19,71.34,69.35,70.11,6786530
8/7/2020 16:00:00,69.02,69.49,68.36,68.91,6067999
8/10/2020 16:00:00,69.25,70.4,67.51,67.89,5607054
8/11/2020 16:00:00,64.59,64.94,62.65,62.87,11407200
8/12/2020 16:00:00,64.47,64.63,62.69,62.99,8273214
8/13/2020 16:00:00,64.03,64.71,63.34,64.11,5629406
8/14/2020 16:00:00,64.22,64.53,63.36,63.85,3869244
8/17/2020 16:00:00,66.12,68.37,65.56,68.35,8442142
8/18/2020 16:00:00,69.8,69.81,66.76,67.7,5309230
8/19/2020 16:00:00,67.18,68.26,65.39,65.98,6093671
8/20/2020 16:00:00,65.98,67.53,65.73,67.23,4623175
8/21/2020 16:00:00,66.74,66.74,65.22,65.57,5430209
8/24/2020 16:00:00,66.45,66.51,64.78,65.2,4546862
8/25/2020 16:00:00,65.03,65.1,63.26,64.86,4179754
8/26/2020 16:00:00,64.16,65.77,63.97,65.67,4141448
8/27/2020 16:00:00,66.79,66.79,63.71,64.76,4858076
8/28/2020 16:00:00,65.78,67.09,65.28,66.71,4472896
8/31/2020 16:00:00,66.98,68.22,66.68,67.28,6040618
9/1/2020 16:00:00,68.49,68.55,65.86,67.02,6145484
9/2/2020 16:00:00,66,67.55,64.77,67.53,7384225
9/3/2020 16:00:00,66.86,67.05,64.76,66.13,7148243
9/4/2020 16:00:00,65.66,65.82,63.35,65.35,6969446
9/8/2020 16:00:00,64.38,66.93,63.43,65.77,6152397
9/9/2020 16:00:00,66.17,68.42,66.16,68.17,5519342
9/10/2020 16:00:00,68.67,68.85,66.37,66.49,4837708
9/11/2020 16:00:00,67.12,67.63,65.81,66.22,4065090
9/14/2020 16:00:00,66.65,67.58,66.54,67.38,5007904
9/15/2020 16:00:00,68,68.57,67.05,67.55,4301790
9/16/2020 16:00:00,67.84,68.44,67.22,67.29,5526964
9/17/2020 16:00:00,66.15,66.59,65.38,66.32,6656620
9/18/2020 16:00:00,66.21,66.79,64.54,64.71,12537395
9/21/2020 16:00:00,63.4,64.29,62.72,63.67,9673571
9/22/2020 16:00:00,63.78,64.34,62.52,63.45,6165843
9/23/2020 16:00:00,62.99,63.09,59.8,60.22,9235802
9/24/2020 16:00:00,59.72,62.18,59.28,61.44,6268285
9/25/2020 16:00:00,60.72,61.66,60.53,61.42,3833838
9/28/2020 16:00:00,62,62.83,61.31,62.13,5400750
9/29/2020 16:00:00,62.5,63.45,62.39,62.77,4133636
9/30/2020 16:00:00,62.49,63.9,61.85,63.45,7212923
10/1/2020 16:00:00,64,64.1,62.66,62.83,6503170
10/2/2020 16:00:00,62.64,63.4,62.15,62.29,4646045
10/5/2020 16:00:00,62.3,63.95,62.27,63.13,4477141
10/6/2020 16:00:00,63.3,63.73,60.77,60.82,6970384
10/7/2020 16:00:00,61.36,61.78,60.89,61.17,4121259
10/8/2020 16:00:00,61.47,62.16,61.21,61.72,3914007
10/9/2020 16:00:00,62.72,62.92,61.85,62.82,4874957
10/12/2020 16:00:00,62.71,63.47,62.5,62.93,3875099
10/13/2020 16:00:00,62.51,62.85,61.63,62.76,4050724
10/14/2020 16:00:00,63.4,64.33,62.9,64,4353698
10/15/2020 16:00:00,63.18,63.64,62.48,63,4091841
10/16/2020 16:00:00,63.15,63.34,62.51,62.67,3583335
10/19/2020 16:00:00,63.15,63.34,61.57,61.71,3138336
10/20/2020 16:00:00,61.89,62.1,60.89,61.19,4656229
10/21/2020 16:00:00,61.67,62.38,61.26,61.48,5037206
10/22/2020 16:00:00,60.82,60.94,59.84,60.54,5104936
10/23/2020 16:00:00,60.38,60.99,60.02,60.47,3243331
10/26/2020 16:00:00,59.97,61.03,59.8,60.32,3783149
10/27/2020 16:00:00,60.57,61.8,60.28,61.65,4457781
10/28/2020 16:00:00,60.54,60.55,58.29,58.65,9871170
10/29/2020 16:00:00,58.88,61.47,58.46,60.34,7026379
10/30/2020 16:00:00,60.94,62.97,60.8,62.84,9150912
11/2/2020 16:00:00,63.25,64.93,62.61,64.73,8314400
11/3/2020 16:00:00,65.1,67.25,65.1,66.67,7474022
11/4/2020 16:00:00,66.67,66.87,64.94,65.08,8415316
11/5/2020 16:00:00,66.94,68.3,66.7,67.85,8509707
11/6/2020 16:00:00,68.39,68.45,67.5,68.14,4665030
11/9/2020 16:00:00,64.25,66.51,62.87,66.01,10766791
11/10/2020 16:00:00,65.55,65.98,64.25,64.89,7129301
11/11/2020 16:00:00,64.31,65.66,63.31,65.63,8060288
11/12/2020 16:00:00,66,66.22,64.87,65.02,5337773
11/13/2020 16:00:00,66,66.05,65.34,65.71,3452367
11/16/2020 16:00:00,65.4,66.12,64.92,65.67,3502932
11/17/2020 16:00:00,65.36,65.74,64.44,64.53,4261334
11/18/2020 16:00:00,64.4,64.4,61.49,61.56,5933250
11/19/2020 16:00:00,60.96,61.49,60.43,61.41,7013948
11/20/2020 16:00:00,62.02,62.38,61.13,61.65,5344825
11/23/2020 16:00:00,60.88,61.22,58.58,58.68,9081650
11/24/2020 16:00:00,57.31,57.71,56.55,56.87,11441074
11/25/2020 16:00:00,57.66,58.14,57.31,57.78,7267148
11/27/2020 13:00:00,57.14,58.62,56.76,58.48,3749912
11/30/2020 16:00:00,57.88,58.91,57.46,58.82,10965571
