Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,46.44,48.3,46.27,48.06,3646974
6/8/2020 16:00:00,48.61,49.65,48.48,49.01,2246747
6/9/2020 16:00:00,48.58,48.6,46.67,46.72,2414438
6/10/2020 16:00:00,47.02,47.03,45.95,46.22,1848188
6/11/2020 16:00:00,44.93,44.98,41.11,41.14,3755142
6/12/2020 16:00:00,42.52,43.04,41.23,42.46,2512095
6/15/2020 16:00:00,41.47,43.47,41.12,43.04,2194094
6/16/2020 16:00:00,44.78,45.22,43.42,44.35,2371241
6/17/2020 16:00:00,44.7,44.7,42.95,43.17,2392565
6/18/2020 16:00:00,43.02,43.19,42.15,42.79,1716740
6/19/2020 16:00:00,43.17,44.09,42.07,44.08,6218535
6/22/2020 16:00:00,43.39,43.58,41.64,42.3,3281198
6/23/2020 16:00:00,42.83,43.64,42.32,42.39,2208019
6/24/2020 16:00:00,42.22,42.22,40.93,40.97,3337224
6/25/2020 16:00:00,40.57,41.84,39.96,41.83,2510059
6/26/2020 16:00:00,43.43,44.43,42.63,43.99,7401067
6/29/2020 16:00:00,44.3,44.4,43.1,44.02,1886608
6/30/2020 16:00:00,43.98,45.05,43.77,44.37,2387238
7/1/2020 16:00:00,44.36,44.66,43.39,43.51,1685631
7/2/2020 16:00:00,44.1,44.46,43.47,43.55,1647163
7/6/2020 16:00:00,44.44,45.14,43.94,45.05,2980646
7/7/2020 16:00:00,44.5,44.75,42.7,42.86,2875345
7/8/2020 16:00:00,43.13,43.79,42.76,43.76,2012959
7/9/2020 16:00:00,43.07,43.64,42.23,42.3,2509648
7/10/2020 16:00:00,42.35,43.14,41.96,42.94,1832259
7/13/2020 16:00:00,43.62,44.37,43.28,43.4,2705431
7/14/2020 16:00:00,42.83,43.75,42.47,43.71,1903314
7/15/2020 16:00:00,44.33,45.06,43.69,44.38,2338234
7/16/2020 16:00:00,44.16,44.52,43.88,44.34,1893623
7/17/2020 16:00:00,44.49,45.11,44.14,44.81,2469823
7/20/2020 16:00:00,44.64,45.33,43.84,45.15,1992914
7/21/2020 16:00:00,45.03,46.42,45.03,45.56,2358329
7/22/2020 16:00:00,45.68,45.68,44.97,44.99,1217048
7/23/2020 16:00:00,44.94,45.72,44.46,44.69,1568747
7/24/2020 16:00:00,44.65,44.67,43.06,43.2,1989767
7/27/2020 16:00:00,43.22,44.34,42.73,44.09,1762167
7/28/2020 16:00:00,44.04,44.12,42.82,42.95,1393584
7/29/2020 16:00:00,42.7,42.89,41.39,42.43,2993407
