Date,Open,High,Low,Close,Volume
6/8/2020 16:00:00,6.35,6.45,6.3,6.45,935937
6/9/2020 16:00:00,6.44,6.47,6.4,6.42,1199033
6/10/2020 16:00:00,6.5,6.6,6.38,6.56,2284676
6/11/2020 16:00:00,6.52,6.56,6.31,6.38,1715085
6/12/2020 16:00:00,6.47,6.48,6.29,6.36,1209857
6/15/2020 16:00:00,6.24,6.37,6.16,6.33,1492911
6/16/2020 16:00:00,6.36,6.41,6.34,6.37,758198
6/17/2020 16:00:00,6.35,6.44,6.35,6.41,680524
6/18/2020 16:00:00,6.38,6.38,6.33,6.34,577861
6/19/2020 16:00:00,6.45,6.45,6.37,6.41,1726466
6/22/2020 16:00:00,6.54,6.55,6.43,6.47,1412476
6/23/2020 16:00:00,6.5,6.56,6.49,6.54,1202637
6/24/2020 16:00:00,6.43,6.5,6.34,6.39,1755606
6/25/2020 16:00:00,6.36,6.5,6.36,6.46,1301975
6/26/2020 16:00:00,6.47,6.53,6.37,6.51,1227809
6/29/2020 16:00:00,6.51,6.54,6.46,6.54,1146649
6/30/2020 16:00:00,6.52,6.64,6.51,6.61,3047126
7/1/2020 16:00:00,6.65,6.66,6.53,6.61,2280304
7/2/2020 16:00:00,6.61,6.67,6.58,6.6,2351145
7/6/2020 16:00:00,6.73,6.77,6.66,6.68,3221113
7/7/2020 16:00:00,6.68,6.74,6.67,6.71,1730250
7/8/2020 16:00:00,6.8,6.88,6.79,6.83,4118602
7/9/2020 16:00:00,6.92,6.95,6.76,6.86,2249359
7/10/2020 16:00:00,6.9,6.9,6.83,6.86,1444648
7/13/2020 16:00:00,7.04,7.09,6.9,6.93,4811994
7/14/2020 16:00:00,6.96,7.05,6.87,7.05,2208328
7/15/2020 16:00:00,7.06,7.12,7.01,7.12,2194501
7/16/2020 16:00:00,7.09,7.11,7.01,7.01,1521410
7/17/2020 16:00:00,7.11,7.11,7.03,7.07,2189161
7/20/2020 16:00:00,7.2,7.32,7.17,7.29,2497307
7/21/2020 16:00:00,7.71,7.8,7.64,7.73,7244239
7/22/2020 16:00:00,8.11,8.24,8.01,8.24,10183628
7/23/2020 16:00:00,8.2,8.37,8.06,8.21,6803822
7/24/2020 16:00:00,8.26,8.34,8.2,8.29,3416505
7/27/2020 16:00:00,8.8,8.82,8.69,8.8,10443872
7/28/2020 16:00:00,8.73,8.93,8.55,8.84,4536247
7/29/2020 16:00:00,8.83,9.03,8.41,8.76,5172920
7/30/2020 16:00:00,8.48,8.56,8.25,8.41,4364357
7/31/2020 16:00:00,8.65,8.69,8.55,8.63,4809039
8/3/2020 16:00:00,8.64,8.81,8.56,8.81,2753817
8/4/2020 16:00:00,8.81,9.31,8.75,9.31,8819470
8/5/2020 16:00:00,9.62,9.72,9.43,9.62,6185774
8/6/2020 16:00:00,10.1,10.28,9.9,10.28,9141180
8/7/2020 16:00:00,10.15,10.15,9.7,10.04,9322262
8/10/2020 16:00:00,10.2,10.46,10.2,10.39,8564881
8/11/2020 16:00:00,9.71,9.78,8.8,8.92,12433627
8/12/2020 16:00:00,9.2,9.29,8.9,8.92,7752515
8/13/2020 16:00:00,9.35,9.64,9.27,9.56,6583641
8/14/2020 16:00:00,9.45,9.53,9.13,9.3,4474929
8/17/2020 16:00:00,9.79,9.79,9.56,9.62,4867126
8/18/2020 16:00:00,9.85,9.99,9.53,9.82,5457437
8/19/2020 16:00:00,9.83,9.89,9.39,9.46,4404137
8/20/2020 16:00:00,9.45,9.69,9.42,9.68,2657063
8/21/2020 16:00:00,9.38,9.46,9.25,9.36,2512778
8/24/2020 16:00:00,9.52,9.52,9.2,9.23,2082654
8/25/2020 16:00:00,9.3,9.35,9.14,9.35,2262361
8/26/2020 16:00:00,9.33,9.75,9.28,9.75,3939580
8/27/2020 16:00:00,9.89,9.89,9.43,9.64,4043929
8/28/2020 16:00:00,9.8,9.89,9.74,9.83,4255204
8/31/2020 16:00:00,10,10.07,9.96,10.01,3631729
9/1/2020 16:00:00,10.24,10.25,9.81,9.99,3036160
9/2/2020 16:00:00,9.89,9.89,9.63,9.73,2451133
9/3/2020 16:00:00,9.67,9.73,9.34,9.37,3838838
9/4/2020 16:00:00,9.37,9.55,9.2,9.51,3889260
9/8/2020 16:00:00,9.37,9.5,9.11,9.41,2233390
9/9/2020 16:00:00,9.48,9.6,9.42,9.58,1742477
9/10/2020 16:00:00,9.71,9.74,9.44,9.5,1942384
9/11/2020 16:00:00,9.51,9.6,9.44,9.48,1437337
9/14/2020 16:00:00,9.61,9.69,9.57,9.66,1371864
9/15/2020 16:00:00,9.77,9.77,9.58,9.67,1577325
9/16/2020 16:00:00,9.73,9.78,9.59,9.69,1791005
9/17/2020 16:00:00,9.47,9.67,9.39,9.67,1850846
9/18/2020 16:00:00,9.58,9.69,9.53,9.56,1618535
9/21/2020 16:00:00,9.29,9.31,8.5,8.88,7189855
9/22/2020 16:00:00,8.8,8.86,8.66,8.74,2854992
9/23/2020 16:00:00,8.44,8.47,8.02,8.07,5839200
9/24/2020 16:00:00,7.88,8.31,7.75,8.24,4889965
9/25/2020 16:00:00,8.12,8.24,8.06,8.12,2589414
9/28/2020 16:00:00,8.32,8.39,8.22,8.39,2173757
9/29/2020 16:00:00,8.47,8.65,8.45,8.62,2349583
9/30/2020 16:00:00,8.5,8.52,8.23,8.27,2362559
10/1/2020 16:00:00,8.43,8.51,8.3,8.4,3364271
10/2/2020 16:00:00,8.47,8.54,8.35,8.4,1732063
10/5/2020 16:00:00,8.45,8.62,8.45,8.6,1184424
10/6/2020 16:00:00,8.61,8.61,8.21,8.22,2596296
10/7/2020 16:00:00,8.32,8.42,8.29,8.39,1525758
10/8/2020 16:00:00,8.5,8.54,8.35,8.42,1103362
10/9/2020 16:00:00,8.68,8.8,8.61,8.8,4418686
10/12/2020 16:00:00,8.82,8.88,8.69,8.86,1713794
10/13/2020 16:00:00,8.62,8.67,8.43,8.55,2396257
10/14/2020 16:00:00,8.62,8.65,8.46,8.49,2553095
10/15/2020 16:00:00,8.35,8.52,8.3,8.52,1360522
10/16/2020 16:00:00,8.56,8.61,8.49,8.49,1234846
10/19/2020 16:00:00,8.66,8.7,8.5,8.54,1292561
10/20/2020 16:00:00,8.65,8.74,8.6,8.7,1477716
10/21/2020 16:00:00,8.8,8.9,8.75,8.81,1389950
10/22/2020 16:00:00,8.81,8.81,8.59,8.75,1749260
10/23/2020 16:00:00,8.75,8.78,8.61,8.71,760385
10/26/2020 16:00:00,8.6,8.64,8.54,8.58,1104673
10/27/2020 16:00:00,8.6,8.64,8.55,8.62,741117
10/28/2020 16:00:00,8.32,8.32,8.09,8.25,2814002
10/29/2020 16:00:00,8.11,8.32,8.07,8.25,1347674
