Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,205.99,207.66,203.43,206.37,1135505
6/8/2020 16:00:00,206.58,210.94,205.1,206.68,1161505
6/9/2020 16:00:00,204.67,211.68,202.12,211.37,901731
6/10/2020 16:00:00,210.35,211.74,205.39,205.47,879008
6/11/2020 16:00:00,201.05,202.59,194.59,195.93,1306537
6/12/2020 16:00:00,198.32,199.01,191.59,196.47,916888
6/15/2020 16:00:00,192.58,200.43,191.59,199.19,1108255
6/16/2020 16:00:00,204.51,205.25,197.39,198.86,875603
6/17/2020 16:00:00,199.31,200.27,196.93,197.76,698618
6/18/2020 16:00:00,196.4,197.08,192.75,196.27,766944
6/19/2020 16:00:00,198.81,198.81,190.46,190.59,3649110
6/22/2020 16:00:00,191,192.12,187.1,190.27,976759
6/23/2020 16:00:00,191.77,192.48,188.06,188.24,630852
6/24/2020 16:00:00,187,190.92,186.36,189.45,1174047
6/25/2020 16:00:00,189.22,191.14,186.93,191.03,827734
6/26/2020 16:00:00,190.65,193.29,188.63,189.28,1370060
6/29/2020 16:00:00,190.76,191.73,189.13,191.1,772347
6/30/2020 16:00:00,191.29,193.6,189.09,191.89,1064878
7/1/2020 16:00:00,191.67,200.12,191.22,199.16,678499
7/2/2020 16:00:00,201.01,202.03,197.53,199.36,895912
7/6/2020 16:00:00,202.24,203.59,195.69,196.53,871771
7/7/2020 16:00:00,194.67,196.13,194.08,194.46,635026
7/8/2020 16:00:00,194.21,195.07,193.03,193.36,869429
7/9/2020 16:00:00,192.75,196.31,192.05,195.37,555763
7/10/2020 16:00:00,195.4,196.88,193.97,194.43,630406
7/13/2020 16:00:00,194.68,195.34,192.6,192.89,525751
7/14/2020 16:00:00,193.06,196.92,192.95,193.84,588720
7/15/2020 16:00:00,195.63,195.63,191.15,192.8,982424
7/16/2020 16:00:00,192.39,194.74,188.28,188.38,621303
7/17/2020 16:00:00,188.7,192.98,187.35,192.3,837947
7/20/2020 16:00:00,192.3,192.52,187.76,187.79,479543
7/21/2020 16:00:00,189.18,189.48,186.71,186.84,581417
7/22/2020 16:00:00,185.45,189.2,184.2,188.31,698887
7/23/2020 16:00:00,188.9,190,185.42,187.02,534355
