Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,83.39,92.96,83.36,88.6,23237069
6/8/2020 16:00:00,94.88,95.56,89.13,95.5,15401055
6/9/2020 16:00:00,88,90.32,83.74,86.47,12537796
6/10/2020 16:00:00,87.56,87.56,78,83.01,15585382
6/11/2020 16:00:00,71.69,78.65,70.4,71.92,13082549
6/12/2020 16:00:00,77.75,78.21,72.82,75.98,10647486
6/15/2020 16:00:00,71.87,75.86,70.82,74.39,9850035
6/16/2020 16:00:00,80.95,81.29,74.59,75.52,11006208
6/17/2020 16:00:00,75.31,75.35,71.51,71.67,8312422
6/18/2020 16:00:00,70.01,72.45,68.58,70.96,8103255
6/19/2020 16:00:00,72.5,72.51,67,67.12,13314847
6/22/2020 16:00:00,66.35,68.84,65.09,68.55,6269637
6/23/2020 16:00:00,69.39,72.11,69.38,70.13,6921689
6/24/2020 16:00:00,67.93,68.17,62.66,65.11,10487743
6/25/2020 16:00:00,63.29,66.63,63.03,64.94,7431965
6/26/2020 16:00:00,63.84,64.69,61.45,61.9,11016458
6/29/2020 16:00:00,62.64,68.18,61.29,68.13,9412896
6/30/2020 16:00:00,71.36,71.5,67.57,68.38,10456537
7/1/2020 16:00:00,69.8,72.93,69.24,69.81,7979604
7/2/2020 16:00:00,71.81,72.96,68.68,68.81,6470594
7/6/2020 16:00:00,69.72,70.59,67.01,68.93,6075550
7/7/2020 16:00:00,67.5,67.66,65.56,65.93,5294945
7/8/2020 16:00:00,66,66.8,64.38,65.71,6884922
7/9/2020 16:00:00,64.25,64.4,59.87,61.02,9286317
7/10/2020 16:00:00,60.5,64.24,60.31,63.98,5824104
7/13/2020 16:00:00,64.78,65.14,62.2,63.69,5124295
7/14/2020 16:00:00,63.08,63.96,61.37,61.93,5240531
7/15/2020 16:00:00,64.54,66.72,63.83,66.59,7163095
7/16/2020 16:00:00,65,65.61,62.6,62.9,5227218
7/17/2020 16:00:00,62.79,63.56,62.08,62.4,4937504
7/20/2020 16:00:00,62.15,62.39,60.12,60.42,5644371
7/21/2020 16:00:00,60.98,62.38,60.39,60.95,5214776
7/22/2020 16:00:00,61.06,62.14,60.12,62.03,4059744
7/23/2020 16:00:00,61.02,62.69,60.61,61.8,3274198
7/24/2020 16:00:00,61.6,62.28,60.3,60.57,3115431
7/27/2020 16:00:00,60.47,61.98,59.03,61.96,4299839
7/28/2020 16:00:00,61.57,65.07,61.35,64.14,5328369
7/29/2020 16:00:00,64.59,65.63,62.65,65.59,3809556
7/30/2020 16:00:00,63.5,64.6,62.62,63.62,3311303
7/31/2020 16:00:00,63.31,63.9,61.5,62.35,5136773
8/3/2020 16:00:00,61.21,61.79,59.91,61.03,4152661
8/4/2020 16:00:00,61.23,63.63,61.07,62.99,4097731
8/5/2020 16:00:00,63.87,64.58,62.27,62.5,3406670
8/6/2020 16:00:00,62.71,62.71,61.19,61.2,4865148
8/7/2020 16:00:00,61.18,62.54,60.51,62.19,6391315
8/10/2020 16:00:00,65.22,69.16,63.82,65.47,18253818
