Date,Open,High,Low,Close,Volume
6/1/2016 16:00:00,37.78,38.3,37.49,38.19,776283
6/2/2016 16:00:00,38.13,38.51,37.87,38.51,1025950
6/3/2016 16:00:00,38.46,40.02,38.02,39.96,6527449
6/6/2016 16:00:00,39.96,40.2,39.1,40.14,2543718
6/7/2016 16:00:00,40.25,40.53,39.94,39.95,1279762
6/8/2016 16:00:00,39.95,40.21,39.72,39.79,1279057
6/9/2016 16:00:00,39.63,39.65,39.16,39.37,1201401
6/10/2016 16:00:00,39,39.13,38.62,38.75,1064294
6/13/2016 16:00:00,38.55,38.71,37.98,38,1129520
6/14/2016 16:00:00,37.87,37.99,37.35,37.57,1406027
6/15/2016 16:00:00,37.73,38.35,37.5,38.08,1456323
6/16/2016 16:00:00,37.9,38.27,37.48,38.16,1233114
6/17/2016 16:00:00,38.23,38.5,37.99,38.24,1486382
6/20/2016 16:00:00,38.72,39.26,38.64,38.85,1006357
6/21/2016 16:00:00,38.85,38.88,38.52,38.53,1113345
6/22/2016 16:00:00,38.55,38.78,38.3,38.32,869221
6/23/2016 16:00:00,38.41,38.58,37.92,38.42,1653584
6/24/2016 16:00:00,36.92,37.2,35.84,35.91,2773848
6/27/2016 16:00:00,35.48,35.48,34.03,34.32,2711376
6/28/2016 16:00:00,34.64,35.03,34.28,34.52,2893165
6/29/2016 16:00:00,34.89,35.23,34,35.03,3436335
6/30/2016 16:00:00,35.19,36.56,35.19,36.56,2444770
7/1/2016 16:00:00,36.93,36.96,36.27,36.38,1946814
7/5/2016 16:00:00,36.25,36.42,35.58,35.72,1892417
7/6/2016 16:00:00,35.69,35.8,35.06,35.77,1998367
7/7/2016 16:00:00,35.87,36.11,35.4,35.71,1768313
7/8/2016 16:00:00,36.37,37,36.33,36.99,1971267
7/11/2016 16:00:00,37.05,38.61,36.85,38.24,4190392
7/12/2016 16:00:00,38.6,38.77,38.05,38.36,1394465
7/13/2016 16:00:00,38.5,38.57,38.12,38.37,819307
7/14/2016 16:00:00,38.89,39.01,38.49,38.57,1423522
7/15/2016 16:00:00,38.74,38.99,38.44,38.75,1469968
7/18/2016 16:00:00,38.68,39.03,38.41,38.99,1479523
7/19/2016 16:00:00,38.82,39.28,38.58,38.71,932445
7/20/2016 16:00:00,38.62,39.36,38.6,39.27,1136536
7/21/2016 16:00:00,39.28,39.6,39.03,39.21,1730345
7/22/2016 16:00:00,39.45,40,38.95,39.82,2582941
7/25/2016 16:00:00,39.64,39.72,39.01,39.15,1763578
