Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,40.27,41.86,40.21,41.7,2512656
6/8/2020 16:00:00,42.28,42.98,41.89,42.77,2248453
6/9/2020 16:00:00,41.73,42.15,41.19,41.69,1546613
6/10/2020 16:00:00,41.23,41.5,40.09,40.31,1515245
6/11/2020 16:00:00,38.45,39.12,37.67,37.8,2226083
6/12/2020 16:00:00,39.41,39.41,37.96,39.09,2991409
6/15/2020 16:00:00,37.74,39.16,37.57,38.83,1783234
6/16/2020 16:00:00,40.26,40.82,39.51,40.1,2387350
6/17/2020 16:00:00,40.33,40.66,38.49,38.5,1482849
6/18/2020 16:00:00,38.09,38.45,37.73,37.93,2057000
6/19/2020 16:00:00,38.31,38.51,37.75,37.76,7406445
6/22/2020 16:00:00,37.66,37.95,36.87,37.75,1572326
6/23/2020 16:00:00,38.13,38.17,37.33,37.46,1844795
6/24/2020 16:00:00,36.93,37.5,36,36.39,2595946
6/25/2020 16:00:00,36.13,36.8,35.86,36.79,1230204
6/26/2020 16:00:00,36.58,36.82,35.94,36.39,2688664
6/29/2020 16:00:00,36.78,36.93,36.1,36.79,1319249
6/30/2020 16:00:00,36.89,37.52,36.74,37.38,2067789
7/1/2020 16:00:00,37.41,38.95,37.21,38.89,1677971
7/2/2020 16:00:00,39.55,39.82,38.49,38.57,1207646
7/6/2020 16:00:00,39.52,39.52,38.04,38.13,1172877
7/7/2020 16:00:00,37.63,37.82,36.86,36.9,1430293
7/8/2020 16:00:00,36.91,37.48,36.41,36.53,1921456
7/9/2020 16:00:00,36,36.29,35.48,35.98,1129023
7/10/2020 16:00:00,35.93,36.56,35.81,36.18,887960
7/13/2020 16:00:00,36.44,36.7,35.9,36.16,1702832
7/14/2020 16:00:00,36.14,36.75,35.81,36.59,1353011
7/15/2020 16:00:00,37.03,37.46,36.81,37.1,2133096
7/16/2020 16:00:00,36.87,37.18,36.42,36.76,1365711
7/17/2020 16:00:00,36.66,36.78,36.31,36.48,1450281
7/20/2020 16:00:00,36.25,36.38,35.47,35.76,1756429
7/21/2020 16:00:00,35.84,36.22,35.46,35.52,1413020
7/22/2020 16:00:00,35.29,36.51,35.21,36.47,1474431
7/23/2020 16:00:00,36.27,36.63,35.27,35.65,1635629
7/24/2020 16:00:00,35.78,35.87,35.25,35.49,1529152
7/27/2020 16:00:00,35.02,35.33,34.48,35.3,1849280
7/28/2020 16:00:00,35.22,36.22,35,35.88,1530514
7/29/2020 16:00:00,35.97,36.22,35,35.25,2848112
7/30/2020 16:00:00,34.77,36.17,34.69,36.1,2204052
7/31/2020 16:00:00,35.93,36.26,35.28,36.2,1639008
8/3/2020 16:00:00,35.73,35.77,34.94,35.12,1530604
8/4/2020 16:00:00,34.79,35.48,34.59,35.18,1374695
8/5/2020 16:00:00,35.4,35.63,34.99,35.52,1215248
8/6/2020 16:00:00,35.24,35.74,34.99,35.49,911502
8/7/2020 16:00:00,35.28,35.89,35.19,35.89,892466
8/10/2020 16:00:00,35.94,36.26,35.64,35.97,754351
8/11/2020 16:00:00,36.33,36.51,35.6,35.79,1400815
8/12/2020 16:00:00,35.97,36.06,35.54,35.89,902712
8/13/2020 16:00:00,35.68,36.01,34.59,34.71,1816972
8/14/2020 16:00:00,34.64,35.48,34.52,35.02,2593573
8/17/2020 16:00:00,35.01,35.18,34.66,35.05,1666469
8/18/2020 16:00:00,35.28,35.28,34.51,35.18,1336165
8/19/2020 16:00:00,35.18,35.4,33.87,34.18,1857840
8/20/2020 16:00:00,34.03,34.73,33.95,34.4,1002606
8/21/2020 16:00:00,34.52,34.62,33.63,34.08,1362861
8/24/2020 16:00:00,34.08,34.53,33.5,34.53,1227713
8/25/2020 16:00:00,34.53,34.8,34.15,34.62,1255331
8/26/2020 16:00:00,34.52,34.55,33.65,33.79,1398850
8/27/2020 16:00:00,34,35.09,33.75,34.93,1763879
8/28/2020 16:00:00,35,35.11,34.38,35.09,1292735
8/31/2020 16:00:00,34.94,34.94,34.44,34.81,1944915
9/1/2020 16:00:00,34.56,34.71,34.16,34.6,1740380
9/2/2020 16:00:00,34.55,35.21,34.24,35.17,2377242
9/3/2020 16:00:00,35.55,36.07,34.96,35.14,2948592
9/4/2020 16:00:00,35.28,35.74,34.62,35.31,2098835
9/8/2020 16:00:00,35.15,35.39,34.2,34.62,2105107
9/9/2020 16:00:00,34.72,35.16,34.15,34.45,1896556
9/10/2020 16:00:00,34.57,34.75,33.89,34.2,2459899
9/11/2020 16:00:00,34.08,34.23,33.45,33.66,2490928
9/14/2020 16:00:00,33.9,35.43,33.9,35.19,2750013
9/15/2020 16:00:00,35,35.39,34.66,34.8,1779858
9/16/2020 16:00:00,34.94,35.37,34.73,34.96,1811947
9/17/2020 16:00:00,34.77,35.12,34.47,34.76,2004547
9/18/2020 16:00:00,34.52,34.75,33.86,33.9,3526057
9/21/2020 16:00:00,33.33,33.46,32.01,32.15,2959377
9/22/2020 16:00:00,32.19,33.1,32.16,32.85,2247757
9/23/2020 16:00:00,32.88,33.18,31.96,32,2137679
9/24/2020 16:00:00,31.87,32.27,31.62,31.84,2192471
9/25/2020 16:00:00,31.77,32.43,31.62,32.41,2399744
9/28/2020 16:00:00,33.01,33.38,32.59,33,1576194
9/29/2020 16:00:00,32.86,33.05,32.13,32.32,1434892
9/30/2020 16:00:00,32.61,32.85,32.18,32.61,3112233
10/1/2020 16:00:00,32.61,33.81,32.56,33.8,2846481
10/2/2020 16:00:00,33.34,34.9,32.86,34.74,2583687
10/5/2020 16:00:00,34.97,35.13,34.2,35.11,2060945
10/6/2020 16:00:00,35.28,35.67,34.78,35.06,2076075
10/7/2020 16:00:00,35.17,35.51,34.63,35.21,2699317
10/8/2020 16:00:00,35.01,35.79,34.89,35.74,2689476
10/9/2020 16:00:00,35.97,35.97,35.23,35.47,1325296
10/12/2020 16:00:00,35.43,35.59,34.92,35.54,1928363
10/13/2020 16:00:00,35.04,35.49,34.24,34.42,1715641
10/14/2020 16:00:00,34.4,34.5,33.76,33.86,1300069
10/15/2020 16:00:00,33.58,34.24,33.52,33.81,1182664
10/16/2020 16:00:00,33.65,33.74,33.01,33.01,2053221
10/19/2020 16:00:00,33.13,33.22,32.13,32.14,2180788
10/20/2020 16:00:00,32.47,32.66,32.18,32.32,1493256
10/21/2020 16:00:00,32.32,32.65,32.07,32.42,1517061
10/22/2020 16:00:00,32.44,32.87,32.32,32.78,1660523
10/23/2020 16:00:00,33.05,33.26,32.66,32.79,1222988
10/26/2020 16:00:00,32.5,32.66,31.65,31.95,1949041
10/27/2020 16:00:00,31.86,32.28,31.08,31.09,2081981
10/28/2020 16:00:00,30.41,30.71,29.44,29.6,3155233
10/29/2020 16:00:00,29.6,30.51,29.34,29.92,3451701
10/30/2020 16:00:00,29.7,31.55,29.7,31.24,3768226
11/2/2020 16:00:00,31.6,32.83,31.35,32.79,2944023
11/3/2020 16:00:00,33.09,34.81,33.06,34.57,2955102
