Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,75.3,76.21,74.96,75.33,1916794
6/8/2020 16:00:00,75.4,77.77,75.1,77.71,1915281
6/9/2020 16:00:00,77.25,77.34,75.87,76.7,1868249
6/10/2020 16:00:00,76.5,77.67,76.5,76.95,1784184
6/11/2020 16:00:00,75.77,75.99,73.81,74.67,2175740
6/12/2020 16:00:00,76.07,76.4,74.27,75.38,2456917
6/15/2020 16:00:00,74.37,76.8,73.85,75.6,2742488
6/16/2020 16:00:00,77.02,78.17,75.94,76.37,1880302
6/17/2020 16:00:00,76.62,76.68,74.81,75.29,1933933
6/18/2020 16:00:00,74.98,75.97,74.51,74.87,1406556
6/19/2020 16:00:00,75.92,75.92,71.44,71.44,4591607
6/22/2020 16:00:00,71.44,72.68,70.86,71.42,2184293
6/23/2020 16:00:00,72.12,72.32,70.7,70.94,1395319
6/24/2020 16:00:00,70.32,72.01,69.91,71.53,2437094
6/25/2020 16:00:00,71.26,71.38,69.81,70.62,2435626
6/26/2020 16:00:00,70.64,71.98,70.46,71.28,3422626
6/29/2020 16:00:00,71.76,72.7,70.69,72.7,1594235
6/30/2020 16:00:00,72.61,72.98,71.01,71.93,2206182
7/1/2020 16:00:00,71.93,73.42,71.82,73.1,1692136
7/2/2020 16:00:00,73.1,74.36,73.01,73.81,1430439
7/6/2020 16:00:00,74.47,75.12,72.5,73.1,1520813
7/7/2020 16:00:00,72.21,72.76,72.12,72.5,1775795
7/8/2020 16:00:00,72.67,72.88,71.84,72.43,1455094
7/9/2020 16:00:00,71.99,72.1,70.01,71.71,1698580
7/10/2020 16:00:00,71.71,72.7,71.46,72.48,1746074
7/13/2020 16:00:00,72.49,72.78,71.69,72.16,1868617
7/14/2020 16:00:00,72.19,73.26,71.61,72.17,2122991
7/15/2020 16:00:00,72.31,72.9,71.38,71.51,2357554
7/16/2020 16:00:00,71.68,72.29,71.46,71.84,1158004
7/17/2020 16:00:00,72.03,74.12,72.03,74.07,1742336
7/20/2020 16:00:00,73.62,73.85,72.88,73.26,1455143
7/21/2020 16:00:00,73.02,74.98,72.89,74.28,2174713
7/22/2020 16:00:00,74.03,76.18,73.55,75.76,1714747
7/23/2020 16:00:00,75.77,76.77,75.54,76.25,1575068
7/24/2020 16:00:00,76.62,77.65,75.26,75.58,1619232
7/27/2020 16:00:00,75.38,75.39,74.09,74.76,1731902
7/28/2020 16:00:00,74.43,76.67,74.43,76.36,1520606
7/29/2020 16:00:00,76.28,76.9,75.5,76.7,1515696
7/30/2020 16:00:00,76.11,77.14,75.87,76.94,2133046
7/31/2020 16:00:00,76.56,77.11,75.85,76.83,4369318
8/3/2020 16:00:00,76.55,76.65,75.24,75.91,1645780
8/4/2020 16:00:00,75.75,76.69,75.66,75.9,1873672
8/5/2020 16:00:00,75.59,75.95,73.5,73.66,2158513
8/6/2020 16:00:00,73.89,74.12,73.15,73.92,1580033
8/7/2020 16:00:00,73.25,75.8,73.22,75.11,1634010
8/10/2020 16:00:00,75.94,76.34,75.2,75.38,1505830
8/11/2020 16:00:00,75,75.41,73.12,73.26,1970822
8/12/2020 16:00:00,73.51,74.89,73.44,74.26,1370207
8/13/2020 16:00:00,73.85,74.03,72.99,73.77,1566376
8/14/2020 16:00:00,73.35,74.09,72.79,73.53,1641648
8/17/2020 16:00:00,73.81,75.02,73.4,74.41,2529348
8/18/2020 16:00:00,73.65,73.95,73.11,73.35,1548819
8/19/2020 16:00:00,73.35,73.89,72.9,73.44,1742309
8/20/2020 16:00:00,73.1,73.72,72.32,72.4,2444139
8/21/2020 16:00:00,72.67,72.7,71.18,72.2,3823731
8/24/2020 16:00:00,72.32,74.33,71.85,74.32,2326534
8/25/2020 16:00:00,74.36,74.48,72.69,73.01,2057120
8/26/2020 16:00:00,72.45,72.45,70.31,70.78,2667501
8/27/2020 16:00:00,71,71.79,70.55,71.07,1808717
8/28/2020 16:00:00,71.26,71.26,70.1,70.92,1480009
