Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume,Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,75.3,76.21,74.96,75.33,1916794,6/5/2020 16:00:00,14.48,15.06,14.22,14.3,8321194,6/5/2020 16:00:00,130.71,136.08,129.84,133.79,1508060
6/8/2020 16:00:00,75.4,77.77,75.1,77.71,1915281,6/8/2020 16:00:00,14.5,15.08,14.45,14.97,5488532,6/8/2020 16:00:00,135.11,135.97,133.89,134.79,1355841
6/9/2020 16:00:00,77.25,77.34,75.87,76.7,1868249,6/9/2020 16:00:00,14.51,14.59,13.72,13.84,6287675,6/9/2020 16:00:00,133.1,133.28,129.78,130.31,1581473
6/10/2020 16:00:00,76.5,77.67,76.5,76.95,1784184,6/10/2020 16:00:00,13.78,13.79,13.16,13.17,7941327,6/10/2020 16:00:00,130.5,131.4,128.43,128.56,1617842
6/11/2020 16:00:00,75.77,75.99,73.81,74.67,2175740,6/11/2020 16:00:00,12.5,12.6,12,12.2,8830992,6/11/2020 16:00:00,125.17,125.61,122.65,123.48,2478607
6/12/2020 16:00:00,76.07,76.4,74.27,75.38,2456917,6/12/2020 16:00:00,12.73,12.96,12.25,12.67,6952813,6/12/2020 16:00:00,127.69,128.27,122.08,124.05,2360765
6/15/2020 16:00:00,74.37,76.8,73.85,75.6,2742488,6/15/2020 16:00:00,12.23,12.98,12.03,12.88,5976498,6/15/2020 16:00:00,122.04,125.91,120.38,125.25,3525264
6/16/2020 16:00:00,77.02,78.17,75.94,76.37,1880302,6/16/2020 16:00:00,13.58,13.9,13.36,13.66,7945502,6/16/2020 16:00:00,128.65,129.59,123.62,124.36,2932226
6/17/2020 16:00:00,76.62,76.68,74.81,75.29,1933933,6/17/2020 16:00:00,13.77,13.88,13.29,13.41,6822664,6/17/2020 16:00:00,124.98,125.51,121.81,124.17,1834170
6/18/2020 16:00:00,74.98,75.97,74.51,74.87,1406556,6/18/2020 16:00:00,13.2,13.51,13.12,13.44,4560859,6/18/2020 16:00:00,123.13,124.83,122.75,124.56,1453115
6/19/2020 16:00:00,75.92,75.92,71.44,71.44,4591607,6/19/2020 16:00:00,13.71,13.91,13.32,13.34,11285740,6/19/2020 16:00:00,125.96,126.18,117.25,117.25,6004058
6/22/2020 16:00:00,71.44,72.68,70.86,71.42,2184293,6/22/2020 16:00:00,13.36,14.14,13.18,13.98,9029898,6/22/2020 16:00:00,117.35,120.12,117.35,119.45,2374465
6/23/2020 16:00:00,72.12,72.32,70.7,70.94,1395319,6/23/2020 16:00:00,14.13,14.38,13.77,13.84,7689825,6/23/2020 16:00:00,120.91,121.99,118.77,119.48,1834258
