Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,128.41,129.79,128.32,128.54,156550
6/8/2020 16:00:00,129.26,129.77,128.31,129.33,78778
6/9/2020 16:00:00,127.93,128.23,127.02,127.43,169254
6/10/2020 16:00:00,127.98,127.98,125.37,125.84,42715
6/11/2020 16:00:00,121.33,122.1,115.04,115.55,132170
6/12/2020 16:00:00,119.61,120.22,116.09,118,88819
6/15/2020 16:00:00,114.82,120.16,114.19,119.3,111847
6/16/2020 16:00:00,123.63,124.04,120.32,121.85,111406
6/17/2020 16:00:00,122.73,122.73,120.63,120.88,34432
6/18/2020 16:00:00,120.12,121.35,120.05,120.53,44823
6/19/2020 16:00:00,122.51,122.63,119.45,120.19,60148
6/22/2020 16:00:00,119.54,120.3,118.37,120.04,43504
6/23/2020 16:00:00,121.67,121.67,120.12,120.12,36784
6/24/2020 16:00:00,118.74,119.49,116.25,116.5,57874
6/25/2020 16:00:00,116.43,118.21,115.33,118.16,66572
6/26/2020 16:00:00,117.49,117.61,115.74,116.32,65367
6/29/2020 16:00:00,117.37,119.32,117.18,118.73,81048
6/30/2020 16:00:00,118.57,121.18,118.21,120.64,63869
7/1/2020 16:00:00,120.93,120.93,119.16,120.46,113669
7/2/2020 16:00:00,122.3,123.79,121.98,122.62,76065
7/6/2020 16:00:00,125.13,125.13,122.8,124.31,142858
7/7/2020 16:00:00,123.28,124.46,123.28,123.94,47139
7/8/2020 16:00:00,124.2,124.77,121.1,122.46,49295
7/9/2020 16:00:00,122.92,122.92,119.81,120.98,36344
7/10/2020 16:00:00,121.33,123.5,121.33,123.48,35615
7/13/2020 16:00:00,124.63,125.89,123.19,123.19,1013024
7/14/2020 16:00:00,123.03,126.59,123,126.51,158036
7/15/2020 16:00:00,128.93,129.25,127.91,128.88,75615
7/16/2020 16:00:00,128.97,130.01,128.54,129.05,43516
7/17/2020 16:00:00,130.04,130.53,129.65,130.17,52920
7/20/2020 16:00:00,129.93,130.17,128.9,129.17,38085
7/21/2020 16:00:00,130.16,130.96,130.12,130.27,42039
7/22/2020 16:00:00,130.11,131.8,130.11,131.72,51667
7/23/2020 16:00:00,131.66,132.77,130.6,131.5,48513
7/24/2020 16:00:00,130.91,131.58,130.45,131.05,28720
7/27/2020 16:00:00,131.96,133.54,131.78,133.19,118742
7/28/2020 16:00:00,132.84,132.84,130.24,130.37,60680
7/29/2020 16:00:00,130.96,132,130.7,131.69,130243
7/30/2020 16:00:00,129.8,129.8,128.07,128.98,54852
7/31/2020 16:00:00,129.21,129.21,127.47,128.98,54813
8/3/2020 16:00:00,129.8,129.95,128.89,128.89,91623
8/4/2020 16:00:00,128.54,130.67,128.27,130.32,178503
8/5/2020 16:00:00,131.72,133.78,131.72,132.6,97570
8/6/2020 16:00:00,132.66,132.66,131.51,131.97,65157
8/7/2020 16:00:00,131.08,132.62,130.78,132.59,147870
8/10/2020 16:00:00,132.75,134.1,132.75,133.99,64623
8/11/2020 16:00:00,135.04,136.09,133.66,133.78,69098
8/12/2020 16:00:00,135.5,135.63,134.4,134.75,102461
8/13/2020 16:00:00,134.09,135.18,133.93,134.56,61796
8/14/2020 16:00:00,134.08,135.32,133.82,134.82,39155
8/17/2020 16:00:00,135.59,136.3,134.85,135.36,35150
8/18/2020 16:00:00,135.68,135.85,134.61,134.75,47631
8/19/2020 16:00:00,134.99,135.48,133.98,134.1,34256
8/20/2020 16:00:00,133.24,133.82,132.88,133.7,25563
8/21/2020 16:00:00,132.82,133.06,132.13,132.72,31876
8/24/2020 16:00:00,134.06,135.09,133.98,135.06,43029
8/25/2020 16:00:00,135.9,136,133.92,134.63,72218
