Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,58.28,60.31,58.24,59.87,1477599
6/8/2020 16:00:00,62.47,63.1,60.95,63.07,1502939
6/9/2020 16:00:00,61.07,61.11,59.68,60.57,1521492
6/10/2020 16:00:00,59.87,59.91,57.35,57.35,1905232
6/11/2020 16:00:00,53.16,54.9,51.79,51.85,2147719
6/12/2020 16:00:00,54.17,54.74,51.9,53.3,951358
6/15/2020 16:00:00,51,54.17,50.46,53.63,1548354
6/16/2020 16:00:00,56.22,56.22,53.56,55.03,773300
6/17/2020 16:00:00,54.96,54.96,53.13,53.15,567700
6/18/2020 16:00:00,52.58,54.29,52.32,53.68,1447546
6/19/2020 16:00:00,55.26,55.27,52.81,52.86,582115
6/22/2020 16:00:00,52.12,52.54,51.32,52.38,666994
6/23/2020 16:00:00,53.1,53.28,52.22,52.34,645141
6/24/2020 16:00:00,51.61,51.61,49.07,49.38,1129175
6/25/2020 16:00:00,49.09,50.57,48.68,50.3,1969450
6/26/2020 16:00:00,50.01,50.08,48.27,48.54,962020
6/29/2020 16:00:00,48.69,49.66,48.42,49.22,632957
6/30/2020 16:00:00,48.85,50.63,48.36,50.3,575521
7/1/2020 16:00:00,50.46,51.19,49.09,49.09,750393
7/2/2020 16:00:00,50.22,50.85,49.6,49.7,432271
7/6/2020 16:00:00,50.57,51.01,49.31,49.93,1000757
7/7/2020 16:00:00,49.35,49.49,48.41,48.46,501438
7/8/2020 16:00:00,48.54,49.27,48.06,48.43,483609
7/9/2020 16:00:00,48.23,48.42,46.08,46.13,1115586
7/10/2020 16:00:00,45.92,47.55,45.81,47.54,628145
7/13/2020 16:00:00,47.88,48.11,46.89,47.14,695860
7/14/2020 16:00:00,46.9,48.9,46.74,48.84,585853
7/15/2020 16:00:00,50,50.23,49.18,49.96,576209
7/16/2020 16:00:00,49.65,50.33,48.98,49.72,324984
7/17/2020 16:00:00,49.84,50.4,48.79,48.91,390257
7/20/2020 16:00:00,48.85,49.3,48.1,48.1,817070
7/21/2020 16:00:00,48.97,51.47,48.97,51.12,1236372
7/22/2020 16:00:00,50.54,50.54,49.72,50.46,1622875
7/23/2020 16:00:00,50.2,50.68,49.76,50.42,389062
7/24/2020 16:00:00,50.46,51.15,50.01,50.1,434676
7/27/2020 16:00:00,50.1,50.41,49.46,50.12,443014
7/28/2020 16:00:00,49.85,50.34,49.2,49.26,428074
7/29/2020 16:00:00,49.41,50.38,49.16,50.35,370084
7/30/2020 16:00:00,49.38,49.41,47.99,48.53,1114694
7/31/2020 16:00:00,47.87,48.26,47.22,48.19,728497
8/3/2020 16:00:00,48.27,48.75,47.85,48.46,551467
8/4/2020 16:00:00,48.32,49.83,48.32,49.71,549036
8/5/2020 16:00:00,50.7,50.9,49.87,50.38,870307
8/6/2020 16:00:00,50.17,50.5,49.76,49.91,455091
8/7/2020 16:00:00,49.54,50.18,49,50.07,620915
8/10/2020 16:00:00,50.48,51.71,50.41,51.66,618491
8/11/2020 16:00:00,52.79,53.32,51.24,51.45,728851
8/12/2020 16:00:00,52.27,52.58,51.45,52.03,414093
8/13/2020 16:00:00,51.66,51.97,50.87,50.97,399046
8/14/2020 16:00:00,50.67,51.61,50.46,51.55,435505
8/17/2020 16:00:00,51.55,51.55,50.95,51.24,352135
8/18/2020 16:00:00,51.07,51.5,50.36,50.51,360138
8/19/2020 16:00:00,50.49,50.71,49.81,49.95,378653
8/20/2020 16:00:00,49.38,49.5,48.83,48.85,519846
8/21/2020 16:00:00,48.62,48.69,48,48.4,547008
8/24/2020 16:00:00,48.74,50.13,48.42,49.79,2251923
8/25/2020 16:00:00,50,50.15,48.9,49.17,474851
8/26/2020 16:00:00,49.15,49.15,48,48.04,556406
8/27/2020 16:00:00,48.17,48.44,47.55,48.22,736863
8/28/2020 16:00:00,48.37,49.12,48.1,49.03,450549
8/31/2020 16:00:00,49.2,49.2,47.89,47.89,530899
9/1/2020 16:00:00,47.7,47.83,47.02,47.57,922495
9/2/2020 16:00:00,47.57,47.8,47.06,47.3,843385
9/3/2020 16:00:00,47.12,48.13,46.62,46.95,910302
9/4/2020 16:00:00,47.19,47.68,46.16,46.81,926310
9/8/2020 16:00:00,45.88,46.08,44.48,44.94,1836212
9/9/2020 16:00:00,45.51,45.71,45.1,45.27,623486
9/10/2020 16:00:00,45.41,45.44,43.53,43.53,1049232
9/11/2020 16:00:00,43.21,43.38,42.71,43.09,897278
9/14/2020 16:00:00,43.18,43.82,42.85,43.42,559327
9/15/2020 16:00:00,43.77,44.12,43.01,43.13,719608
9/16/2020 16:00:00,43.57,45.49,43.18,44.88,1120920
9/17/2020 16:00:00,44.3,44.96,43.72,44.92,608345
9/18/2020 16:00:00,44.82,45,44.02,44.5,740436
9/21/2020 16:00:00,43.43,43.47,42.24,43.02,1150695
9/22/2020 16:00:00,43.11,43.71,42.51,42.59,568879
9/23/2020 16:00:00,42.69,42.91,40.58,40.63,829903
9/24/2020 16:00:00,40.5,41.42,39.74,40.65,1270232
9/25/2020 16:00:00,40.25,40.9,40.02,40.57,990479
9/28/2020 16:00:00,41.31,42.04,41.27,41.57,574017
9/29/2020 16:00:00,41.48,41.54,40.05,40.53,614737
9/30/2020 16:00:00,40.73,41.19,40.12,40.31,591847
10/1/2020 16:00:00,39.9,40.06,38.89,39.14,1240010
10/2/2020 16:00:00,38.05,39.89,38.03,39.6,853875
10/5/2020 16:00:00,40.06,40.81,39.88,40.78,902206
10/6/2020 16:00:00,41.34,41.67,40.07,40.1,866304
10/7/2020 16:00:00,40.34,40.89,39.96,40.74,581460
10/8/2020 16:00:00,41.14,42.4,40.96,42.36,757477
10/9/2020 16:00:00,42.75,42.9,41.62,41.68,1165961
10/12/2020 16:00:00,41.61,41.96,41.17,41.85,656062
10/13/2020 16:00:00,41.87,42.04,41.05,41.18,838707
