Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,195.11,198,193.7,196.64,280349
6/8/2020 16:00:00,196.61,198.24,195.44,198.15,204471
6/9/2020 16:00:00,197.74,198.68,195.98,196.23,690201
6/10/2020 16:00:00,197.03,197.44,194.94,196.05,185509
6/11/2020 16:00:00,193.71,193.8,184.61,185.2,513017
6/12/2020 16:00:00,189.2,189.76,183,186.36,296710
6/15/2020 16:00:00,183.66,188.61,182.66,187.71,179687
6/16/2020 16:00:00,191.89,193.06,189.06,191.92,299329
6/17/2020 16:00:00,192.73,193.27,191.32,191.82,148367
6/18/2020 16:00:00,190.9,192.04,190.2,191.58,223928
6/19/2020 16:00:00,193.4,194.39,191.57,193.47,173508
6/22/2020 16:00:00,192.25,192.93,190.45,192.77,157765
6/23/2020 16:00:00,193.97,195.19,193.35,193.64,166681
6/24/2020 16:00:00,192.35,192.64,187.03,188.54,204666
6/25/2020 16:00:00,188.87,190.72,186.95,190.65,319239
6/26/2020 16:00:00,190.12,190.6,187.19,188.02,327603
6/29/2020 16:00:00,188.95,189.73,187.65,189.35,197994
6/30/2020 16:00:00,189.34,193.6,189.03,192.65,155137
7/1/2020 16:00:00,193.43,194.89,192.42,194.1,288426
7/2/2020 16:00:00,195.85,196.75,195.21,195.65,334140
7/6/2020 16:00:00,197.86,198.67,196.67,197.38,239498
7/7/2020 16:00:00,196.47,198.62,195.96,196.24,247265
7/8/2020 16:00:00,197.02,197.53,195,196.69,129456
7/9/2020 16:00:00,196.6,197.15,192.68,195.17,161512
7/10/2020 16:00:00,195.27,195.5,193.41,194.7,204121
7/13/2020 16:00:00,195.97,199.35,194.37,194.72,780396
7/14/2020 16:00:00,194.52,198.87,193.9,198.64,321818
7/15/2020 16:00:00,200.58,202.34,200.03,201.88,207426
7/16/2020 16:00:00,201.42,201.58,199.96,201.45,124148
7/17/2020 16:00:00,202.35,204.95,202.22,204.24,415253
7/20/2020 16:00:00,204.85,205.61,203.72,204.58,164777
7/21/2020 16:00:00,205.39,205.71,203.61,204.11,742053
7/22/2020 16:00:00,204.92,205.7,203.74,205.54,206848
7/23/2020 16:00:00,206,207.22,203.64,204.5,178854
7/24/2020 16:00:00,203.96,203.96,200.46,201.81,175357
7/27/2020 16:00:00,202.17,204,201.33,203.68,146336
7/28/2020 16:00:00,203.85,204.52,202.9,203.08,112926
7/29/2020 16:00:00,203.91,205.71,203.67,204.99,166690
7/30/2020 16:00:00,203.37,204.55,201.97,204.14,109700
7/31/2020 16:00:00,204.11,204.11,200.3,202.69,238827
8/3/2020 16:00:00,204.05,205.83,203.95,205.31,164296
8/4/2020 16:00:00,204.92,205.36,203.26,204.47,193050
8/5/2020 16:00:00,205.79,205.97,205,205.68,131978
8/6/2020 16:00:00,205.64,206.34,203.13,204.55,147992
8/7/2020 16:00:00,204.51,205.5,203.73,205.17,150155
8/10/2020 16:00:00,205.35,205.35,203.6,204.2,151738
8/11/2020 16:00:00,205.16,205.23,201.88,202.19,174505
8/12/2020 16:00:00,203.38,205.97,203.38,205.51,128341
8/13/2020 16:00:00,205.13,205.66,204.05,205.5,120602
8/14/2020 16:00:00,205.15,205.75,204.04,204.85,229046
8/17/2020 16:00:00,205.21,207.04,205.21,206.63,171186
8/18/2020 16:00:00,206.85,207.25,205.05,206.4,165990
8/19/2020 16:00:00,206.36,206.9,205,205.53,144773
8/20/2020 16:00:00,204.75,205.25,204.42,205.02,238954
