Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,84.49,86.07,84.3,84.69,6158967
6/8/2020 16:00:00,85.82,86.8,85.67,86.79,7130521
6/9/2020 16:00:00,85.21,85.9,84.3,85.35,7168943
6/10/2020 16:00:00,85.11,85.11,82.53,83.18,6433912
6/11/2020 16:00:00,79.57,80.63,77.73,77.84,8611878
6/12/2020 16:00:00,80.55,80.92,78.44,80.63,8871738
6/15/2020 16:00:00,78.15,82.19,77.98,81.77,6139008
6/16/2020 16:00:00,84.61,84.84,82.02,83.38,5814202
6/17/2020 16:00:00,83.87,83.95,82.16,82.17,5041531
6/18/2020 16:00:00,81.19,81.72,80.82,81.27,5005997
6/19/2020 16:00:00,82.45,82.45,79.68,80.09,10402124
6/22/2020 16:00:00,79.94,80.23,78.68,80.01,3995529
6/23/2020 16:00:00,80.8,80.93,79.44,79.68,3958380
6/24/2020 16:00:00,78.68,78.88,75.66,77.41,7034944
6/25/2020 16:00:00,76.17,77.71,76.03,77.63,6625975
6/26/2020 16:00:00,77.36,77.65,76.05,76.14,7277072
6/29/2020 16:00:00,76.88,77.67,75.84,77.61,4687294
6/30/2020 16:00:00,77.87,78.91,77.38,78.53,5212225
7/1/2020 16:00:00,78.8,80.66,78.6,80.34,5023656
7/2/2020 16:00:00,81.67,81.9,79.75,80.11,4588221
7/6/2020 16:00:00,81.6,81.72,79.94,80.07,6174301
7/7/2020 16:00:00,79.13,79.49,78.38,78.48,3389183
7/8/2020 16:00:00,78.59,78.88,77.66,78.37,3848103
7/9/2020 16:00:00,78.23,78.3,76.65,77.88,3456275
7/10/2020 16:00:00,77.72,78.51,77.56,78.12,3809865
7/13/2020 16:00:00,78.4,78.85,77,77.19,6071807
7/14/2020 16:00:00,77.16,78.07,76.94,77.84,3473884
7/15/2020 16:00:00,79.15,79.39,78.05,78.6,3547265
7/16/2020 16:00:00,78.17,78.45,77.36,77.66,3605448
7/17/2020 16:00:00,77.92,79,77.47,78.67,3720504
7/20/2020 16:00:00,78.6,79,77.46,77.73,4364144
7/21/2020 16:00:00,78.38,78.74,77.71,77.92,3007535
7/22/2020 16:00:00,77.56,79.19,77.36,79.11,2682599
7/23/2020 16:00:00,78.95,79.41,77.81,78.78,4630931
7/24/2020 16:00:00,78.59,79,78.07,78.2,2702222
7/27/2020 16:00:00,78.16,79.03,77.23,78.94,4111823
7/28/2020 16:00:00,78.91,80.9,78.74,80.51,6613296
7/29/2020 16:00:00,80.96,82.07,80.82,82.07,5429565
7/30/2020 16:00:00,81,81.61,80.47,81.54,6602740
7/31/2020 16:00:00,81.45,81.5,80.12,81.39,9312341
8/3/2020 16:00:00,81.42,81.42,79.88,80.31,5629717
8/4/2020 16:00:00,80.17,81.71,80.11,81.51,4078304
8/5/2020 16:00:00,81.8,82.12,80.7,81.1,3374522
8/6/2020 16:00:00,80.79,81.46,80.71,81.23,3646506
8/7/2020 16:00:00,80.93,82.43,80.8,82.39,4447764
8/10/2020 16:00:00,82.64,83.02,82.16,82.52,3410208
8/11/2020 16:00:00,83.33,83.47,81.02,81.33,5193807
8/12/2020 16:00:00,81.96,82.28,81.64,82.15,2246509
8/13/2020 16:00:00,81.88,82.57,80.93,81.14,3585541
8/14/2020 16:00:00,80.93,81.91,80.84,81.15,3399361
8/17/2020 16:00:00,81.2,81.85,80.83,81.81,2750093
8/18/2020 16:00:00,81.81,81.91,80.92,81.42,3635312
8/19/2020 16:00:00,81.61,81.67,79.84,79.99,4376416
8/20/2020 16:00:00,79.6,81.27,79.38,80.75,2949910
8/21/2020 16:00:00,80.74,81.23,79.89,80.88,3381012
8/24/2020 16:00:00,81,81.43,79.92,81.4,2553721
8/25/2020 16:00:00,81.61,81.8,80.83,81.61,3123686
8/26/2020 16:00:00,81.43,81.43,80.37,80.86,3139816
8/27/2020 16:00:00,81.03,82.31,81.01,82.05,4006826
8/28/2020 16:00:00,82.18,82.59,81.34,82.59,4549069
8/31/2020 16:00:00,82.48,82.5,81.44,81.75,4835192
9/1/2020 16:00:00,81.47,81.88,80.88,81.81,3498932
9/2/2020 16:00:00,81.9,83.46,81.24,83.33,3136808
9/3/2020 16:00:00,83.31,84.04,81.7,82.33,5716493
9/4/2020 16:00:00,82.57,83.1,80.53,81.9,4956978
9/8/2020 16:00:00,81.54,81.59,80.32,80.9,3774109
9/9/2020 16:00:00,81.32,82.74,81.24,81.7,3158358
9/10/2020 16:00:00,81.79,81.9,80.62,80.7,4308798
9/11/2020 16:00:00,80.89,80.98,79.51,80.25,4255425
9/14/2020 16:00:00,80.78,82.46,80.68,82.21,3732260
9/15/2020 16:00:00,82.56,83.98,82.5,83.2,3017586
9/16/2020 16:00:00,83.7,84.49,83.29,83.64,3722538
9/17/2020 16:00:00,82.78,83.35,81.48,82.01,5981756
9/18/2020 16:00:00,81.98,81.98,80.02,80.16,5024314
9/21/2020 16:00:00,79.16,79.17,77.32,77.75,5297337
9/22/2020 16:00:00,77.99,79.32,77.83,78.68,4486476
9/23/2020 16:00:00,78.73,78.73,76.21,76.31,7876382
9/24/2020 16:00:00,76.32,77.81,75.95,76.72,6813314
9/25/2020 16:00:00,75.96,77.76,75.72,77.7,3503482
9/28/2020 16:00:00,78.79,79.67,78.7,79.29,3471096
9/29/2020 16:00:00,79.28,79.33,78.08,78.72,3663003
9/30/2020 16:00:00,79.12,79.88,78.15,78.96,4507061
10/1/2020 16:00:00,79.28,80.61,78.93,80.54,6406543
10/2/2020 16:00:00,79.46,82.19,79.17,81.93,3346829
10/5/2020 16:00:00,82.23,82.66,80.83,82.4,2654906
10/6/2020 16:00:00,82.61,83.07,81.54,81.86,5830318
10/7/2020 16:00:00,82.37,82.4,81.6,81.98,2362478
10/8/2020 16:00:00,82.42,83.58,82.28,83.35,2269020
10/9/2020 16:00:00,83.86,83.88,82.73,83.02,6556256
10/12/2020 16:00:00,83.12,83.64,82.55,83.41,5655858
10/13/2020 16:00:00,83.07,83.12,81.5,81.98,4406336
10/14/2020 16:00:00,81.9,82.1,80.86,80.98,4653678
10/15/2020 16:00:00,80.35,82.06,80.33,81.4,2915614
10/16/2020 16:00:00,81.41,81.43,80.67,80.82,2925600
10/19/2020 16:00:00,81.03,81.2,79.44,79.56,9872954
10/20/2020 16:00:00,80.09,80.74,79.93,80.13,4038687
10/21/2020 16:00:00,79.91,80.27,79.51,79.89,2686188
10/22/2020 16:00:00,79.88,80.22,79.53,79.88,3828924
10/23/2020 16:00:00,80.18,80.67,79.69,80.36,2588671
10/26/2020 16:00:00,79.74,79.86,78.51,79.21,2691201
10/27/2020 16:00:00,79.3,79.73,77.94,77.94,2264112
10/28/2020 16:00:00,76.68,77.43,75.79,76.08,4422225
10/29/2020 16:00:00,76.2,77.68,75.46,77.1,4645616
10/30/2020 16:00:00,76.66,77.22,75.68,76.59,3979041
11/2/2020 16:00:00,77.4,78.46,76.88,78.42,4254513
11/3/2020 16:00:00,79.2,80.4,78.92,79.93,4214739
11/4/2020 16:00:00,80.5,81.29,79.44,80.07,2867483
11/5/2020 16:00:00,80.69,81.21,80.12,80.45,3984914
11/6/2020 16:00:00,80.69,81.11,79.6,79.9,3696634
11/9/2020 16:00:00,84.53,88.29,82.56,82.73,8999275
11/10/2020 16:00:00,82.85,84.02,82.39,83.94,6146064
11/11/2020 16:00:00,84.28,84.65,83.44,84.26,3416112
11/12/2020 16:00:00,83.88,84.23,82.59,83.16,3939500
11/13/2020 16:00:00,83.66,85.57,83.66,85.38,3443535
11/16/2020 16:00:00,87.17,87.44,85.32,86.34,2978595
