Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,95.95,97.07,95.93,96.49,326510
6/8/2020 16:00:00,96.64,97.99,96.3,97.97,355698
6/9/2020 16:00:00,97.41,97.92,97.07,97.5,390760
6/10/2020 16:00:00,97.96,97.96,96.39,96.96,344228
6/11/2020 16:00:00,94.63,95.1,91.95,92.16,213127
6/12/2020 16:00:00,94.27,94.59,91.36,93.14,235569
6/15/2020 16:00:00,91.57,94.62,91.38,94.35,168596
6/16/2020 16:00:00,96.46,96.46,94.12,95.49,504142
6/17/2020 16:00:00,95.66,96.11,94.73,95.39,99762
6/18/2020 16:00:00,95.06,95.78,94.99,95.72,89702
6/19/2020 16:00:00,96.8,96.8,94.72,95.35,174001
6/22/2020 16:00:00,95.07,95.5,94.66,95.42,141591
6/23/2020 16:00:00,96.07,96.88,95.78,96.05,118364
6/24/2020 16:00:00,95.66,95.77,92.82,93.62,162590
6/25/2020 16:00:00,93.44,94.12,92.55,93.97,156259
6/26/2020 16:00:00,93.57,93.67,89.86,90.02,248878
6/29/2020 16:00:00,89.76,91.93,89.15,91.93,266703
6/30/2020 16:00:00,91.88,93.25,91.46,93.03,477679
7/1/2020 16:00:00,93.18,95.32,92.93,95.01,332851
7/2/2020 16:00:00,96,96.22,94.73,94.91,297066
7/6/2020 16:00:00,96.01,96.95,95.81,96.72,200637
7/7/2020 16:00:00,96.45,97.74,96.2,96.35,85882
7/8/2020 16:00:00,96.54,97.39,95.85,97.27,167685
7/9/2020 16:00:00,97.75,97.83,95.94,97.37,89072
7/10/2020 16:00:00,97.29,99.11,96.86,98.95,349068
7/13/2020 16:00:00,99.88,100.4,96.78,97,1250655
7/14/2020 16:00:00,96.06,97.96,95.56,97.91,211561
7/15/2020 16:00:00,98.53,99.01,97.59,98.68,215618
7/16/2020 16:00:00,97.94,98.88,97.51,98.83,135115
7/17/2020 16:00:00,98.9,98.9,97.64,98.51,143871
7/20/2020 16:00:00,98.36,99.86,97.8,99.66,114965
7/21/2020 16:00:00,100.36,100.36,98.95,99.32,118619
7/22/2020 16:00:00,99.18,99.35,98.66,99.29,98592
7/23/2020 16:00:00,99.38,99.5,97.07,97.53,126121
7/24/2020 16:00:00,96.94,97.67,96.58,97.44,423089
7/27/2020 16:00:00,97.76,98.41,97.47,98.22,102368
7/28/2020 16:00:00,98.09,98.53,97.35,97.45,84528
7/29/2020 16:00:00,97.89,98.69,97.77,98.45,79601
7/30/2020 16:00:00,97.6,98.97,97.18,98.86,100947
7/31/2020 16:00:00,100.23,100.23,98.42,99.9,128070
8/3/2020 16:00:00,100.12,100.46,99.5,100.2,106603
8/4/2020 16:00:00,100.19,100.88,100.01,100.69,115376
8/5/2020 16:00:00,101.27,101.38,100.53,100.86,117077
8/6/2020 16:00:00,100.79,102.86,100.55,102.72,105185
8/7/2020 16:00:00,102.58,104.28,102.07,102.81,125705
8/10/2020 16:00:00,102.89,103.66,101.68,102.58,107203
8/11/2020 16:00:00,102.54,103.18,101.09,101.21,405277
8/12/2020 16:00:00,101.79,103.03,101.79,102.26,170883
8/13/2020 16:00:00,102.29,103.3,102.29,102.72,113468
8/14/2020 16:00:00,102.7,103.04,102.45,102.72,78951
8/17/2020 16:00:00,103.08,103.08,102.4,102.74,211138
8/18/2020 16:00:00,102.91,103.89,102.66,103.65,105310
8/19/2020 16:00:00,103.68,104.42,103.05,103.25,95507
8/20/2020 16:00:00,102.91,104.44,102.74,104.34,88264
8/21/2020 16:00:00,104.34,104.34,103.65,103.81,108583
8/24/2020 16:00:00,104.5,105.36,104.39,104.94,129659
8/25/2020 16:00:00,105.02,105.99,104.86,105.84,103823
