Date,Open,High,Low,Close,Volume
6/5/2020 16:00:00,57.75,58.12,57.08,57.74,17105619
6/8/2020 16:00:00,57.65,58.2,57.27,58.09,14962960
6/9/2020 16:00:00,57.75,58.13,57.37,57.86,14530771
6/10/2020 16:00:00,57.9,58.23,57.7,58.05,13649065
6/11/2020 16:00:00,57.48,57.94,56.4,56.45,23412480
6/12/2020 16:00:00,56.63,56.81,55.79,56.53,17129160
6/15/2020 16:00:00,55.73,56.54,55.28,56.15,14828780
6/16/2020 16:00:00,56.83,57.32,56.24,56.92,15025954
6/17/2020 16:00:00,57.14,57.17,56.51,56.65,10652053
6/18/2020 16:00:00,56.5,56.96,56.37,56.89,9019542
6/19/2020 16:00:00,57.35,57.47,56,56.16,28843754
6/22/2020 16:00:00,55.91,56.26,55.61,55.66,12333875
6/23/2020 16:00:00,55.75,55.85,54.91,54.94,20716400
6/24/2020 16:00:00,54.54,54.56,53.46,53.93,24794574
6/25/2020 16:00:00,53.91,54.39,53.34,54.28,17122520
6/26/2020 16:00:00,54.04,54.06,52.85,53.16,30211862
6/29/2020 16:00:00,53.31,54.71,53.31,54.69,15930280
6/30/2020 16:00:00,54.92,55.29,54.36,55.13,17414755
7/1/2020 16:00:00,55.09,55.33,54.58,54.67,12831579
7/2/2020 16:00:00,55.05,55.41,54.74,54.79,15814541
7/6/2020 16:00:00,55.35,55.43,54.91,55.24,11231082
7/7/2020 16:00:00,54.92,55.33,54.8,55.04,13319703
7/8/2020 16:00:00,55.11,55.44,54.82,55.38,15320847
7/9/2020 16:00:00,54.65,54.65,53.75,53.94,17618355
7/10/2020 16:00:00,53.84,54.58,53.84,54.49,15652222
7/13/2020 16:00:00,54.75,54.77,54.14,54.45,15285112
7/14/2020 16:00:00,54.43,55.65,54.27,55.44,15683595
7/15/2020 16:00:00,55.61,55.72,55.02,55.06,13903602
7/16/2020 16:00:00,54.87,55.83,54.76,55.78,13477441
7/17/2020 16:00:00,56,56.6,55.89,56.3,13509676
7/20/2020 16:00:00,56.28,56.28,55.66,55.87,10572867
7/21/2020 16:00:00,55.84,56.5,55.8,55.84,12620945
7/22/2020 16:00:00,55.84,55.95,55.37,55.75,11223546
7/23/2020 16:00:00,55.81,56.09,55.4,55.85,16718749
7/24/2020 16:00:00,56.35,57.57,56.14,56.85,17981683
7/27/2020 16:00:00,57,57.33,56.51,56.87,12306672
7/28/2020 16:00:00,57.05,57.7,56.97,57.48,13454716
7/29/2020 16:00:00,57.37,57.69,57.16,57.45,9341803
7/30/2020 16:00:00,57.21,57.46,57.14,57.3,12635807
7/31/2020 16:00:00,56.85,57.5,56.65,57.48,16195136
8/3/2020 16:00:00,57.87,57.87,57.12,57.24,13494539
8/4/2020 16:00:00,57.2,58.14,57.18,57.91,11600950
8/5/2020 16:00:00,58.16,58.19,57.41,57.54,9811687
8/6/2020 16:00:00,57.5,57.95,57.45,57.83,10369912
8/7/2020 16:00:00,57.82,58.55,57.65,58.53,12783922
8/10/2020 16:00:00,58.65,59.15,58.47,58.99,12114527
8/11/2020 16:00:00,59.3,59.61,58.25,58.51,12833071
8/12/2020 16:00:00,58.6,58.97,58.52,58.6,10804024
8/13/2020 16:00:00,58.3,58.6,58.19,58.52,7428615
8/14/2020 16:00:00,58.48,58.94,58.25,58.79,8715886
8/17/2020 16:00:00,58.73,58.93,58.55,58.78,8371892
8/18/2020 16:00:00,58.86,59.47,58.78,59.18,10130832
8/19/2020 16:00:00,59.36,59.44,58.93,59.05,10816317
8/20/2020 16:00:00,58.6,59.09,58.59,58.96,8061476
8/21/2020 16:00:00,59,59.04,58.54,58.99,11059276
8/24/2020 16:00:00,59.1,59.61,59,59.57,10931471
8/25/2020 16:00:00,59.7,59.75,59.18,59.42,11316837
8/26/2020 16:00:00,59.3,59.5,58.9,59.46,15096368
8/27/2020 16:00:00,59.6,59.79,59.41,59.43,11405256
8/28/2020 16:00:00,59.41,59.41,58.82,59.26,11873883
8/31/2020 16:00:00,59.04,59.44,59.02,59.27,14555477
9/1/2020 16:00:00,59.12,59.3,58.78,59.16,13359389
9/2/2020 16:00:00,59.15,60.74,59,60.53,21711851
9/3/2020 16:00:00,60.83,61.28,60.14,60.61,23126843
9/4/2020 16:00:00,60.48,61.5,60.06,60.48,22250107
